album_name,album_release_date,album_duration,album_genre,album_styles,album_recording_location,album_recording_period,album_moods,album_themes,track_name,composers,genres,styles,moods,themes
Graham Nash/David Crosby,"April 5, 1972",35:40,Pop/Rock,"Singer/Songwriter, Soft Rock","Wally Heider III, Los Angeles, CA",1972,"Pastoral, Soothing, Poignant, Smooth, Autumnal, Gentle, Intimate, Relaxed, Summery, Sweet, Warm, Amiable/Good-Natured, Earnest, Laid-Back/Mellow, Organic, Reflective, Sentimental, Wistful, Literate","Politics/Society, Introspection, Affection/Fondness, Heartbreak, Reflection, Relationships",Strangers Room,Graham Nash,"International, Pop/Rock","Contemporary Pop/Rock, Singer/Songwriter","Calm/Peaceful, Sentimental",
Graham Nash/David Crosby,"April 5, 1972",35:40,Pop/Rock,"Singer/Songwriter, Soft Rock","Wally Heider III, Los Angeles, CA",1972,"Pastoral, Soothing, Poignant, Smooth, Autumnal, Gentle, Intimate, Relaxed, Summery, Sweet, Warm, Amiable/Good-Natured, Earnest, Laid-Back/Mellow, Organic, Reflective, Sentimental, Wistful, Literate","Politics/Society, Introspection, Affection/Fondness, Heartbreak, Reflection, Relationships",Girl to Be on My Mind,Graham Nash,"International, Pop/Rock","Contemporary Pop/Rock, Singer/Songwriter","Calm/Peaceful, Dreamy, Sentimental",
Graham Nash/David Crosby,"April 5, 1972",35:40,Pop/Rock,"Singer/Songwriter, Soft Rock","Wally Heider III, Los Angeles, CA",1972,"Pastoral, Soothing, Poignant, Smooth, Autumnal, Gentle, Intimate, Relaxed, Summery, Sweet, Warm, Amiable/Good-Natured, Earnest, Laid-Back/Mellow, Organic, Reflective, Sentimental, Wistful, Literate","Politics/Society, Introspection, Affection/Fondness, Heartbreak, Reflection, Relationships",Page 43,David Crosby,"International, Pop/Rock","Contemporary Pop/Rock, Singer/Songwriter","Calm/Peaceful, Dreamy, Sentimental",
Graham Nash/David Crosby,"April 5, 1972",35:40,Pop/Rock,"Singer/Songwriter, Soft Rock","Wally Heider III, Los Angeles, CA",1972,"Pastoral, Soothing, Poignant, Smooth, Autumnal, Gentle, Intimate, Relaxed, Summery, Sweet, Warm, Amiable/Good-Natured, Earnest, Laid-Back/Mellow, Organic, Reflective, Sentimental, Wistful, Literate","Politics/Society, Introspection, Affection/Fondness, Heartbreak, Reflection, Relationships",Frozen Smiles,Graham Nash,"International, Pop/Rock","Contemporary Pop/Rock, Folk-Rock, Psychedelic/Garage, Singer/Songwriter",Lively,
Graham Nash/David Crosby,"April 5, 1972",35:40,Pop/Rock,"Singer/Songwriter, Soft Rock","Wally Heider III, Los Angeles, CA",1972,"Pastoral, Soothing, Poignant, Smooth, Autumnal, Gentle, Intimate, Relaxed, Summery, Sweet, Warm, Amiable/Good-Natured, Earnest, Laid-Back/Mellow, Organic, Reflective, Sentimental, Wistful, Literate","Politics/Society, Introspection, Affection/Fondness, Heartbreak, Reflection, Relationships",Where Will I Be?,David Crosby,"International, Pop/Rock","Contemporary Pop/Rock, Folk-Rock, Psychedelic/Garage, Singer/Songwriter","Calm/Peaceful, Nostalgic, Sentimental",
Graham Nash/David Crosby,"April 5, 1972",35:40,Pop/Rock,"Singer/Songwriter, Soft Rock","Wally Heider III, Los Angeles, CA",1972,"Pastoral, Soothing, Poignant, Smooth, Autumnal, Gentle, Intimate, Relaxed, Summery, Sweet, Warm, Amiable/Good-Natured, Earnest, Laid-Back/Mellow, Organic, Reflective, Sentimental, Wistful, Literate","Politics/Society, Introspection, Affection/Fondness, Heartbreak, Reflection, Relationships",Games,Graham Nash,"International, Pop/Rock","Contemporary Pop/Rock, Singer/Songwriter","Calm/Peaceful, Nostalgic, Sentimental",
Graham Nash/David Crosby,"April 5, 1972",35:40,Pop/Rock,"Singer/Songwriter, Soft Rock","Wally Heider III, Los Angeles, CA",1972,"Pastoral, Soothing, Poignant, Smooth, Autumnal, Gentle, Intimate, Relaxed, Summery, Sweet, Warm, Amiable/Good-Natured, Earnest, Laid-Back/Mellow, Organic, Reflective, Sentimental, Wistful, Literate","Politics/Society, Introspection, Affection/Fondness, Heartbreak, Reflection, Relationships",Immigration Man,Graham Nash,Pop/Rock,"Folk-Rock, Psychedelic/Garage",Lively,
Graham Nash/David Crosby,"April 5, 1972",35:40,Pop/Rock,"Singer/Songwriter, Soft Rock","Wally Heider III, Los Angeles, CA",1972,"Pastoral, Soothing, Poignant, Smooth, Autumnal, Gentle, Intimate, Relaxed, Summery, Sweet, Warm, Amiable/Good-Natured, Earnest, Laid-Back/Mellow, Organic, Reflective, Sentimental, Wistful, Literate","Politics/Society, Introspection, Affection/Fondness, Heartbreak, Reflection, Relationships",Whole Cloth,David Crosby,"International, Pop/Rock","Contemporary Pop/Rock, Singer/Songwriter","Calm/Peaceful, Dreamy, Nostalgic, Sentimental",
Graham Nash/David Crosby,"April 5, 1972",35:40,Pop/Rock,"Singer/Songwriter, Soft Rock","Wally Heider III, Los Angeles, CA",1972,"Pastoral, Soothing, Poignant, Smooth, Autumnal, Gentle, Intimate, Relaxed, Summery, Sweet, Warm, Amiable/Good-Natured, Earnest, Laid-Back/Mellow, Organic, Reflective, Sentimental, Wistful, Literate","Politics/Society, Introspection, Affection/Fondness, Heartbreak, Reflection, Relationships",Blacknotes,Graham Nash,"International, Pop/Rock",Singer/Songwriter,"Calm/Peaceful, Dreamy, Sentimental",
Graham Nash/David Crosby,"April 5, 1972",35:40,Pop/Rock,"Singer/Songwriter, Soft Rock","Wally Heider III, Los Angeles, CA",1972,"Pastoral, Soothing, Poignant, Smooth, Autumnal, Gentle, Intimate, Relaxed, Summery, Sweet, Warm, Amiable/Good-Natured, Earnest, Laid-Back/Mellow, Organic, Reflective, Sentimental, Wistful, Literate","Politics/Society, Introspection, Affection/Fondness, Heartbreak, Reflection, Relationships",Southbound Train,Graham Nash,"International, Pop/Rock","Contemporary Pop/Rock, Folk-Rock, Psychedelic/Garage, Singer/Songwriter","Nostalgic, Sentimental",
