album_name,album_type,artist,album_release_date,album_duration,album_genre,album_styles,album_recording_location,album_recording_period,album_moods,album_themes,track_name,composers,genres,styles,moods,themes
Crosby & Nash,studio,Crosby & Nash,10-Aug-04,1:14:17,Pop/Rock,"Contemporary Pop/Rock, Contemporary Singer/Songwriter","Center Staging, Burbank, CA",10-Aug-04,"Earnest, Intimate, Wistful, Laid-Back/Mellow, Organic, Plaintive, Reflective, Sentimental, Amiable/Good-Natured, Bittersweet, Gentle",,Don't Dig Here,"Russ Kunkel, Graham Nash, James Raymond",,,,
Crosby & Nash,studio,Crosby & Nash,10-Aug-04,1:14:17,Pop/Rock,"Contemporary Pop/Rock, Contemporary Singer/Songwriter","Center Staging, Burbank, CA",10-Aug-04,"Earnest, Intimate, Wistful, Laid-Back/Mellow, Organic, Plaintive, Reflective, Sentimental, Amiable/Good-Natured, Bittersweet, Gentle",,Half Your Angels,Graham Nash,Pop/Rock,"Adult Contemporary, Singer/Songwriter","Calm/Peaceful, Dreamy, Sentimental, Yearning",
Crosby & Nash,studio,Crosby & Nash,10-Aug-04,1:14:17,Pop/Rock,"Contemporary Pop/Rock, Contemporary Singer/Songwriter","Center Staging, Burbank, CA",10-Aug-04,"Earnest, Intimate, Wistful, Laid-Back/Mellow, Organic, Plaintive, Reflective, Sentimental, Amiable/Good-Natured, Bittersweet, Gentle",,Jesus Of Rio,"Graham Nash, Jeff Pevar","Folk, Pop/Rock","Adult Contemporary, Folk-Pop, Singer/Songwriter","Calm/Peaceful, Dreamy, Relaxed, Sentimental",
Crosby & Nash,studio,Crosby & Nash,10-Aug-04,1:14:17,Pop/Rock,"Contemporary Pop/Rock, Contemporary Singer/Songwriter","Center Staging, Burbank, CA",10-Aug-04,"Earnest, Intimate, Wistful, Laid-Back/Mellow, Organic, Plaintive, Reflective, Sentimental, Amiable/Good-Natured, Bittersweet, Gentle",,On The Other Side Of Town,Graham Nash,Pop/Rock,"Adult Contemporary, Singer/Songwriter","Dreamy, Nostalgic, Sentimental",
Crosby & Nash,studio,Crosby & Nash,10-Aug-04,1:14:17,Pop/Rock,"Contemporary Pop/Rock, Contemporary Singer/Songwriter","Center Staging, Burbank, CA",10-Aug-04,"Earnest, Intimate, Wistful, Laid-Back/Mellow, Organic, Plaintive, Reflective, Sentimental, Amiable/Good-Natured, Bittersweet, Gentle",,Lay Me Down,James Raymond,Pop/Rock,"Folk-Rock, Psychedelic/Garage","Calm/Peaceful, Dreamy, Nostalgic, Sentimental",
Crosby & Nash,studio,Crosby & Nash,10-Aug-04,1:14:17,Pop/Rock,"Contemporary Pop/Rock, Contemporary Singer/Songwriter","Center Staging, Burbank, CA",10-Aug-04,"Earnest, Intimate, Wistful, Laid-Back/Mellow, Organic, Plaintive, Reflective, Sentimental, Amiable/Good-Natured, Bittersweet, Gentle",,Charlie,"David Crosby, Dean Parks",Pop/Rock,"Folk-Rock, Psychedelic/Garage",Laid-Back/Mellow,
Crosby & Nash,studio,Crosby & Nash,10-Aug-04,1:14:17,Pop/Rock,"Contemporary Pop/Rock, Contemporary Singer/Songwriter","Center Staging, Burbank, CA",10-Aug-04,"Earnest, Intimate, Wistful, Laid-Back/Mellow, Organic, Plaintive, Reflective, Sentimental, Amiable/Good-Natured, Bittersweet, Gentle",,Through Here Quite Often,"David Crosby, Dean Parks",,,,
Crosby & Nash,studio,Crosby & Nash,10-Aug-04,1:14:17,Pop/Rock,"Contemporary Pop/Rock, Contemporary Singer/Songwriter","Center Staging, Burbank, CA",10-Aug-04,"Earnest, Intimate, Wistful, Laid-Back/Mellow, Organic, Plaintive, Reflective, Sentimental, Amiable/Good-Natured, Bittersweet, Gentle",,Michael (Hedges Here),Graham Nash,,,,
Crosby & Nash,studio,Crosby & Nash,10-Aug-04,1:14:17,Pop/Rock,"Contemporary Pop/Rock, Contemporary Singer/Songwriter","Center Staging, Burbank, CA",10-Aug-04,"Earnest, Intimate, Wistful, Laid-Back/Mellow, Organic, Plaintive, Reflective, Sentimental, Amiable/Good-Natured, Bittersweet, Gentle",,My Country Tis Of Thee,Traditional,,,,
Crosby & Nash,studio,Crosby & Nash,10-Aug-04,1:14:17,Pop/Rock,"Contemporary Pop/Rock, Contemporary Singer/Songwriter","Center Staging, Burbank, CA",10-Aug-04,"Earnest, Intimate, Wistful, Laid-Back/Mellow, Organic, Plaintive, Reflective, Sentimental, Amiable/Good-Natured, Bittersweet, Gentle",,I Surrender,Marc Cohn,,,,
