album_name,album_type,artist,album_release_date,album_duration,album_genre,album_styles,album_recording_location,album_recording_period,album_moods,album_themes,track_name,composers,genres,styles,moods,themes
CSN 2012,live,"Crosby, Stills & Nash",17-Jul-12,2:31:33,Pop/Rock,"Contemporary Pop/Rock, Soft Rock, Album Rock","The Performing Arts Center, San Luis Obispo, CA",22-Apr-12,"Amiable/Good-Natured, Laid-Back/Mellow, Pastoral, Soothing, Organic, Poignant, Sentimental, Smooth, Autumnal, Earnest, Gentle, Intimate, Reflective, Relaxed, Summery, Sweet, Warm, Wistful, Literate",Politics/Society,Marrakesh Express,Graham Nash,Pop/Rock,"Album Rock, Contemporary Pop/Rock, Singer/Songwriter, Soft Rock, Folk-Rock, Psychedelic/Garage","Amiable/Good-Natured, Organic, Earnest, Pastoral, Bright, Cheerful, Laid-Back/Mellow, Lively, Reflective, Relaxed, Spiritual","Relaxation, Summer, Road Trip"
CSN 2012,live,"Crosby, Stills & Nash",17-Jul-12,2:31:33,Pop/Rock,"Contemporary Pop/Rock, Soft Rock, Album Rock","The Performing Arts Center, San Luis Obispo, CA",22-Apr-12,"Amiable/Good-Natured, Laid-Back/Mellow, Pastoral, Soothing, Organic, Poignant, Sentimental, Smooth, Autumnal, Earnest, Gentle, Intimate, Reflective, Relaxed, Summery, Sweet, Warm, Wistful, Literate",Politics/Society,"A Conversation with David Crosby, Stephen Stills & Graham Nash",,,,,
CSN 2012,live,"Crosby, Stills & Nash",17-Jul-12,2:31:33,Pop/Rock,"Contemporary Pop/Rock, Soft Rock, Album Rock","The Performing Arts Center, San Luis Obispo, CA",22-Apr-12,"Amiable/Good-Natured, Laid-Back/Mellow, Pastoral, Soothing, Organic, Poignant, Sentimental, Smooth, Autumnal, Earnest, Gentle, Intimate, Reflective, Relaxed, Summery, Sweet, Warm, Wistful, Literate",Politics/Society,Radio,David Crosby,,,,
CSN 2012,live,"Crosby, Stills & Nash",17-Jul-12,2:31:33,Pop/Rock,"Contemporary Pop/Rock, Soft Rock, Album Rock","The Performing Arts Center, San Luis Obispo, CA",22-Apr-12,"Amiable/Good-Natured, Laid-Back/Mellow, Pastoral, Soothing, Organic, Poignant, Sentimental, Smooth, Autumnal, Earnest, Gentle, Intimate, Reflective, Relaxed, Summery, Sweet, Warm, Wistful, Literate",Politics/Society,Deja Vu,David Crosby,"Pop/Rock, International","Folk-Rock, Psychedelic/Garage, Singer/Songwriter, Soft Rock, Contemporary Pop/Rock, Album Rock","Laid-Back/Mellow, Organic, Reflective, Searching, Soothing, Sweet, Warm, Wistful, Light, Bright, Calm/Peaceful, Nostalgic, Sentimental","Comfort, Day Driving, Hanging Out, Introspection, Reflection, Relaxation, Reminiscing"
CSN 2012,live,"Crosby, Stills & Nash",17-Jul-12,2:31:33,Pop/Rock,"Contemporary Pop/Rock, Soft Rock, Album Rock","The Performing Arts Center, San Luis Obispo, CA",22-Apr-12,"Amiable/Good-Natured, Laid-Back/Mellow, Pastoral, Soothing, Organic, Poignant, Sentimental, Smooth, Autumnal, Earnest, Gentle, Intimate, Reflective, Relaxed, Summery, Sweet, Warm, Wistful, Literate",Politics/Society,Helplessly Hoping,"Graham Nash, Stephen Stills",,,,
CSN 2012,live,"Crosby, Stills & Nash",17-Jul-12,2:31:33,Pop/Rock,"Contemporary Pop/Rock, Soft Rock, Album Rock","The Performing Arts Center, San Luis Obispo, CA",22-Apr-12,"Amiable/Good-Natured, Laid-Back/Mellow, Pastoral, Soothing, Organic, Poignant, Sentimental, Smooth, Autumnal, Earnest, Gentle, Intimate, Reflective, Relaxed, Summery, Sweet, Warm, Wistful, Literate",Politics/Society,Lay Me Down,James Raymond,,,,
CSN 2012,live,"Crosby, Stills & Nash",17-Jul-12,2:31:33,Pop/Rock,"Contemporary Pop/Rock, Soft Rock, Album Rock","The Performing Arts Center, San Luis Obispo, CA",22-Apr-12,"Amiable/Good-Natured, Laid-Back/Mellow, Pastoral, Soothing, Organic, Poignant, Sentimental, Smooth, Autumnal, Earnest, Gentle, Intimate, Reflective, Relaxed, Summery, Sweet, Warm, Wistful, Literate",Politics/Society,Learn to Live (So Begins the Task),Stephen Stills,,,,
CSN 2012,live,"Crosby, Stills & Nash",17-Jul-12,2:31:33,Pop/Rock,"Contemporary Pop/Rock, Soft Rock, Album Rock","The Performing Arts Center, San Luis Obispo, CA",22-Apr-12,"Amiable/Good-Natured, Laid-Back/Mellow, Pastoral, Soothing, Organic, Poignant, Sentimental, Smooth, Autumnal, Earnest, Gentle, Intimate, Reflective, Relaxed, Summery, Sweet, Warm, Wistful, Literate",Politics/Society,Love the One You're With,Stephen Stills,Pop/Rock,"Album Rock, Contemporary Pop/Rock, Singer/Songwriter, Soft Rock","Confident, Light, Literate, Sentimental, Warm, Freewheeling, Reflective, Smooth, Wistful, Sensual, Amiable/Good-Natured, Gentle, Innocent, Reserved, Reverent, Soothing, Yearning, Bright, Earnest, Intimate, Knotty, Sweet, Whimsical","Affection/Fondness, Hanging Out, Relaxation, Summer"
CSN 2012,live,"Crosby, Stills & Nash",17-Jul-12,2:31:33,Pop/Rock,"Contemporary Pop/Rock, Soft Rock, Album Rock","The Performing Arts Center, San Luis Obispo, CA",22-Apr-12,"Amiable/Good-Natured, Laid-Back/Mellow, Pastoral, Soothing, Organic, Poignant, Sentimental, Smooth, Autumnal, Earnest, Gentle, Intimate, Reflective, Relaxed, Summery, Sweet, Warm, Wistful, Literate",Politics/Society,On the Road Interviews wWith Band & Crew,,,,,
CSN 2012,live,"Crosby, Stills & Nash",17-Jul-12,2:31:33,Pop/Rock,"Contemporary Pop/Rock, Soft Rock, Album Rock","The Performing Arts Center, San Luis Obispo, CA",22-Apr-12,"Amiable/Good-Natured, Laid-Back/Mellow, Pastoral, Soothing, Organic, Poignant, Sentimental, Smooth, Autumnal, Earnest, Gentle, Intimate, Reflective, Relaxed, Summery, Sweet, Warm, Wistful, Literate",Politics/Society,Almost Gone,"Graham Nash, James Raymond",,,,
