album_name,album_type,artist,album_release_date,album_duration,album_genre,album_styles,album_recording_location,album_recording_period,album_moods,album_themes,track_name,composers,genres,styles,moods,themes
4 Way Street,live,"Crosby, Stills, Nash & Young",7-Apr-71,1:49:44,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Album Rock",,"June 2, 1970 - July, 1970","Literate, Pastoral, Gentle, Laid-Back/Mellow, Soft/Quiet, Yearning, Amiable/Good-Natured, Organic, Poignant, Sparse, Autumnal, Earnest, Intimate, Reflective, Whimsical, Wistful","Reflection, Reminiscing",Laughing,David Crosby,Pop/Rock,"Album Rock, Contemporary Pop/Rock, Singer/Songwriter, Soft Rock","Literate, Nocturnal, Self-Conscious, Wistful, Poignant, Sensual, Soft/Quiet, Sparse, Dreamy, Reflective, Earnest, Gentle, Reserved, Somber, Intimate, Melancholy, Weary, Whimsical","Introspection, Late Night, Reflection, Solitude"
4 Way Street,live,"Crosby, Stills, Nash & Young",7-Apr-71,1:49:44,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Album Rock",,"June 2, 1970 - July, 1970","Literate, Pastoral, Gentle, Laid-Back/Mellow, Soft/Quiet, Yearning, Amiable/Good-Natured, Organic, Poignant, Sparse, Autumnal, Earnest, Intimate, Reflective, Whimsical, Wistful","Reflection, Reminiscing",Suite: Judy Blue Eyes,Stephen Stills,Pop/Rock,"Album Rock, Contemporary Pop/Rock, Singer/Songwriter, Soft Rock","Earnest, Organic, Sentimental, Sweet, Freewheeling, Poignant, Smooth, Warm, Gentle, Intimate, Reflective, Soothing, Amiable/Good-Natured, Laid-Back/Mellow, Relaxed, Summery","Affection/Fondness, Comfort, Relaxation, Reminiscing"
4 Way Street,live,"Crosby, Stills, Nash & Young",7-Apr-71,1:49:44,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Album Rock",,"June 2, 1970 - July, 1970","Literate, Pastoral, Gentle, Laid-Back/Mellow, Soft/Quiet, Yearning, Amiable/Good-Natured, Organic, Poignant, Sparse, Autumnal, Earnest, Intimate, Reflective, Whimsical, Wistful","Reflection, Reminiscing",Southern Man,Neil Young,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Soft Rock","Anguished/Distraught, Gritty, Intense, Literate, Poignant, Uncompromising, Dramatic, Indulgent, Ominous, Street-Smart, Angst-Ridden, Cathartic, Earnest, Eerie, Paranoid, Tense/Anxious, Urgent, Confrontational, Gutsy, Reflective, Theatrical","Politics/Society, Reminiscing, Revolution"
4 Way Street,live,"Crosby, Stills, Nash & Young",7-Apr-71,1:49:44,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Album Rock",,"June 2, 1970 - July, 1970","Literate, Pastoral, Gentle, Laid-Back/Mellow, Soft/Quiet, Yearning, Amiable/Good-Natured, Organic, Poignant, Sparse, Autumnal, Earnest, Intimate, Reflective, Whimsical, Wistful","Reflection, Reminiscing",Carry On,Stephen Stills,Pop/Rock,"Album Rock, Contemporary Pop/Rock, Singer/Songwriter, Soft Rock","Bright, Gritty, Organic, Ramshackle, Stately, Confident, Indulgent, Rousing, Yearning, Amiable/Good-Natured, Energetic, Searching, Urgent, Earnest, Freewheeling, Literate, Lively, Reflective, Sprawling, Whimsical","Hanging Out, Relaxation, Reminiscing"
4 Way Street,live,"Crosby, Stills, Nash & Young",7-Apr-71,1:49:44,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Album Rock",,"June 2, 1970 - July, 1970","Literate, Pastoral, Gentle, Laid-Back/Mellow, Soft/Quiet, Yearning, Amiable/Good-Natured, Organic, Poignant, Sparse, Autumnal, Earnest, Intimate, Reflective, Whimsical, Wistful","Reflection, Reminiscing",Find the Cost of Freedom,Stephen Stills,Pop/Rock,"Contemporary Pop/Rock, Folk-Rock, Psychedelic/Garage, Soft Rock, Album Rock, Singer/Songwriter","Innocent, Laid-Back/Mellow, Light, Organic, Refined, Relaxed, Soft/Quiet, Warm, Wistful, Yearning, Amiable/Good-Natured, Earnest, Gentle, Intimate, Plaintive, Reflective, Bittersweet, Delicate, Insular, Literate, Poignant, Searching, Soothing, Spiritual, Sweet, Weary, Sentimental, Precious","Comfort, Day Driving, Hanging Out, Introspection, Reflection, Relaxation, Solitude"
4 Way Street,live,"Crosby, Stills, Nash & Young",7-Apr-71,1:49:44,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Album Rock",,"June 2, 1970 - July, 1970","Literate, Pastoral, Gentle, Laid-Back/Mellow, Soft/Quiet, Yearning, Amiable/Good-Natured, Organic, Poignant, Sparse, Autumnal, Earnest, Intimate, Reflective, Whimsical, Wistful","Reflection, Reminiscing",Medley,Stephen Stills,,,,
4 Way Street,live,"Crosby, Stills, Nash & Young",7-Apr-71,1:49:44,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Album Rock",,"June 2, 1970 - July, 1970","Literate, Pastoral, Gentle, Laid-Back/Mellow, Soft/Quiet, Yearning, Amiable/Good-Natured, Organic, Poignant, Sparse, Autumnal, Earnest, Intimate, Reflective, Whimsical, Wistful","Reflection, Reminiscing",Right Between the Eyes,Graham Nash,Pop/Rock,"Album Rock, Contemporary Pop/Rock, Singer/Songwriter, Soft Rock","Literate, Wistful, Poignant, Soft/Quiet, Sparse, Delicate, Dreamy, Elegant, Innocent, Reflective, Sentimental, Earnest, Gentle, Reserved, Somber, Intimate, Melancholy, Weary, Whimsical","Introspection, Late Night, Reflection"
4 Way Street,live,"Crosby, Stills, Nash & Young",7-Apr-71,1:49:44,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Album Rock",,"June 2, 1970 - July, 1970","Literate, Pastoral, Gentle, Laid-Back/Mellow, Soft/Quiet, Yearning, Amiable/Good-Natured, Organic, Poignant, Sparse, Autumnal, Earnest, Intimate, Reflective, Whimsical, Wistful","Reflection, Reminiscing",Triad,David Crosby,Pop/Rock,"Album Rock, Contemporary Pop/Rock, Singer/Songwriter, Soft Rock","Literate, Wistful, Soft/Quiet, Sparse, Atmospheric, Delicate, Dreamy, Organic, Reflective, Relaxed, Searching, Sexual, Earnest, Gentle, Somber, Intimate, Melancholy, Weary, Whimsical","Affection/Fondness, Freedom, Late Night, New Love"
4 Way Street,live,"Crosby, Stills, Nash & Young",7-Apr-71,1:49:44,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Album Rock",,"June 2, 1970 - July, 1970","Literate, Pastoral, Gentle, Laid-Back/Mellow, Soft/Quiet, Yearning, Amiable/Good-Natured, Organic, Poignant, Sparse, Autumnal, Earnest, Intimate, Reflective, Whimsical, Wistful","Reflection, Reminiscing",Don't Let It Bring You Down,Neil Young,Pop/Rock,"Album Rock, Contemporary Pop/Rock, Singer/Songwriter, Soft Rock","Dreamy, Gentle, Literate, Street-Smart, Nocturnal, Reflective, Yearning, Bittersweet, Intimate, Self-Conscious, Soft/Quiet, Earnest, Reserved, Soothing, Wistful, Melancholy, Sophisticated, Sparse, Weary, Whimsical","Introspection, Reflection, Relaxation"
4 Way Street,live,"Crosby, Stills, Nash & Young",7-Apr-71,1:49:44,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Album Rock",,"June 2, 1970 - July, 1970","Literate, Pastoral, Gentle, Laid-Back/Mellow, Soft/Quiet, Yearning, Amiable/Good-Natured, Organic, Poignant, Sparse, Autumnal, Earnest, Intimate, Reflective, Whimsical, Wistful","Reflection, Reminiscing",King Midas in Reverse,"Allan Clarke, Tony Hicks, Graham Nash",Pop/Rock,"Album Rock, Contemporary Pop/Rock, Singer/Songwriter, Soft Rock","Literate, Wistful, Poignant, Sensual, Soft/Quiet, Sparse, Bittersweet, Delicate, Dreamy, Elegant, Innocent, Reflective, Sentimental, Earnest, Gentle, Reserved, Somber, Intimate, Melancholy, Weary, Whimsical","Heartache, Late Night, Reflection"
4 Way Street,live,"Crosby, Stills, Nash & Young",7-Apr-71,1:49:44,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Album Rock",,"June 2, 1970 - July, 1970","Literate, Pastoral, Gentle, Laid-Back/Mellow, Soft/Quiet, Yearning, Amiable/Good-Natured, Organic, Poignant, Sparse, Autumnal, Earnest, Intimate, Reflective, Whimsical, Wistful","Reflection, Reminiscing",Long Time Gone,"David Crosby, Frank Hartford, Tex Ritter",Pop/Rock,"Album Rock, Contemporary Pop/Rock, Singer/Songwriter, Soft Rock","Gritty, Stately, Confident, Indulgent, Yearning, Bravado, Confrontational, Dramatic, Energetic, Gutsy, Outraged, Passionate, Searching, Street-Smart, Tense/Anxious, Urgent, Earnest, Literate, Reflective, Sprawling, Whimsical","Empowerment, Politics/Society, Reminiscing, Revolution"
