album_name,album_type,artist,album_release_date,album_duration,album_genre,album_styles,album_recording_location,album_recording_period,album_moods,album_themes,track_name,composers,genres,styles,moods,themes
A Letter Home,studio,Neil Young,12-May-14,39:33:00,Pop/Rock,"Album Rock, Contemporary Pop/Rock, Country-Folk, Country-Rock","Third Man Records, Nashville, TN",,"Autumnal, Bittersweet, Earthy, Plaintive, Poignant, Pastoral, Reflective, Rustic, Searching, Earnest, Eccentric, Laid-Back/Mellow, Literate, Melancholy, Messy, Organic, Quirky, Ramshackle, Weary, Wistful, Cerebral, Meandering, Nostalgic, Playful, Eerie, Gentle, Intimate, Sweet","Autumn, Comfort, Feeling Blue, Healing/Comfort, Heartache, Introspection, Late Night, Other Times & Places, Reflection, Regret, Reminiscing, Solitude, Yearning",Changes,Phil Ochs,,,,
A Letter Home,studio,Neil Young,12-May-14,39:33:00,Pop/Rock,"Album Rock, Contemporary Pop/Rock, Country-Folk, Country-Rock","Third Man Records, Nashville, TN",,"Autumnal, Bittersweet, Earthy, Plaintive, Poignant, Pastoral, Reflective, Rustic, Searching, Earnest, Eccentric, Laid-Back/Mellow, Literate, Melancholy, Messy, Organic, Quirky, Ramshackle, Weary, Wistful, Cerebral, Meandering, Nostalgic, Playful, Eerie, Gentle, Intimate, Sweet","Autumn, Comfort, Feeling Blue, Healing/Comfort, Heartache, Introspection, Late Night, Other Times & Places, Reflection, Regret, Reminiscing, Solitude, Yearning",Reason to Believe,Tim Hardin,,,,
A Letter Home,studio,Neil Young,12-May-14,39:33:00,Pop/Rock,"Album Rock, Contemporary Pop/Rock, Country-Folk, Country-Rock","Third Man Records, Nashville, TN",,"Autumnal, Bittersweet, Earthy, Plaintive, Poignant, Pastoral, Reflective, Rustic, Searching, Earnest, Eccentric, Laid-Back/Mellow, Literate, Melancholy, Messy, Organic, Quirky, Ramshackle, Weary, Wistful, Cerebral, Meandering, Nostalgic, Playful, Eerie, Gentle, Intimate, Sweet","Autumn, Comfort, Feeling Blue, Healing/Comfort, Heartache, Introspection, Late Night, Other Times & Places, Reflection, Regret, Reminiscing, Solitude, Yearning",If You Could Read My Mind,Gordon Lightfoot,,,,
A Letter Home,studio,Neil Young,12-May-14,39:33:00,Pop/Rock,"Album Rock, Contemporary Pop/Rock, Country-Folk, Country-Rock","Third Man Records, Nashville, TN",,"Autumnal, Bittersweet, Earthy, Plaintive, Poignant, Pastoral, Reflective, Rustic, Searching, Earnest, Eccentric, Laid-Back/Mellow, Literate, Melancholy, Messy, Organic, Quirky, Ramshackle, Weary, Wistful, Cerebral, Meandering, Nostalgic, Playful, Eerie, Gentle, Intimate, Sweet","Autumn, Comfort, Feeling Blue, Healing/Comfort, Heartache, Introspection, Late Night, Other Times & Places, Reflection, Regret, Reminiscing, Solitude, Yearning",A Letter Home Intro,,,,,
A Letter Home,studio,Neil Young,12-May-14,39:33:00,Pop/Rock,"Album Rock, Contemporary Pop/Rock, Country-Folk, Country-Rock","Third Man Records, Nashville, TN",,"Autumnal, Bittersweet, Earthy, Plaintive, Poignant, Pastoral, Reflective, Rustic, Searching, Earnest, Eccentric, Laid-Back/Mellow, Literate, Melancholy, Messy, Organic, Quirky, Ramshackle, Weary, Wistful, Cerebral, Meandering, Nostalgic, Playful, Eerie, Gentle, Intimate, Sweet","Autumn, Comfort, Feeling Blue, Healing/Comfort, Heartache, Introspection, Late Night, Other Times & Places, Reflection, Regret, Reminiscing, Solitude, Yearning",Since I Met You Baby,Ivory Joe Hunter,,,,
A Letter Home,studio,Neil Young,12-May-14,39:33:00,Pop/Rock,"Album Rock, Contemporary Pop/Rock, Country-Folk, Country-Rock","Third Man Records, Nashville, TN",,"Autumnal, Bittersweet, Earthy, Plaintive, Poignant, Pastoral, Reflective, Rustic, Searching, Earnest, Eccentric, Laid-Back/Mellow, Literate, Melancholy, Messy, Organic, Quirky, Ramshackle, Weary, Wistful, Cerebral, Meandering, Nostalgic, Playful, Eerie, Gentle, Intimate, Sweet","Autumn, Comfort, Feeling Blue, Healing/Comfort, Heartache, Introspection, Late Night, Other Times & Places, Reflection, Regret, Reminiscing, Solitude, Yearning",Crazy/A Letter Home Intro #2,Willie Nelson,,,,
A Letter Home,studio,Neil Young,12-May-14,39:33:00,Pop/Rock,"Album Rock, Contemporary Pop/Rock, Country-Folk, Country-Rock","Third Man Records, Nashville, TN",,"Autumnal, Bittersweet, Earthy, Plaintive, Poignant, Pastoral, Reflective, Rustic, Searching, Earnest, Eccentric, Laid-Back/Mellow, Literate, Melancholy, Messy, Organic, Quirky, Ramshackle, Weary, Wistful, Cerebral, Meandering, Nostalgic, Playful, Eerie, Gentle, Intimate, Sweet","Autumn, Comfort, Feeling Blue, Healing/Comfort, Heartache, Introspection, Late Night, Other Times & Places, Reflection, Regret, Reminiscing, Solitude, Yearning",Needle of Death,Bert Jansch,,,,
A Letter Home,studio,Neil Young,12-May-14,39:33:00,Pop/Rock,"Album Rock, Contemporary Pop/Rock, Country-Folk, Country-Rock","Third Man Records, Nashville, TN",,"Autumnal, Bittersweet, Earthy, Plaintive, Poignant, Pastoral, Reflective, Rustic, Searching, Earnest, Eccentric, Laid-Back/Mellow, Literate, Melancholy, Messy, Organic, Quirky, Ramshackle, Weary, Wistful, Cerebral, Meandering, Nostalgic, Playful, Eerie, Gentle, Intimate, Sweet","Autumn, Comfort, Feeling Blue, Healing/Comfort, Heartache, Introspection, Late Night, Other Times & Places, Reflection, Regret, Reminiscing, Solitude, Yearning",I Wonder If I Care as Much,Don Everly,,,,
A Letter Home,studio,Neil Young,12-May-14,39:33:00,Pop/Rock,"Album Rock, Contemporary Pop/Rock, Country-Folk, Country-Rock","Third Man Records, Nashville, TN",,"Autumnal, Bittersweet, Earthy, Plaintive, Poignant, Pastoral, Reflective, Rustic, Searching, Earnest, Eccentric, Laid-Back/Mellow, Literate, Melancholy, Messy, Organic, Quirky, Ramshackle, Weary, Wistful, Cerebral, Meandering, Nostalgic, Playful, Eerie, Gentle, Intimate, Sweet","Autumn, Comfort, Feeling Blue, Healing/Comfort, Heartache, Introspection, Late Night, Other Times & Places, Reflection, Regret, Reminiscing, Solitude, Yearning",Early Morning Rain,Gordon Lightfoot,,,,
A Letter Home,studio,Neil Young,12-May-14,39:33:00,Pop/Rock,"Album Rock, Contemporary Pop/Rock, Country-Folk, Country-Rock","Third Man Records, Nashville, TN",,"Autumnal, Bittersweet, Earthy, Plaintive, Poignant, Pastoral, Reflective, Rustic, Searching, Earnest, Eccentric, Laid-Back/Mellow, Literate, Melancholy, Messy, Organic, Quirky, Ramshackle, Weary, Wistful, Cerebral, Meandering, Nostalgic, Playful, Eerie, Gentle, Intimate, Sweet","Autumn, Comfort, Feeling Blue, Healing/Comfort, Heartache, Introspection, Late Night, Other Times & Places, Reflection, Regret, Reminiscing, Solitude, Yearning",Girl from the North Country,Bob Dylan,,,,
A Letter Home,studio,Neil Young,12-May-14,39:33:00,Pop/Rock,"Album Rock, Contemporary Pop/Rock, Country-Folk, Country-Rock","Third Man Records, Nashville, TN",,"Autumnal, Bittersweet, Earthy, Plaintive, Poignant, Pastoral, Reflective, Rustic, Searching, Earnest, Eccentric, Laid-Back/Mellow, Literate, Melancholy, Messy, Organic, Quirky, Ramshackle, Weary, Wistful, Cerebral, Meandering, Nostalgic, Playful, Eerie, Gentle, Intimate, Sweet","Autumn, Comfort, Feeling Blue, Healing/Comfort, Heartache, Introspection, Late Night, Other Times & Places, Reflection, Regret, Reminiscing, Solitude, Yearning",My Hometown,Bruce Springsteen,,,,
A Letter Home,studio,Neil Young,12-May-14,39:33:00,Pop/Rock,"Album Rock, Contemporary Pop/Rock, Country-Folk, Country-Rock","Third Man Records, Nashville, TN",,"Autumnal, Bittersweet, Earthy, Plaintive, Poignant, Pastoral, Reflective, Rustic, Searching, Earnest, Eccentric, Laid-Back/Mellow, Literate, Melancholy, Messy, Organic, Quirky, Ramshackle, Weary, Wistful, Cerebral, Meandering, Nostalgic, Playful, Eerie, Gentle, Intimate, Sweet","Autumn, Comfort, Feeling Blue, Healing/Comfort, Heartache, Introspection, Late Night, Other Times & Places, Reflection, Regret, Reminiscing, Solitude, Yearning",On the Road Again,Willie Nelson,,,,
