album_name,album_type,artist,album_release_date,album_duration,album_genre,album_styles,album_recording_location,album_recording_period,album_moods,album_themes,track_name,composers,genres,styles,moods,themes
Stephen Stills 2,studio,Stephen Stills,1971,43:02:00,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Soft Rock",,,"Amiable/Good-Natured, Literate, Passionate, Strong, Autumnal, Earnest, Intimate, Laid-Back/Mellow, Lively, Organic, Reflective, Sentimental, Wistful, Pastoral, Bittersweet, Freewheeling, Playful, Reverent, Rousing, Street-Smart","Freedom, Imagination, Late Night, Road Trip, Hanging Out, Relaxation",Bluebird Revisited,Stephen Stills,,,,
Stephen Stills 2,studio,Stephen Stills,1971,43:02:00,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Soft Rock",,,"Amiable/Good-Natured, Literate, Passionate, Strong, Autumnal, Earnest, Intimate, Laid-Back/Mellow, Lively, Organic, Reflective, Sentimental, Wistful, Pastoral, Bittersweet, Freewheeling, Playful, Reverent, Rousing, Street-Smart","Freedom, Imagination, Late Night, Road Trip, Hanging Out, Relaxation",Relaxing Town,Stephen Stills,"Electronic, Pop/Rock","Early R&B, Club/Dance, Contemporary Pop/Rock, Singer/Songwriter","Lively, Optimistic",
Stephen Stills 2,studio,Stephen Stills,1971,43:02:00,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Soft Rock",,,"Amiable/Good-Natured, Literate, Passionate, Strong, Autumnal, Earnest, Intimate, Laid-Back/Mellow, Lively, Organic, Reflective, Sentimental, Wistful, Pastoral, Bittersweet, Freewheeling, Playful, Reverent, Rousing, Street-Smart","Freedom, Imagination, Late Night, Road Trip, Hanging Out, Relaxation",Ecology Song,Stephen Stills,"Jazz, Pop/Rock","Early R&B, Contemporary Pop/Rock, Fusion, Singer/Songwriter","Lively, Sentimental",
Stephen Stills 2,studio,Stephen Stills,1971,43:02:00,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Soft Rock",,,"Amiable/Good-Natured, Literate, Passionate, Strong, Autumnal, Earnest, Intimate, Laid-Back/Mellow, Lively, Organic, Reflective, Sentimental, Wistful, Pastoral, Bittersweet, Freewheeling, Playful, Reverent, Rousing, Street-Smart","Freedom, Imagination, Late Night, Road Trip, Hanging Out, Relaxation",Marianne,Stephen Stills,"Electronic, Pop/Rock","Blues-Rock, Club/Dance, Contemporary Pop/Rock, Singer/Songwriter","Lively, Optimistic, Sentimental",
Stephen Stills 2,studio,Stephen Stills,1971,43:02:00,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Soft Rock",,,"Amiable/Good-Natured, Literate, Passionate, Strong, Autumnal, Earnest, Intimate, Laid-Back/Mellow, Lively, Organic, Reflective, Sentimental, Wistful, Pastoral, Bittersweet, Freewheeling, Playful, Reverent, Rousing, Street-Smart","Freedom, Imagination, Late Night, Road Trip, Hanging Out, Relaxation",Word Game,Stephen Stills,Pop/Rock,"Folk-Rock, Psychedelic/Garage","Dreamy, Sentimental",
Stephen Stills 2,studio,Stephen Stills,1971,43:02:00,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Soft Rock",,,"Amiable/Good-Natured, Literate, Passionate, Strong, Autumnal, Earnest, Intimate, Laid-Back/Mellow, Lively, Organic, Reflective, Sentimental, Wistful, Pastoral, Bittersweet, Freewheeling, Playful, Reverent, Rousing, Street-Smart","Freedom, Imagination, Late Night, Road Trip, Hanging Out, Relaxation",Fishes and Scorpions,Stephen Stills,Pop/Rock,"Contemporary Pop/Rock, Psychedelic/Garage, Singer/Songwriter","Dreamy, Lively, Restrained, Sentimental",
Stephen Stills 2,studio,Stephen Stills,1971,43:02:00,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Soft Rock",,,"Amiable/Good-Natured, Literate, Passionate, Strong, Autumnal, Earnest, Intimate, Laid-Back/Mellow, Lively, Organic, Reflective, Sentimental, Wistful, Pastoral, Bittersweet, Freewheeling, Playful, Reverent, Rousing, Street-Smart","Freedom, Imagination, Late Night, Road Trip, Hanging Out, Relaxation",Nothin' to Do But Today,Stephen Stills,"Pop/Rock, R&B","Early R&B, Contemporary Pop/Rock, Singer/Songwriter",Lively,
Stephen Stills 2,studio,Stephen Stills,1971,43:02:00,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Soft Rock",,,"Amiable/Good-Natured, Literate, Passionate, Strong, Autumnal, Earnest, Intimate, Laid-Back/Mellow, Lively, Organic, Reflective, Sentimental, Wistful, Pastoral, Bittersweet, Freewheeling, Playful, Reverent, Rousing, Street-Smart","Freedom, Imagination, Late Night, Road Trip, Hanging Out, Relaxation",Change Partners,Stephen Stills,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Soft Rock","Stylish, Warm, Bright, Cheerful, Innocent, Lively, Lush, Pastoral, Sophisticated, Sparkling","Sunday Afternoon, Day Driving, Summer"
Stephen Stills 2,studio,Stephen Stills,1971,43:02:00,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Soft Rock",,,"Amiable/Good-Natured, Literate, Passionate, Strong, Autumnal, Earnest, Intimate, Laid-Back/Mellow, Lively, Organic, Reflective, Sentimental, Wistful, Pastoral, Bittersweet, Freewheeling, Playful, Reverent, Rousing, Street-Smart","Freedom, Imagination, Late Night, Road Trip, Hanging Out, Relaxation",Know You Got to Run,Stephen Stills,,,,
Stephen Stills 2,studio,Stephen Stills,1971,43:02:00,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Soft Rock",,,"Amiable/Good-Natured, Literate, Passionate, Strong, Autumnal, Earnest, Intimate, Laid-Back/Mellow, Lively, Organic, Reflective, Sentimental, Wistful, Pastoral, Bittersweet, Freewheeling, Playful, Reverent, Rousing, Street-Smart","Freedom, Imagination, Late Night, Road Trip, Hanging Out, Relaxation",Sugar Babe,Stephen Stills,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter","Lively, Optimistic, Sentimental",
Stephen Stills 2,studio,Stephen Stills,1971,43:02:00,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Soft Rock",,,"Amiable/Good-Natured, Literate, Passionate, Strong, Autumnal, Earnest, Intimate, Laid-Back/Mellow, Lively, Organic, Reflective, Sentimental, Wistful, Pastoral, Bittersweet, Freewheeling, Playful, Reverent, Rousing, Street-Smart","Freedom, Imagination, Late Night, Road Trip, Hanging Out, Relaxation",Singin' Call,Stephen Stills,"Country, Pop/Rock","Country-Pop, Singer/Songwriter","Dreamy, Sentimental",
Stephen Stills 2,studio,Stephen Stills,1971,43:02:00,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Soft Rock",,,"Amiable/Good-Natured, Literate, Passionate, Strong, Autumnal, Earnest, Intimate, Laid-Back/Mellow, Lively, Organic, Reflective, Sentimental, Wistful, Pastoral, Bittersweet, Freewheeling, Playful, Reverent, Rousing, Street-Smart","Freedom, Imagination, Late Night, Road Trip, Hanging Out, Relaxation",Open Secret,Stephen Stills,Pop/Rock,"Early R&B, Contemporary Pop/Rock, Singer/Songwriter","Lively, Optimistic, Sentimental",
Everybody Knows,studio,Stephen Stills,22-Sep-17,40:45:00,Pop/Rock,"Contemporary Pop/Rock, Soft Rock","Straygator Sound, CA",,"Warm, Earnest, Freewheeling, Laid-Back/Mellow, Meandering, Yearning, Agreeable, Amiable/Good-Natured","Affection/Fondness, Lifecycle, Relaxation, Feeling Blue, Comfort, Healing/Comfort, Sunday Afternoon",Judy,Stephen Stills,,,,
Everybody Knows,studio,Stephen Stills,22-Sep-17,40:45:00,Pop/Rock,"Contemporary Pop/Rock, Soft Rock","Straygator Sound, CA",,"Warm, Earnest, Freewheeling, Laid-Back/Mellow, Meandering, Yearning, Agreeable, Amiable/Good-Natured","Affection/Fondness, Lifecycle, Relaxation, Feeling Blue, Comfort, Healing/Comfort, Sunday Afternoon",River of Gold,Judy Collins,,,,
Everybody Knows,studio,Stephen Stills,22-Sep-17,40:45:00,Pop/Rock,"Contemporary Pop/Rock, Soft Rock","Straygator Sound, CA",,"Warm, Earnest, Freewheeling, Laid-Back/Mellow, Meandering, Yearning, Agreeable, Amiable/Good-Natured","Affection/Fondness, Lifecycle, Relaxation, Feeling Blue, Comfort, Healing/Comfort, Sunday Afternoon",Reason to Believe,Tim Hardin,,,,
Everybody Knows,studio,Stephen Stills,22-Sep-17,40:45:00,Pop/Rock,"Contemporary Pop/Rock, Soft Rock","Straygator Sound, CA",,"Warm, Earnest, Freewheeling, Laid-Back/Mellow, Meandering, Yearning, Agreeable, Amiable/Good-Natured","Affection/Fondness, Lifecycle, Relaxation, Feeling Blue, Comfort, Healing/Comfort, Sunday Afternoon",Girl From the North Country,Bob Dylan,,,,
Everybody Knows,studio,Stephen Stills,22-Sep-17,40:45:00,Pop/Rock,"Contemporary Pop/Rock, Soft Rock","Straygator Sound, CA",,"Warm, Earnest, Freewheeling, Laid-Back/Mellow, Meandering, Yearning, Agreeable, Amiable/Good-Natured","Affection/Fondness, Lifecycle, Relaxation, Feeling Blue, Comfort, Healing/Comfort, Sunday Afternoon",So Begins the Task,Stephen Stills,,,,
Everybody Knows,studio,Stephen Stills,22-Sep-17,40:45:00,Pop/Rock,"Contemporary Pop/Rock, Soft Rock","Straygator Sound, CA",,"Warm, Earnest, Freewheeling, Laid-Back/Mellow, Meandering, Yearning, Agreeable, Amiable/Good-Natured","Affection/Fondness, Lifecycle, Relaxation, Feeling Blue, Comfort, Healing/Comfort, Sunday Afternoon",Houses,Judy Collins,,,,
