track,album,album_type,artist,album_duration,release_date,recording_period,recording_location,album_genre,album_styles,album_moods,album_themes,genres,styles,moods,themes,composers
Bittersweet,Wind on the Water,studio,Crosby & Nash,40:57:00,,,,Pop/Rock,"Singer/Songwriter, Soft Rock, Contemporary Pop/Rock","Amiable/Good-Natured, Earnest, Gentle, Intimate, Laid-Back/Mellow, Organic, Poignant, Reflective, Sentimental, Wistful","Daydreaming, Dinner Ambiance, Homecoming",Pop/Rock,"Album Rock, Singer/Songwriter, Soft Rock, Folk-Rock, Psychedelic/Garage",Organic,,David Crosby
Blacknotes,Graham Nash & David Crosby,studio,Crosby & Nash,35:40:00,,1972,"Wally Heider III, Los Angeles, CA",Pop/Rock,"Singer/Songwriter, Soft Rock","Pastoral, Soothing, Poignant, Smooth, Autumnal, Gentle, Intimate, Relaxed, Summery, Sweet, Warm, Amiable/Good-Natured, Earnest, Laid-Back/Mellow, Organic, Reflective, Sentimental, Wistful, Literate","Politics/Society, Introspection, Affection/Fondness, Heartbreak, Reflection, Relationships","International, Pop/Rock",Singer/Songwriter,"Calm/Peaceful, Dreamy, Sentimental",,Graham Nash
Broken Bird,Whistling Down the Wire,studio,Crosby & Nash,36:36:00,1976-06,,"Sound Labs, LA, CA & Rudy Recor",Pop/Rock,"Singer/Songwriter, Album Rock, Soft Rock","Amiable/Good-Natured, Earnest, Gentle, Intimate, Laid-Back/Mellow, Organic, Poignant, Reflective, Sentimental, Wistful","Daydreaming, Dinner Ambiance, Homecoming",,,,,"David Crosby, Graham Nash"
Carry Me,Wind on the Water,studio,Crosby & Nash,40:57:00,,,,Pop/Rock,"Singer/Songwriter, Soft Rock, Contemporary Pop/Rock","Amiable/Good-Natured, Earnest, Gentle, Intimate, Laid-Back/Mellow, Organic, Poignant, Reflective, Sentimental, Wistful","Daydreaming, Dinner Ambiance, Homecoming",Pop/Rock,"Album Rock, Singer/Songwriter, Soft Rock, Folk-Rock, Psychedelic/Garage",Organic,"Feeling Blue, Loss/Grief",David Crosby
Charlie,Crosby & Nash,studio,Crosby & Nash,1:14:17,,10-Aug-04,"Center Staging, Burbank, CA",Pop/Rock,"Contemporary Pop/Rock, Contemporary Singer/Songwriter","Earnest, Intimate, Wistful, Laid-Back/Mellow, Organic, Plaintive, Reflective, Sentimental, Amiable/Good-Natured, Bittersweet, Gentle",,Pop/Rock,"Folk-Rock, Psychedelic/Garage",Laid-Back/Mellow,,"David Crosby, Dean Parks"
Cowboy of Dreams,Wind on the Water,studio,Crosby & Nash,40:57:00,,,,Pop/Rock,"Singer/Songwriter, Soft Rock, Contemporary Pop/Rock","Amiable/Good-Natured, Earnest, Gentle, Intimate, Laid-Back/Mellow, Organic, Poignant, Reflective, Sentimental, Wistful","Daydreaming, Dinner Ambiance, Homecoming",Pop/Rock,"Album Rock, Folk-Rock, Psychedelic/Garage, Singer/Songwriter, Soft Rock",Organic,,Graham Nash
Dancer,Whistling Down the Wire,studio,Crosby & Nash,36:36:00,1976-06,,"Sound Labs, LA, CA & Rudy Recor",Pop/Rock,"Singer/Songwriter, Album Rock, Soft Rock","Amiable/Good-Natured, Earnest, Gentle, Intimate, Laid-Back/Mellow, Organic, Poignant, Reflective, Sentimental, Wistful","Daydreaming, Dinner Ambiance, Homecoming",,,,,David Crosby
Don't Dig Here,Crosby & Nash,studio,Crosby & Nash,1:14:17,,10-Aug-04,"Center Staging, Burbank, CA",Pop/Rock,"Contemporary Pop/Rock, Contemporary Singer/Songwriter","Earnest, Intimate, Wistful, Laid-Back/Mellow, Organic, Plaintive, Reflective, Sentimental, Amiable/Good-Natured, Bittersweet, Gentle",,,,,,"Russ Kunkel, Graham Nash, James Raymond"
Deja Vu,Live,live,Crosby & Nash,51:36:00,1977-11,"September 7, 1975 - September 11, 1976"," Anaheim, CA Blossom Music Festival, Akron O Garden State Art Center, Homdel ",Pop/Rock,"Singer/Songwriter, Album Rock, Soft Rock","Amiable/Good-Natured, Earnest, Gentle, Intimate, Laid-Back/Mellow, Organic, Poignant, Reflective, Sentimental, Wistful","Daydreaming, Dinner Ambiance, Homecoming",Pop/Rock,"Singer/Songwriter, Soft Rock, Contemporary Pop/Rock, Folk-Rock, Psychedelic/Garage, Album Rock","Laid-Back/Mellow, Organic, Reflective, Searching, Soothing, Sweet, Warm, Wistful, Light, Bright, Yearning","Comfort, Day Driving, Hanging Out, Introspection, Reflection, Relaxation, Reminiscing, Celebration",David Crosby
Fieldworker,Wind on the Water,studio,Crosby & Nash,40:57:00,,,,Pop/Rock,"Singer/Songwriter, Soft Rock, Contemporary Pop/Rock","Amiable/Good-Natured, Earnest, Gentle, Intimate, Laid-Back/Mellow, Organic, Poignant, Reflective, Sentimental, Wistful","Daydreaming, Dinner Ambiance, Homecoming",Pop/Rock,"Album Rock, Singer/Songwriter, Soft Rock, Folk-Rock, Psychedelic/Garage","Organic, Rebellious",,Graham Nash
