track,album,album_type,artist,album_duration,release_date,recording_period,recording_location,album_genre,album_styles,album_moods,album_themes,genres,styles,moods,themes,composers
4 + 20,Deja Vu ,studio,"Crosby, Stills, Nash & Young",35:34:00,,,"Wally Heiders Studio III, Los Angeles, CA",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter","Laid-Back/Mellow, Literate, Amiable/Good-Natured, Autumnal, Earnest, Gentle, Intimate, Organic, Plaintive, Poignant, Wistful","Affection/Fondness, Healing/Comfort, Lifecycle, Politics/Society, Zeitgeist, Reflection, World View, Parenthood, The Great Outdoors",Pop/Rock,"Folk-Rock, Psychedelic/Garage, Singer/Songwriter","Amiable/Good-Natured, Gentle, Laid-Back/Mellow, Organic, Relaxed, Sentimental, Smooth, Soft/Quiet, Soothing, Sweet, Warm","Affection/Fondness, At the Office, Comfort, Family Gatherings, Relaxation",Stephen Stills
After the Garden,Deja Vu Live,live,"Crosby, Stills, Nash & Young",,,2006,"Audio Resource, Honolulu, HI",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter","Laid-Back/Mellow, Literate, Amiable/Good-Natured, Autumnal, Earnest, Gentle, Intimate, Organic, Plaintive, Poignant, Wistful",,Pop/Rock,"Singer/Songwriter, Contemporary Pop/Rock","Gritty, Searching, Angst-Ridden, Literate, Spicy, Swaggering, Theatrical, Urgent, Yearning, Autumnal, Earnest, Gutsy, Passionate, Tense/Anxious, Anguished/Distraught, Reflective, Street-Smart, Uncompromising, Ambitious, Dramatic","Empowerment, Freedom, Politics/Society",Neil Young
Almost Cut My Hair,Deja Vu ,studio,"Crosby, Stills, Nash & Young",35:34:00,,,"Wally Heiders Studio III, Los Angeles, CA",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter","Laid-Back/Mellow, Literate, Amiable/Good-Natured, Autumnal, Earnest, Gentle, Intimate, Organic, Plaintive, Poignant, Wistful","Affection/Fondness, Healing/Comfort, Lifecycle, Politics/Society, Zeitgeist, Reflection, World View, Parenthood, The Great Outdoors",Pop/Rock,"Contemporary Pop/Rock, Hard Rock, Singer/Songwriter, Folk-Rock, Psychedelic/Garage","Brooding, Earnest, Earthy, Freewheeling, Insular, Organic, Quirky, Searching, Self-Conscious, Urgent, Warm, Passionate","Family Gatherings, Hanging Out, Introspection",David Crosby
American Dream,American Dream,studio,"Crosby, Stills, Nash & Young",57:31:00,,"March 3, 1988 - September 16, 1988","Redwood Digital Studios, Woodside, CA",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Album Rock","Soothing, Pastoral, Sentimental, Smooth, Gentle, Laid-Back/Mellow, Relaxed, Summery, Sweet, Warm, Amiable/Good-Natured, Organic, Poignant, Autumnal, Earnest, Intimate, Reflective, Wistful, Literate","Affection/Fondness, Healing/Comfort, Lifecycle, Politics/Society, Zeitgeist, Reflection, World View, Parenthood, The Great Outdoors","Pop/Rock, International","Folk-Rock, Psychedelic/Garage, Contemporary Pop/Rock, Singer/Songwriter","Rousing, Sentimental",Celebration,Neil Young
Black Queen,4 Way Street,live,"Crosby, Stills, Nash & Young",1:49:44,,"June 2, 1970 - July, 1970",,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Album Rock","Literate, Pastoral, Gentle, Laid-Back/Mellow, Soft/Quiet, Yearning, Amiable/Good-Natured, Organic, Poignant, Sparse, Autumnal, Earnest, Intimate, Reflective, Whimsical, Wistful","Reflection, Reminiscing",Pop/Rock,"Album Rock, Contemporary Pop/Rock, Singer/Songwriter, Soft Rock","Gritty, Knotty, Literate, Relaxed, Swaggering, Laid-Back/Mellow, Organic, Sensual, Passionate, Wistful, Yearning, Earthy, Freewheeling, Plaintive, Sparse, Street-Smart, Earnest, Intimate, Whimsical","Freedom, Hanging Out, Late Night",Stephen Stills
Carry On,Deja Vu ,studio,"Crosby, Stills, Nash & Young",35:34:00,,,"Wally Heiders Studio III, Los Angeles, CA",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter","Laid-Back/Mellow, Literate, Amiable/Good-Natured, Autumnal, Earnest, Gentle, Intimate, Organic, Plaintive, Poignant, Wistful","Affection/Fondness, Healing/Comfort, Lifecycle, Politics/Society, Zeitgeist, Reflection, World View, Parenthood, The Great Outdoors",Pop/Rock,"Album Rock, Contemporary Pop/Rock, Singer/Songwriter, Soft Rock","Bright, Gritty, Organic, Ramshackle, Stately, Confident, Indulgent, Rousing, Yearning, Amiable/Good-Natured, Energetic, Searching, Urgent, Earnest, Freewheeling, Literate, Lively, Reflective, Sprawling, Whimsical","Hanging Out, Relaxation, Reminiscing",Stephen Stills
Chicago (CSNY),4 Way Street,live,"Crosby, Stills, Nash & Young",1:49:44,,"June 2, 1970 - July, 1970",,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Album Rock","Literate, Pastoral, Gentle, Laid-Back/Mellow, Soft/Quiet, Yearning, Amiable/Good-Natured, Organic, Poignant, Sparse, Autumnal, Earnest, Intimate, Reflective, Whimsical, Wistful","Reflection, Reminiscing",,,,,Graham Nash
Clear Blue Skies,American Dream,studio,"Crosby, Stills, Nash & Young",57:31:00,,"March 3, 1988 - September 16, 1988","Redwood Digital Studios, Woodside, CA",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Album Rock","Soothing, Pastoral, Sentimental, Smooth, Gentle, Laid-Back/Mellow, Relaxed, Summery, Sweet, Warm, Amiable/Good-Natured, Organic, Poignant, Autumnal, Earnest, Intimate, Reflective, Wistful, Literate","Affection/Fondness, Healing/Comfort, Lifecycle, Politics/Society, Zeitgeist, Reflection, World View, Parenthood, The Great Outdoors","International, Pop/Rock","Contemporary Pop/Rock, Folk-Rock, Psychedelic/Garage, Singer/Songwriter","Calm/Peaceful, Sentimental",,Graham Nash
Compass,American Dream,studio,"Crosby, Stills, Nash & Young",57:31:00,,"March 3, 1988 - September 16, 1988","Redwood Digital Studios, Woodside, CA",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Album Rock","Soothing, Pastoral, Sentimental, Smooth, Gentle, Laid-Back/Mellow, Relaxed, Summery, Sweet, Warm, Amiable/Good-Natured, Organic, Poignant, Autumnal, Earnest, Intimate, Reflective, Wistful, Literate","Affection/Fondness, Healing/Comfort, Lifecycle, Politics/Society, Zeitgeist, Reflection, World View, Parenthood, The Great Outdoors","International, Pop/Rock","Contemporary Pop/Rock, Folk-Rock, Psychedelic/Garage, Singer/Songwriter","Calm/Peaceful, Dreamy, Nostalgic, Sentimental",,David Crosby
Country Girl,Deja Vu ,studio,"Crosby, Stills, Nash & Young",35:34:00,,,"Wally Heiders Studio III, Los Angeles, CA",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter","Laid-Back/Mellow, Literate, Amiable/Good-Natured, Autumnal, Earnest, Gentle, Intimate, Organic, Plaintive, Poignant, Wistful","Affection/Fondness, Healing/Comfort, Lifecycle, Politics/Society, Zeitgeist, Reflection, World View, Parenthood, The Great Outdoors",,,,,Neil Young
