track,album,album_type,artist,album_duration,release_date,recording_period,recording_location,album_genre,album_styles,album_moods,album_themes,genres,styles,moods,themes,composers
'Round the Bend,Man Alive!,studio,Stephen Stills,57:51:00,,,,Pop/Rock,"Singer/Songwriter, Contemporary Pop/Rock, Album Rock","Intimate, Laid-Back/Mellow, Literate, Amiable/Good-Natured, Pastoral, Reflective, Relaxed, Summery, Earnest, Organic, Poignant, Sentimental, Smooth, Warm, Wistful, Gentle, Autumnal, Soothing, Sweet","Freedom, Hanging Out, Imagination, Late Night, Road Trip",,,,,Stephen Stills
4 + 20,Live At Shepherd's Bush,live,Stephen Stills,1:19:53,,,,Pop/Rock,"Singer/Songwriter, Album Rock","Reflective, Rousing, Warm, Wistful","Comfort, Relaxation, Reminiscing",Pop/Rock,"Folk-Rock, Psychedelic/Garage",Yearning,"Feeling Blue, Loss/Grief, Reflection",Stephen Stills
50/50,Right By You,studio,Stephen Stills,37:46:00,1984,,,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Soft Rock",,,Pop/Rock,"Folk-Rock, Psychedelic/Garage",,,"Joe Lala, Stephen Stills"
Acadienne,Man Alive!,studio,Stephen Stills,57:51:00,,,,Pop/Rock,"Singer/Songwriter, Contemporary Pop/Rock, Album Rock","Intimate, Laid-Back/Mellow, Literate, Amiable/Good-Natured, Pastoral, Reflective, Relaxed, Summery, Earnest, Organic, Poignant, Sentimental, Smooth, Warm, Wistful, Gentle, Autumnal, Soothing, Sweet","Freedom, Hanging Out, Imagination, Late Night, Road Trip",,,,,Stephen Stills
Ain't It Always,Man Alive!,studio,Stephen Stills,57:51:00,,,,Pop/Rock,"Singer/Songwriter, Contemporary Pop/Rock, Album Rock","Intimate, Laid-Back/Mellow, Literate, Amiable/Good-Natured, Pastoral, Reflective, Relaxed, Summery, Earnest, Organic, Poignant, Sentimental, Smooth, Warm, Wistful, Gentle, Autumnal, Soothing, Sweet","Freedom, Hanging Out, Imagination, Late Night, Road Trip",,,,,Stephen Stills
Albert's Shuffle,Super Session,studio,Stephen Stills,50:22:00,1968,1968,,Blues,"Blues-Rock, Electric Chicago Blues, Regional Blues, Modern Electric Chicago Blues","Bittersweet, Freewheeling, Passionate, Playful, Reverent, Rousing, Street-Smart","Hanging Out, Imagination, Late Night, Relaxation, Road Trip",Blues,"Blues-Rock, Jam Bands, Modern Electric Chicago Blues",,,"Michael Bloomfield, Al Kooper"
Amazonia,Stills Alone,studio,Stephen Stills,30:36:00,,,"Audio Vision Recording Studios, Miami, FL",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter",,,,,,,Stephen Stills
Around Us,Man Alive!,studio,Stephen Stills,57:51:00,,,,Pop/Rock,"Singer/Songwriter, Contemporary Pop/Rock, Album Rock","Intimate, Laid-Back/Mellow, Literate, Amiable/Good-Natured, Pastoral, Reflective, Relaxed, Summery, Earnest, Organic, Poignant, Sentimental, Smooth, Warm, Wistful, Gentle, Autumnal, Soothing, Sweet","Freedom, Hanging Out, Imagination, Late Night, Road Trip",,,,,"Stephen Stills, Joe Vitale"
As I Come of Age,Stills,studio,Stephen Stills,38:19:00,1975-06,," Criteria Studios, Miami, FL Island Studios, London, England Record Plant, Hollywood, CA ",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Soft Rock",,,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Folk-Rock, Psychedelic/Garage, Soft Rock","Earnest, Laid-Back/Mellow, Reflective, Searching, Sentimental, Warm, Wistful, Yearning, Amiable/Good-Natured","Hanging Out, Introspection, Reflection",Stephen Stills
Ballad of Hollis Brown,Stills Alone,studio,Stephen Stills,30:36:00,,,"Audio Vision Recording Studios, Miami, FL",Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter",,,,,,,Bob Dylan
