track,album,album_type,artist,album_duration,release_date,recording_period,recording_location,album_genre,album_styles,album_moods,album_themes,genres,styles,moods,themes,composers,user_rating
Anticipatory Crowd,Another Stoney Evening,studio,David Crosby,1:15:11,1998-13-01,10-Oct-71,,Pop/Rock,"Singer/Songwriter, Album Rock, Soft Rock","Sentimental, Amiable/Good-Natured, Earnest, Gentle, Intimate, Laid-Back/Mellow, Organic, Poignant, Reflective, Wistful","Daydreaming, Dinner Ambiance",,,,,"David Crosby, Graham Nash",8
Deja Vu,Another Stoney Evening,studio,David Crosby,1:15:11,1998-13-01,10-Oct-71,,Pop/Rock,"Singer/Songwriter, Album Rock, Soft Rock","Sentimental, Amiable/Good-Natured, Earnest, Gentle, Intimate, Laid-Back/Mellow, Organic, Poignant, Reflective, Wistful","Daydreaming, Dinner Ambiance",,,,,"David Crosby, Graham Nash",8
Exit Sounds,Another Stoney Evening,studio,David Crosby,1:15:11,1998-13-01,10-Oct-71,,Pop/Rock,"Singer/Songwriter, Album Rock, Soft Rock","Sentimental, Amiable/Good-Natured, Earnest, Gentle, Intimate, Laid-Back/Mellow, Organic, Poignant, Reflective, Wistful","Daydreaming, Dinner Ambiance",,,,,"David Crosby, Graham Nash",8
Guinevere,Another Stoney Evening,studio,David Crosby,1:15:11,1998-13-01,10-Oct-71,,Pop/Rock,"Singer/Songwriter, Album Rock, Soft Rock","Sentimental, Amiable/Good-Natured, Earnest, Gentle, Intimate, Laid-Back/Mellow, Organic, Poignant, Reflective, Wistful","Daydreaming, Dinner Ambiance",,,,,"David Crosby, Graham Nash",8
I Used To Be A King,Another Stoney Evening,studio,David Crosby,1:15:11,1998-13-01,10-Oct-71,,Pop/Rock,"Singer/Songwriter, Album Rock, Soft Rock","Sentimental, Amiable/Good-Natured, Earnest, Gentle, Intimate, Laid-Back/Mellow, Organic, Poignant, Reflective, Wistful","Daydreaming, Dinner Ambiance",,,,,"David Crosby, Graham Nash",8
Laughing,Another Stoney Evening,studio,David Crosby,1:15:11,1998-13-01,10-Oct-71,,Pop/Rock,"Singer/Songwriter, Album Rock, Soft Rock","Sentimental, Amiable/Good-Natured, Earnest, Gentle, Intimate, Laid-Back/Mellow, Organic, Poignant, Reflective, Wistful","Daydreaming, Dinner Ambiance",,,,,"David Crosby, Graham Nash",8
Lee Shore,Another Stoney Evening,studio,David Crosby,1:15:11,1998-13-01,10-Oct-71,,Pop/Rock,"Singer/Songwriter, Album Rock, Soft Rock","Sentimental, Amiable/Good-Natured, Earnest, Gentle, Intimate, Laid-Back/Mellow, Organic, Poignant, Reflective, Wistful","Daydreaming, Dinner Ambiance",,,,,"David Crosby, Graham Nash",8
Man In The Mirror,Another Stoney Evening,studio,David Crosby,1:15:11,1998-13-01,10-Oct-71,,Pop/Rock,"Singer/Songwriter, Album Rock, Soft Rock","Sentimental, Amiable/Good-Natured, Earnest, Gentle, Intimate, Laid-Back/Mellow, Organic, Poignant, Reflective, Wistful","Daydreaming, Dinner Ambiance",,,,,"David Crosby, Graham Nash",8
Orleans,Another Stoney Evening,studio,David Crosby,1:15:11,1998-13-01,10-Oct-71,,Pop/Rock,"Singer/Songwriter, Album Rock, Soft Rock","Sentimental, Amiable/Good-Natured, Earnest, Gentle, Intimate, Laid-Back/Mellow, Organic, Poignant, Reflective, Wistful","Daydreaming, Dinner Ambiance",,,,,"David Crosby, Graham Nash",8
Teach Your Children,Another Stoney Evening,studio,David Crosby,1:15:11,1998-13-01,10-Oct-71,,Pop/Rock,"Singer/Songwriter, Album Rock, Soft Rock","Sentimental, Amiable/Good-Natured, Earnest, Gentle, Intimate, Laid-Back/Mellow, Organic, Poignant, Reflective, Wistful","Daydreaming, Dinner Ambiance",,,,,"David Crosby, Graham Nash",8
Traction In The Rain,Another Stoney Evening,studio,David Crosby,1:15:11,1998-13-01,10-Oct-71,,Pop/Rock,"Singer/Songwriter, Album Rock, Soft Rock","Sentimental, Amiable/Good-Natured, Earnest, Gentle, Intimate, Laid-Back/Mellow, Organic, Poignant, Reflective, Wistful","Daydreaming, Dinner Ambiance",,,,,"David Crosby, Graham Nash",8
Triad,Another Stoney Evening,studio,David Crosby,1:15:11,1998-13-01,10-Oct-71,,Pop/Rock,"Singer/Songwriter, Album Rock, Soft Rock","Sentimental, Amiable/Good-Natured, Earnest, Gentle, Intimate, Laid-Back/Mellow, Organic, Poignant, Reflective, Wistful","Daydreaming, Dinner Ambiance",,,,,"David Crosby, Graham Nash",8
Wooden Ships,Another Stoney Evening,studio,David Crosby,1:15:11,1998-13-01,10-Oct-71,,Pop/Rock,"Singer/Songwriter, Album Rock, Soft Rock","Sentimental, Amiable/Good-Natured, Earnest, Gentle, Intimate, Laid-Back/Mellow, Organic, Poignant, Reflective, Wistful","Daydreaming, Dinner Ambiance",,,,,"David Crosby, Graham Nash",8
