track,album,album_type,artist,album_duration,release_date,recording_period,recording_location,album_genre,album_styles,album_moods,album_themes,genres,styles,moods,themes,composers,user_rating
Black Queen,4 Way Street,live,"Crosby, Stills, Nash & Young",1:49:44,,"June 2, 1970 - July, 1970",,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Album Rock","Literate, Pastoral, Gentle, Laid-Back/Mellow, Soft/Quiet, Yearning, Amiable/Good-Natured, Organic, Poignant, Sparse, Autumnal, Earnest, Intimate, Reflective, Whimsical, Wistful","Reflection, Reminiscing",Pop/Rock,"Album Rock, Contemporary Pop/Rock, Singer/Songwriter, Soft Rock","Gritty, Knotty, Literate, Relaxed, Swaggering, Laid-Back/Mellow, Organic, Sensual, Passionate, Wistful, Yearning, Earthy, Freewheeling, Plaintive, Sparse, Street-Smart, Earnest, Intimate, Whimsical","Freedom, Hanging Out, Late Night",Stephen Stills,9
Chicago (CSNY),4 Way Street,live,"Crosby, Stills, Nash & Young",1:49:44,,"June 2, 1970 - July, 1970",,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Album Rock","Literate, Pastoral, Gentle, Laid-Back/Mellow, Soft/Quiet, Yearning, Amiable/Good-Natured, Organic, Poignant, Sparse, Autumnal, Earnest, Intimate, Reflective, Whimsical, Wistful","Reflection, Reminiscing",,,,,Graham Nash,9
Cowgirl in the Sand,4 Way Street,live,"Crosby, Stills, Nash & Young",1:49:44,,"June 2, 1970 - July, 1970",,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Album Rock","Literate, Pastoral, Gentle, Laid-Back/Mellow, Soft/Quiet, Yearning, Amiable/Good-Natured, Organic, Poignant, Sparse, Autumnal, Earnest, Intimate, Reflective, Whimsical, Wistful","Reflection, Reminiscing",Pop/Rock,"Album Rock, Contemporary Pop/Rock, Singer/Songwriter, Soft Rock","Gritty, Knotty, Literate, Relaxed, Swaggering, Laid-Back/Mellow, Organic, Sensual, Passionate, Wistful, Yearning, Earthy, Freewheeling, Plaintive, Sparse, Street-Smart, Earnest, Intimate, Whimsical","Freedom, Hanging Out, Late Night",Neil Young,9
Don't Let It Bring You Down,4 Way Street,live,"Crosby, Stills, Nash & Young",1:49:44,,"June 2, 1970 - July, 1970",,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Album Rock","Literate, Pastoral, Gentle, Laid-Back/Mellow, Soft/Quiet, Yearning, Amiable/Good-Natured, Organic, Poignant, Sparse, Autumnal, Earnest, Intimate, Reflective, Whimsical, Wistful","Reflection, Reminiscing",Pop/Rock,"Album Rock, Contemporary Pop/Rock, Singer/Songwriter, Soft Rock","Dreamy, Gentle, Literate, Street-Smart, Nocturnal, Reflective, Yearning, Bittersweet, Intimate, Self-Conscious, Soft/Quiet, Earnest, Reserved, Soothing, Wistful, Melancholy, Sophisticated, Sparse, Weary, Whimsical","Introspection, Reflection, Relaxation",Neil Young,9
Find the Cost of Freedom,4 Way Street,live,"Crosby, Stills, Nash & Young",1:49:44,,"June 2, 1970 - July, 1970",,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Album Rock","Literate, Pastoral, Gentle, Laid-Back/Mellow, Soft/Quiet, Yearning, Amiable/Good-Natured, Organic, Poignant, Sparse, Autumnal, Earnest, Intimate, Reflective, Whimsical, Wistful","Reflection, Reminiscing",Pop/Rock,"Contemporary Pop/Rock, Folk-Rock, Psychedelic/Garage, Soft Rock, Album Rock, Singer/Songwriter","Innocent, Laid-Back/Mellow, Light, Organic, Refined, Relaxed, Soft/Quiet, Warm, Wistful, Yearning, Amiable/Good-Natured, Earnest, Gentle, Intimate, Plaintive, Reflective, Bittersweet, Delicate, Insular, Literate, Poignant, Searching, Soothing, Spiritual, Sweet, Weary, Sentimental, Precious","Comfort, Day Driving, Hanging Out, Introspection, Reflection, Relaxation, Solitude",Stephen Stills,9
King Midas in Reverse,4 Way Street,live,"Crosby, Stills, Nash & Young",1:49:44,,"June 2, 1970 - July, 1970",,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Album Rock","Literate, Pastoral, Gentle, Laid-Back/Mellow, Soft/Quiet, Yearning, Amiable/Good-Natured, Organic, Poignant, Sparse, Autumnal, Earnest, Intimate, Reflective, Whimsical, Wistful","Reflection, Reminiscing",Pop/Rock,"Album Rock, Contemporary Pop/Rock, Singer/Songwriter, Soft Rock","Literate, Wistful, Poignant, Sensual, Soft/Quiet, Sparse, Bittersweet, Delicate, Dreamy, Elegant, Innocent, Reflective, Sentimental, Earnest, Gentle, Reserved, Somber, Intimate, Melancholy, Weary, Whimsical","Heartache, Late Night, Reflection","Allan Clarke, Tony Hicks, Graham Nash",9
Laughing,4 Way Street,live,"Crosby, Stills, Nash & Young",1:49:44,,"June 2, 1970 - July, 1970",,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Album Rock","Literate, Pastoral, Gentle, Laid-Back/Mellow, Soft/Quiet, Yearning, Amiable/Good-Natured, Organic, Poignant, Sparse, Autumnal, Earnest, Intimate, Reflective, Whimsical, Wistful","Reflection, Reminiscing",Pop/Rock,"Album Rock, Contemporary Pop/Rock, Singer/Songwriter, Soft Rock","Literate, Nocturnal, Self-Conscious, Wistful, Poignant, Sensual, Soft/Quiet, Sparse, Dreamy, Reflective, Earnest, Gentle, Reserved, Somber, Intimate, Melancholy, Weary, Whimsical","Introspection, Late Night, Reflection, Solitude",David Crosby,9
Long Time Gone,4 Way Street,live,"Crosby, Stills, Nash & Young",1:49:44,,"June 2, 1970 - July, 1970",,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Album Rock","Literate, Pastoral, Gentle, Laid-Back/Mellow, Soft/Quiet, Yearning, Amiable/Good-Natured, Organic, Poignant, Sparse, Autumnal, Earnest, Intimate, Reflective, Whimsical, Wistful","Reflection, Reminiscing",Pop/Rock,"Album Rock, Contemporary Pop/Rock, Singer/Songwriter, Soft Rock","Gritty, Stately, Confident, Indulgent, Yearning, Bravado, Confrontational, Dramatic, Energetic, Gutsy, Outraged, Passionate, Searching, Street-Smart, Tense/Anxious, Urgent, Earnest, Literate, Reflective, Sprawling, Whimsical","Empowerment, Politics/Society, Reminiscing, Revolution","David Crosby, Frank Hartford, Tex Ritter",9
Love the One You're With,4 Way Street,live,"Crosby, Stills, Nash & Young",1:49:44,,"June 2, 1970 - July, 1970",,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Album Rock","Literate, Pastoral, Gentle, Laid-Back/Mellow, Soft/Quiet, Yearning, Amiable/Good-Natured, Organic, Poignant, Sparse, Autumnal, Earnest, Intimate, Reflective, Whimsical, Wistful","Reflection, Reminiscing",Pop/Rock,"Album Rock, Contemporary Pop/Rock, Singer/Songwriter, Soft Rock","Confident, Light, Literate, Sentimental, Warm, Freewheeling, Reflective, Smooth, Wistful, Sensual, Amiable/Good-Natured, Gentle, Innocent, Reserved, Reverent, Soothing, Yearning, Bright, Earnest, Intimate, Knotty, Sweet, Whimsical","Affection/Fondness, Hanging Out, Relaxation, Summer",Stephen Stills,9
Medley,4 Way Street,live,"Crosby, Stills, Nash & Young",1:49:44,,"June 2, 1970 - July, 1970",,Pop/Rock,"Contemporary Pop/Rock, Singer/Songwriter, Album Rock","Literate, Pastoral, Gentle, Laid-Back/Mellow, Soft/Quiet, Yearning, Amiable/Good-Natured, Organic, Poignant, Sparse, Autumnal, Earnest, Intimate, Reflective, Whimsical, Wistful","Reflection, Reminiscing",,,,,Stephen Stills,9
