track,album,album_type,artist,album_duration,release_date,recording_period,recording_location,album_genre,album_styles,album_moods,album_themes,genres,styles,moods,themes,composers
Barrel of Pain,Earth & Sky,studio,Graham Nash,35:14:00,1980,1979,,Pop/Rock,Contemporary Singer/Songwriter,"Laid-Back/Mellow, Calm/Peaceful, Melodic, Organic, Smooth, Warm, Yearning, Agreeable, Dreamy, Exploratory, Gentle, Lonely, Poetic, Sentimental, Strong, Confessional, Flowing, Intimate, Nostalgic, Pastoral, Reassuring/Consoling, Soothing, Springlike","Relationships, Introspection, Sunday Afternoon, Affection/Fondness, Reflection, Relaxation, Sweet Dreams, Daydreaming, At the Office",,,,,Graham Nash
Earth and Sky,Earth & Sky,studio,Graham Nash,35:14:00,1980,1979,,Pop/Rock,Contemporary Singer/Songwriter,"Laid-Back/Mellow, Calm/Peaceful, Melodic, Organic, Smooth, Warm, Yearning, Agreeable, Dreamy, Exploratory, Gentle, Lonely, Poetic, Sentimental, Strong, Confessional, Flowing, Intimate, Nostalgic, Pastoral, Reassuring/Consoling, Soothing, Springlike","Relationships, Introspection, Sunday Afternoon, Affection/Fondness, Reflection, Relaxation, Sweet Dreams, Daydreaming, At the Office",,,,,Graham Nash
Helicopter Song,Earth & Sky,studio,Graham Nash,35:14:00,1980,1979,,Pop/Rock,Contemporary Singer/Songwriter,"Laid-Back/Mellow, Calm/Peaceful, Melodic, Organic, Smooth, Warm, Yearning, Agreeable, Dreamy, Exploratory, Gentle, Lonely, Poetic, Sentimental, Strong, Confessional, Flowing, Intimate, Nostalgic, Pastoral, Reassuring/Consoling, Soothing, Springlike","Relationships, Introspection, Sunday Afternoon, Affection/Fondness, Reflection, Relaxation, Sweet Dreams, Daydreaming, At the Office",,,,,Graham Nash
In the 80's,Earth & Sky,studio,Graham Nash,35:14:00,1980,1979,,Pop/Rock,Contemporary Singer/Songwriter,"Laid-Back/Mellow, Calm/Peaceful, Melodic, Organic, Smooth, Warm, Yearning, Agreeable, Dreamy, Exploratory, Gentle, Lonely, Poetic, Sentimental, Strong, Confessional, Flowing, Intimate, Nostalgic, Pastoral, Reassuring/Consoling, Soothing, Springlike","Relationships, Introspection, Sunday Afternoon, Affection/Fondness, Reflection, Relaxation, Sweet Dreams, Daydreaming, At the Office",,,,,Graham Nash
It's All Right,Earth & Sky,studio,Graham Nash,35:14:00,1980,1979,,Pop/Rock,Contemporary Singer/Songwriter,"Laid-Back/Mellow, Calm/Peaceful, Melodic, Organic, Smooth, Warm, Yearning, Agreeable, Dreamy, Exploratory, Gentle, Lonely, Poetic, Sentimental, Strong, Confessional, Flowing, Intimate, Nostalgic, Pastoral, Reassuring/Consoling, Soothing, Springlike","Relationships, Introspection, Sunday Afternoon, Affection/Fondness, Reflection, Relaxation, Sweet Dreams, Daydreaming, At the Office",,,,,Graham Nash
Love Has Come,Earth & Sky,studio,Graham Nash,35:14:00,1980,1979,,Pop/Rock,Contemporary Singer/Songwriter,"Laid-Back/Mellow, Calm/Peaceful, Melodic, Organic, Smooth, Warm, Yearning, Agreeable, Dreamy, Exploratory, Gentle, Lonely, Poetic, Sentimental, Strong, Confessional, Flowing, Intimate, Nostalgic, Pastoral, Reassuring/Consoling, Soothing, Springlike","Relationships, Introspection, Sunday Afternoon, Affection/Fondness, Reflection, Relaxation, Sweet Dreams, Daydreaming, At the Office",,,,,Graham Nash
Magical Child,Earth & Sky,studio,Graham Nash,35:14:00,1980,1979,,Pop/Rock,Contemporary Singer/Songwriter,"Laid-Back/Mellow, Calm/Peaceful, Melodic, Organic, Smooth, Warm, Yearning, Agreeable, Dreamy, Exploratory, Gentle, Lonely, Poetic, Sentimental, Strong, Confessional, Flowing, Intimate, Nostalgic, Pastoral, Reassuring/Consoling, Soothing, Springlike","Relationships, Introspection, Sunday Afternoon, Affection/Fondness, Reflection, Relaxation, Sweet Dreams, Daydreaming, At the Office",,,,,Graham Nash
Out of the Island,Earth & Sky,studio,Graham Nash,35:14:00,1980,1979,,Pop/Rock,Contemporary Singer/Songwriter,"Laid-Back/Mellow, Calm/Peaceful, Melodic, Organic, Smooth, Warm, Yearning, Agreeable, Dreamy, Exploratory, Gentle, Lonely, Poetic, Sentimental, Strong, Confessional, Flowing, Intimate, Nostalgic, Pastoral, Reassuring/Consoling, Soothing, Springlike","Relationships, Introspection, Sunday Afternoon, Affection/Fondness, Reflection, Relaxation, Sweet Dreams, Daydreaming, At the Office",,,,,Graham Nash
Skychild,Earth & Sky,studio,Graham Nash,35:14:00,1980,1979,,Pop/Rock,Contemporary Singer/Songwriter,"Laid-Back/Mellow, Calm/Peaceful, Melodic, Organic, Smooth, Warm, Yearning, Agreeable, Dreamy, Exploratory, Gentle, Lonely, Poetic, Sentimental, Strong, Confessional, Flowing, Intimate, Nostalgic, Pastoral, Reassuring/Consoling, Soothing, Springlike","Relationships, Introspection, Sunday Afternoon, Affection/Fondness, Reflection, Relaxation, Sweet Dreams, Daydreaming, At the Office",,,,,Graham Nash
TV Guide,Earth & Sky,studio,Graham Nash,35:14:00,1980,1979,,Pop/Rock,Contemporary Singer/Songwriter,"Laid-Back/Mellow, Calm/Peaceful, Melodic, Organic, Smooth, Warm, Yearning, Agreeable, Dreamy, Exploratory, Gentle, Lonely, Poetic, Sentimental, Strong, Confessional, Flowing, Intimate, Nostalgic, Pastoral, Reassuring/Consoling, Soothing, Springlike","Relationships, Introspection, Sunday Afternoon, Affection/Fondness, Reflection, Relaxation, Sweet Dreams, Daydreaming, At the Office",,,,,"Graham Nash, Joe Vitale"
Chippin' Away,Innocent Eyes,studio,Graham Nash,34:10:00,1986,," Devonshire Studios, LA, CA Longview Farms, Worcester, MA Rudy Records, LA, CA ",Pop/Rock,Contemporary Singer/Songwriter,,,,,,,Tom Fedora
Don't Listen To the Rumours,Innocent Eyes,studio,Graham Nash,34:10:00,1986,," Devonshire Studios, LA, CA Longview Farms, Worcester, MA Rudy Records, LA, CA ",Pop/Rock,Contemporary Singer/Songwriter,,,,,,,John Palermo
Glass and Steel,Innocent Eyes,studio,Graham Nash,34:10:00,1986,," Devonshire Studios, LA, CA Longview Farms, Worcester, MA Rudy Records, LA, CA ",Pop/Rock,Contemporary Singer/Songwriter,,,,,,,Graham Nash
I Got a Rock,Innocent Eyes,studio,Graham Nash,34:10:00,1986,," Devonshire Studios, LA, CA Longview Farms, Worcester, MA Rudy Records, LA, CA ",Pop/Rock,Contemporary Singer/Songwriter,,,,,,,Graham Nash
Innocent Eyes,Innocent Eyes,studio,Graham Nash,34:10:00,1986,," Devonshire Studios, LA, CA Longview Farms, Worcester, MA Rudy Records, LA, CA ",Pop/Rock,Contemporary Singer/Songwriter,,,,,,,Philip Paul Bliss
Keep Away From Me,Innocent Eyes,studio,Graham Nash,34:10:00,1986,," Devonshire Studios, LA, CA Longview Farms, Worcester, MA Rudy Records, LA, CA ",Pop/Rock,Contemporary Singer/Songwriter,,,,,,,Graham Nash
Newday,Innocent Eyes,studio,Graham Nash,34:10:00,1986,," Devonshire Studios, LA, CA Longview Farms, Worcester, MA Rudy Records, LA, CA ",Pop/Rock,Contemporary Singer/Songwriter,,,,,,,"Craig Doerge, Graham Nash"
Over the Wall,Innocent Eyes,studio,Graham Nash,34:10:00,1986,," Devonshire Studios, LA, CA Longview Farms, Worcester, MA Rudy Records, LA, CA ",Pop/Rock,Contemporary Singer/Songwriter,,,,,,,Graham Nash
Sad Eyes,Innocent Eyes,studio,Graham Nash,34:10:00,1986,," Devonshire Studios, LA, CA Longview Farms, Worcester, MA Rudy Records, LA, CA ",Pop/Rock,Contemporary Singer/Songwriter,,,,,,,Graham Nash
See You In Prague,Innocent Eyes,studio,Graham Nash,34:10:00,1986,," Devonshire Studios, LA, CA Longview Farms, Worcester, MA Rudy Records, LA, CA ",Pop/Rock,Contemporary Singer/Songwriter,,,,,,,"Davitt Siegerson, Richie Zito"
