track,album,album_type,artist,album_duration,release_date,recording_period,recording_location,album_genre,album_styles,album_moods,album_themes,genres,styles,moods,themes,composers,user_rating
A Letter Home Intro,A Letter Home,studio,Neil Young,39:33:00,,,"Third Man Records, Nashville, TN",Pop/Rock,"Album Rock, Contemporary Pop/Rock, Country-Folk, Country-Rock","Autumnal, Bittersweet, Earthy, Plaintive, Poignant, Pastoral, Reflective, Rustic, Searching, Earnest, Eccentric, Laid-Back/Mellow, Literate, Melancholy, Messy, Organic, Quirky, Ramshackle, Weary, Wistful, Cerebral, Meandering, Nostalgic, Playful, Eerie, Gentle, Intimate, Sweet","Autumn, Comfort, Feeling Blue, Healing/Comfort, Heartache, Introspection, Late Night, Other Times & Places, Reflection, Regret, Reminiscing, Solitude, Yearning",,,,,,7
Changes,A Letter Home,studio,Neil Young,39:33:00,,,"Third Man Records, Nashville, TN",Pop/Rock,"Album Rock, Contemporary Pop/Rock, Country-Folk, Country-Rock","Autumnal, Bittersweet, Earthy, Plaintive, Poignant, Pastoral, Reflective, Rustic, Searching, Earnest, Eccentric, Laid-Back/Mellow, Literate, Melancholy, Messy, Organic, Quirky, Ramshackle, Weary, Wistful, Cerebral, Meandering, Nostalgic, Playful, Eerie, Gentle, Intimate, Sweet","Autumn, Comfort, Feeling Blue, Healing/Comfort, Heartache, Introspection, Late Night, Other Times & Places, Reflection, Regret, Reminiscing, Solitude, Yearning",,,,,Phil Ochs,7
Crazy,A Letter Home,studio,Neil Young,39:33:00,,,"Third Man Records, Nashville, TN",Pop/Rock,"Album Rock, Contemporary Pop/Rock, Country-Folk, Country-Rock","Autumnal, Bittersweet, Earthy, Plaintive, Poignant, Pastoral, Reflective, Rustic, Searching, Earnest, Eccentric, Laid-Back/Mellow, Literate, Melancholy, Messy, Organic, Quirky, Ramshackle, Weary, Wistful, Cerebral, Meandering, Nostalgic, Playful, Eerie, Gentle, Intimate, Sweet","Autumn, Comfort, Feeling Blue, Healing/Comfort, Heartache, Introspection, Late Night, Other Times & Places, Reflection, Regret, Reminiscing, Solitude, Yearning",,,,,Willie Nelson,7
Early Morning Rain,A Letter Home,studio,Neil Young,39:33:00,,,"Third Man Records, Nashville, TN",Pop/Rock,"Album Rock, Contemporary Pop/Rock, Country-Folk, Country-Rock","Autumnal, Bittersweet, Earthy, Plaintive, Poignant, Pastoral, Reflective, Rustic, Searching, Earnest, Eccentric, Laid-Back/Mellow, Literate, Melancholy, Messy, Organic, Quirky, Ramshackle, Weary, Wistful, Cerebral, Meandering, Nostalgic, Playful, Eerie, Gentle, Intimate, Sweet","Autumn, Comfort, Feeling Blue, Healing/Comfort, Heartache, Introspection, Late Night, Other Times & Places, Reflection, Regret, Reminiscing, Solitude, Yearning",,,,,Gordon Lightfoot,7
Girl from the North Country,A Letter Home,studio,Neil Young,39:33:00,,,"Third Man Records, Nashville, TN",Pop/Rock,"Album Rock, Contemporary Pop/Rock, Country-Folk, Country-Rock","Autumnal, Bittersweet, Earthy, Plaintive, Poignant, Pastoral, Reflective, Rustic, Searching, Earnest, Eccentric, Laid-Back/Mellow, Literate, Melancholy, Messy, Organic, Quirky, Ramshackle, Weary, Wistful, Cerebral, Meandering, Nostalgic, Playful, Eerie, Gentle, Intimate, Sweet","Autumn, Comfort, Feeling Blue, Healing/Comfort, Heartache, Introspection, Late Night, Other Times & Places, Reflection, Regret, Reminiscing, Solitude, Yearning",,,,,Bob Dylan,7
I Wonder If I Care as Much,A Letter Home,studio,Neil Young,39:33:00,,,"Third Man Records, Nashville, TN",Pop/Rock,"Album Rock, Contemporary Pop/Rock, Country-Folk, Country-Rock","Autumnal, Bittersweet, Earthy, Plaintive, Poignant, Pastoral, Reflective, Rustic, Searching, Earnest, Eccentric, Laid-Back/Mellow, Literate, Melancholy, Messy, Organic, Quirky, Ramshackle, Weary, Wistful, Cerebral, Meandering, Nostalgic, Playful, Eerie, Gentle, Intimate, Sweet","Autumn, Comfort, Feeling Blue, Healing/Comfort, Heartache, Introspection, Late Night, Other Times & Places, Reflection, Regret, Reminiscing, Solitude, Yearning",,,,,Don Everly,7
If You Could Read My Mind,A Letter Home,studio,Neil Young,39:33:00,,,"Third Man Records, Nashville, TN",Pop/Rock,"Album Rock, Contemporary Pop/Rock, Country-Folk, Country-Rock","Autumnal, Bittersweet, Earthy, Plaintive, Poignant, Pastoral, Reflective, Rustic, Searching, Earnest, Eccentric, Laid-Back/Mellow, Literate, Melancholy, Messy, Organic, Quirky, Ramshackle, Weary, Wistful, Cerebral, Meandering, Nostalgic, Playful, Eerie, Gentle, Intimate, Sweet","Autumn, Comfort, Feeling Blue, Healing/Comfort, Heartache, Introspection, Late Night, Other Times & Places, Reflection, Regret, Reminiscing, Solitude, Yearning",,,,,Gordon Lightfoot,7
My Hometown,A Letter Home,studio,Neil Young,39:33:00,,,"Third Man Records, Nashville, TN",Pop/Rock,"Album Rock, Contemporary Pop/Rock, Country-Folk, Country-Rock","Autumnal, Bittersweet, Earthy, Plaintive, Poignant, Pastoral, Reflective, Rustic, Searching, Earnest, Eccentric, Laid-Back/Mellow, Literate, Melancholy, Messy, Organic, Quirky, Ramshackle, Weary, Wistful, Cerebral, Meandering, Nostalgic, Playful, Eerie, Gentle, Intimate, Sweet","Autumn, Comfort, Feeling Blue, Healing/Comfort, Heartache, Introspection, Late Night, Other Times & Places, Reflection, Regret, Reminiscing, Solitude, Yearning",,,,,Bruce Springsteen,7
Needle of Death,A Letter Home,studio,Neil Young,39:33:00,,,"Third Man Records, Nashville, TN",Pop/Rock,"Album Rock, Contemporary Pop/Rock, Country-Folk, Country-Rock","Autumnal, Bittersweet, Earthy, Plaintive, Poignant, Pastoral, Reflective, Rustic, Searching, Earnest, Eccentric, Laid-Back/Mellow, Literate, Melancholy, Messy, Organic, Quirky, Ramshackle, Weary, Wistful, Cerebral, Meandering, Nostalgic, Playful, Eerie, Gentle, Intimate, Sweet","Autumn, Comfort, Feeling Blue, Healing/Comfort, Heartache, Introspection, Late Night, Other Times & Places, Reflection, Regret, Reminiscing, Solitude, Yearning",,,,,Bert Jansch,7
On the Road Again,A Letter Home,studio,Neil Young,39:33:00,,,"Third Man Records, Nashville, TN",Pop/Rock,"Album Rock, Contemporary Pop/Rock, Country-Folk, Country-Rock","Autumnal, Bittersweet, Earthy, Plaintive, Poignant, Pastoral, Reflective, Rustic, Searching, Earnest, Eccentric, Laid-Back/Mellow, Literate, Melancholy, Messy, Organic, Quirky, Ramshackle, Weary, Wistful, Cerebral, Meandering, Nostalgic, Playful, Eerie, Gentle, Intimate, Sweet","Autumn, Comfort, Feeling Blue, Healing/Comfort, Heartache, Introspection, Late Night, Other Times & Places, Reflection, Regret, Reminiscing, Solitude, Yearning",,,,,Willie Nelson,7
Reason to Believe,A Letter Home,studio,Neil Young,39:33:00,,,"Third Man Records, Nashville, TN",Pop/Rock,"Album Rock, Contemporary Pop/Rock, Country-Folk, Country-Rock","Autumnal, Bittersweet, Earthy, Plaintive, Poignant, Pastoral, Reflective, Rustic, Searching, Earnest, Eccentric, Laid-Back/Mellow, Literate, Melancholy, Messy, Organic, Quirky, Ramshackle, Weary, Wistful, Cerebral, Meandering, Nostalgic, Playful, Eerie, Gentle, Intimate, Sweet","Autumn, Comfort, Feeling Blue, Healing/Comfort, Heartache, Introspection, Late Night, Other Times & Places, Reflection, Regret, Reminiscing, Solitude, Yearning",,,,,Tim Hardin,7
Since I Met You Baby,A Letter Home,studio,Neil Young,39:33:00,,,"Third Man Records, Nashville, TN",Pop/Rock,"Album Rock, Contemporary Pop/Rock, Country-Folk, Country-Rock","Autumnal, Bittersweet, Earthy, Plaintive, Poignant, Pastoral, Reflective, Rustic, Searching, Earnest, Eccentric, Laid-Back/Mellow, Literate, Melancholy, Messy, Organic, Quirky, Ramshackle, Weary, Wistful, Cerebral, Meandering, Nostalgic, Playful, Eerie, Gentle, Intimate, Sweet","Autumn, Comfort, Feeling Blue, Healing/Comfort, Heartache, Introspection, Late Night, Other Times & Places, Reflection, Regret, Reminiscing, Solitude, Yearning",,,,,Ivory Joe Hunter,7
