,artist_id,artist_name,duration_ms_x,track_id,track_name,popularity,album_id,album_name,album_release_date,album_type,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms_y,time_signature
0,2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash",523746,6wjif6moAEWNYNtOkhUtJ4,Carry On/Questions,27,1gKLKKS7zYJJsV0pF1R2f9,CSN 2012,2012-07-10,album,0.345,0.788,7,-6.654,1,0.0816,0.484,0.00477,0.955,0.512,130.803,523747,4
1,2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash",224680,2Q0qHRELXRIJIgohhx6ZuF,Marrakesh Express,17,1gKLKKS7zYJJsV0pF1R2f9,CSN 2012,2012-07-10,album,0.392,0.762,0,-10.028,1,0.469,0.734,2.67e-05,0.357,0.631,175.204,224680,4
2,2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash",390800,4yTUEg9qrsyCj3KHiMDgIc,Long Time Gone,16,1gKLKKS7zYJJsV0pF1R2f9,CSN 2012,2012-07-10,album,0.345,0.754,7,-6.383,1,0.125,0.609,0.0115,0.955,0.546,201.066,390800,4
3,2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash",256773,1oy9UhxcJh8x884jYBykYP,Military Madness,23,1gKLKKS7zYJJsV0pF1R2f9,CSN 2012,2012-07-10,album,0.347,0.851,9,-6.667,1,0.325,0.426,4.22e-06,0.394,0.363,125.12,256773,4
4,2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash",309760,0FWWIHr19EorhhTRfU09Om,Southern Cross,27,1gKLKKS7zYJJsV0pF1R2f9,CSN 2012,2012-07-10,album,0.397,0.732,2,-8.279,1,0.151,0.659,0.0,0.31,0.631,178.345,309760,4
5,2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash",308706,1Wc9SPVTYv4CZ3HC5OpUNg,Lay Me Down,23,1gKLKKS7zYJJsV0pF1R2f9,CSN 2012,2012-07-10,album,0.442,0.227,10,-18.103,0,0.0693,0.741,4.57e-06,0.0892,0.245,89.646,308707,4
6,2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash",273506,2eEDU6DhDpGPzHjfE9DMyG,Almost Gone,10,1gKLKKS7zYJJsV0pF1R2f9,CSN 2012,2012-07-10,album,0.404,0.744,9,-7.28,0,0.129,0.782,0.00619,0.517,0.575,165.634,273507,4
7,2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash",213733,46QRpyhTOGJYqpwM7XErBp,Wasted On The Way,18,1gKLKKS7zYJJsV0pF1R2f9,CSN 2012,2012-07-10,album,0.335,0.579,2,-12.936,1,0.286,0.616,0.0,0.277,0.559,157.126,213733,4
8,2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash",228840,02ybT9CYWG0dk4VGbCo1NW,Radio,10,1gKLKKS7zYJJsV0pF1R2f9,CSN 2012,2012-07-10,album,0.453,0.792,7,-7.824,1,0.0758,0.747,2.53e-05,0.707,0.624,178.016,228840,4
9,2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash",438173,2OTHnonccbZY6Dnjzo9Wlo,Bluebird,12,1gKLKKS7zYJJsV0pF1R2f9,CSN 2012,2012-07-10,album,0.378,0.789,7,-7.472,1,0.171,0.627,0.00526,0.702,0.459,122.844,438173,4
10,2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash",798133,1rgAfj11vwFuF1QvYoVU6b,Déjà Vu,12,1gKLKKS7zYJJsV0pF1R2f9,CSN 2012,2012-07-10,album,0.425,0.468,4,-11.746,0,0.128,0.611,0.00555,0.691,0.206,109.014,798133,4
11,2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash",640866,72tBJohs6dpQxgr24QA7Y2,Wooden Ships,15,1gKLKKS7zYJJsV0pF1R2f9,CSN 2012,2012-07-10,album,0.326,0.758,9,-6.59,0,0.146,0.595,0.057,0.509,0.318,150.073,640867,4
12,2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash",302906,5UpZFUdCXiBaahd0hvNpPn,Helplessly Hoping,24,1gKLKKS7zYJJsV0pF1R2f9,CSN 2012,2012-07-10,album,0.349,0.4,7,-18.533,1,0.298,0.836,2.96e-06,0.366,0.461,74.615,302907,4
13,2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash",306506,77Qeg8jRu4p12x5U6PAm4q,In Your Name,8,1gKLKKS7zYJJsV0pF1R2f9,CSN 2012,2012-07-10,album,0.465,0.22,4,-22.748,1,0.177,0.779,3.82e-06,0.189,0.434,95.344,306507,3
14,2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash",291560,460C9ey3gSpnWXRVXrBdvG,Girl From The North Country,15,1gKLKKS7zYJJsV0pF1R2f9,CSN 2012,2012-07-10,album,0.368,0.163,7,-22.168,1,0.0588,0.72,0.0,0.0832,0.141,143.569,291560,4
15,2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash",249866,11LbRd4uzUvx7gZbBQVXMS,As I Come Of Age,8,1gKLKKS7zYJJsV0pF1R2f9,CSN 2012,2012-07-10,album,0.423,0.235,9,-20.871,1,0.153,0.838,0.0,0.28,0.409,139.45,249867,4
16,2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash",421706,66P6P95IUpciZUIMKz7LVj,Guinevere,14,1gKLKKS7zYJJsV0pF1R2f9,CSN 2012,2012-07-10,album,0.36,0.113,2,-23.256,1,0.0374,0.798,3.92e-05,0.0997,0.161,88.299,421707,4
17,2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash",322093,2qT8T7IXVmxkYL6CD78hDq,Johnny's Garden,11,1gKLKKS7zYJJsV0pF1R2f9,CSN 2012,2012-07-10,album,0.562,0.353,0,-18.099,1,0.261,0.815,5.81e-05,0.127,0.592,75.048,322093,4
18,2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash",243613,2wWjfLsJ0cRm1fyRSPdPb9,So Begins The Task,9,1gKLKKS7zYJJsV0pF1R2f9,CSN 2012,2012-07-10,album,0.493,0.414,0,-14.951,1,0.0659,0.827,6.24e-05,0.737,0.453,76.778,243613,4
19,2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash",478280,3OSl6t88snCZELJv66b0xR,Cathedral,15,1gKLKKS7zYJJsV0pF1R2f9,CSN 2012,2012-07-10,album,0.32,0.42,1,-9.28,0,0.0475,0.814,0.000107,0.505,0.139,122.163,478280,4
20,2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash",226560,6ofrP1AqJbDg5T3NKxcKlG,Our House,37,1gKLKKS7zYJJsV0pF1R2f9,CSN 2012,2012-07-10,album,0.47,0.462,9,-10.656,1,0.0519,0.889,6.3e-05,0.646,0.333,129.135,226560,4
21,2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash",434120,0Q40x3qHTXoEpbA1pZbTdz,Love The One You're With,19,1gKLKKS7zYJJsV0pF1R2f9,CSN 2012,2012-07-10,album,0.401,0.794,9,-7.911,1,0.224,0.571,2.76e-05,0.261,0.611,95.889,434120,4
22,2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash",355520,2DEAC5zlazP1URkLq0fYSW,For What It's Worth,13,1gKLKKS7zYJJsV0pF1R2f9,CSN 2012,2012-07-10,album,0.357,0.621,9,-7.99,1,0.141,0.693,0.000134,0.793,0.451,169.49,355520,4
23,2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash",306960,6ccpUpnE0jpMhndw9DSVPA,Teach Your Children,29,1gKLKKS7zYJJsV0pF1R2f9,CSN 2012,2012-07-10,album,0.264,0.619,2,-11.44,1,0.164,0.844,0.000226,0.341,0.429,149.657,306960,4
24,2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash",560160,4PL0Pnn5pAVp2iFeQ8Ye3r,Suite: Judy Blue Eyes,21,1gKLKKS7zYJJsV0pF1R2f9,CSN 2012,2012-07-10,album,0.394,0.338,7,-9.626,1,0.0351,0.555,0.0,0.695,0.176,150.649,560160,4
25,2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash",243973,0fWqM9CNs4hBIJePj8Pbaj,Only Waiting for You,21,06f8YQfX1rnCRCd9GM3gnb,After the Storm,1994-08-16,album,0.657,0.742,7,-9.648,1,0.0332,0.243,7.28e-06,0.242,0.83,101.41,243973,4
26,2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash",231626,2TJqmZkSBGLcWCPfqmIsUe,Find a Dream,21,06f8YQfX1rnCRCd9GM3gnb,After the Storm,1994-08-16,album,0.731,0.33,4,-11.242,0,0.0289,0.1,9.44e-05,0.0463,0.653,78.439,231627,4
27,2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash",260866,0IMEDDxHi9yMvX5XoIOFve,Camera,23,06f8YQfX1rnCRCd9GM3gnb,After the Storm,1994-08-16,album,0.867,0.642,11,-8.307,1,0.0317,0.261,0.0293,0.0707,0.897,133.395,260867,4
28,2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash",286000,07Iwnz3hDlV6fcn0flFlg9,Unequal Love,12,06f8YQfX1rnCRCd9GM3gnb,After the Storm,1994-08-16,album,0.587,0.173,9,-14.742,1,0.0413,0.561,0.00231,0.108,0.278,137.706,286000,4
29,2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash",259133,3mAp0514nElIxHyCywd14u,Till It Shines,10,06f8YQfX1rnCRCd9GM3gnb,After the Storm,1994-08-16,album,0.825,0.41,9,-11.64,0,0.0739,0.0782,0.00182,0.0812,0.699,114.77,259133,4
30,2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash",257239,0ZOAkM6G8Jc4LE3hibS03O,It Won't Go Away,9,06f8YQfX1rnCRCd9GM3gnb,After the Storm,1994-08-16,album,0.763,0.643,6,-9.183,0,0.0398,0.22,9.5e-06,0.139,0.749,131.604,257240,4
31,2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash",150760,3u45YKHCCHr7Hx6V7XXWMy,These Empty Days,25,06f8YQfX1rnCRCd9GM3gnb,After the Storm,1994-08-16,album,0.833,0.428,4,-12.087,1,0.0295,0.51,6.23e-05,0.109,0.737,94.49,150760,4
32,2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash",140573,0sCBd2ADYRqHP3eHXsQJp6,In My Life,29,06f8YQfX1rnCRCd9GM3gnb,After the Storm,1994-08-16,album,0.465,0.0959,9,-17.131,0,0.0565,0.902,0.0,0.0445,0.218,173.89,140573,4
33,2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash",216400,21yKdfs6R3QEPetYYdk1N5,Street to Lean On,8,06f8YQfX1rnCRCd9GM3gnb,After the Storm,1994-08-16,album,0.629,0.546,1,-9.25,1,0.0586,0.0836,0.000933,0.331,0.886,170.76,216400,4
34,2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash",257693,0BTbGHjBt0b9Trb2jd2eNZ,Bad Boyz,8,06f8YQfX1rnCRCd9GM3gnb,After the Storm,1994-08-16,album,0.599,0.859,9,-8.918,1,0.0386,0.0597,1.69e-06,0.14,0.778,83.611,257693,4
35,2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash",215440,3U7fNbzhNGzmg5NcPBPry4,After the Storm,21,06f8YQfX1rnCRCd9GM3gnb,After the Storm,1994-08-16,album,0.764,0.303,7,-13.557,1,0.0321,0.401,1.2e-06,0.151,0.47,109.45,215440,3
36,2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash",254226,5ntABSdhCGXU5pYw30DAWP,Panama,8,06f8YQfX1rnCRCd9GM3gnb,After the Storm,1994-08-16,album,0.654,0.771,9,-8.593,0,0.0321,0.257,0.000545,0.356,0.805,96.252,254227,4
37,2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash",235533,7mfD6kCkKtXwC0kQcy1p1b,Live It Up,10,1eCF24GjYAFhfenifr8U54,Live It Up,1990-06-22,album,0.806,0.858,0,-9.25,1,0.0432,0.28,5.63e-05,0.134,0.957,121.365,235533,4
38,2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash",268266,6jzDNIN26XgqBOCHloNe9z,If Anybody Had a Heart,22,1eCF24GjYAFhfenifr8U54,Live It Up,1990-06-22,album,0.409,0.57,4,-10.49,1,0.0295,0.0175,3.3e-06,0.253,0.721,184.163,268267,4
39,2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash",199893,5qWUPfNwa1QJ99cXYPgStB,Tomboy,5,1eCF24GjYAFhfenifr8U54,Live It Up,1990-06-22,album,0.83,0.553,9,-11.945,0,0.0293,0.0809,1.2e-06,0.349,0.781,123.296,199893,4
40,2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash",186906,0JuJP8M424WoSZojZk56Fe,Haven't We Lost Enough?,30,1eCF24GjYAFhfenifr8U54,Live It Up,1990-06-22,album,0.374,0.22,2,-17.06,1,0.0355,0.768,0.0,0.117,0.539,80.098,186907,1
41,2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash",284560,0zGvuLcPz96B3pNa8RXRzY,Yours and Mine,7,1eCF24GjYAFhfenifr8U54,Live It Up,1990-06-22,album,0.668,0.378,2,-13.601,0,0.0396,0.0763,0.00123,0.203,0.455,138.899,284560,4
42,2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash",284040,1C6d9iyljEB2vmh6XEZz0C,(Got to Keep) Open,5,1eCF24GjYAFhfenifr8U54,Live It Up,1990-06-22,album,0.554,0.829,4,-13.631,1,0.036,0.0974,1.12e-06,0.0469,0.883,98.032,284040,4
43,2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash",197293,3xdaI5OE7hz6XqAn2BByOm,Straight Line,18,1eCF24GjYAFhfenifr8U54,Live It Up,1990-06-22,album,0.697,0.575,9,-13.282,1,0.0299,0.029,2.92e-06,0.123,0.746,123.188,197293,4
44,2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash",200306,16ca8Xti9H2NsExoYru2BB,House of Broken Dreams,7,1eCF24GjYAFhfenifr8U54,Live It Up,1990-06-22,album,0.629,0.223,0,-17.348,1,0.0312,0.36,0.00303,0.189,0.165,77.43,200307,4
45,2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash",233026,4SXkcUT4A11fZ2pNqJ9YhD,Arrows,6,1eCF24GjYAFhfenifr8U54,Live It Up,1990-06-22,album,0.403,0.265,9,-16.947,0,0.0287,0.764,0.00288,0.113,0.109,100.14,233027,3
46,2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash",304506,6yjmrjrxnftG0bIvI9d9W6,After the Dolphin,6,1eCF24GjYAFhfenifr8U54,Live It Up,1990-06-22,album,0.645,0.536,7,-13.075,1,0.0316,0.0187,0.000333,0.395,0.556,113.366,304507,4
47,2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash",141026,1KHehOVBdMmOxKi5Zcv0Ju,War Games,10,6foKl7yAjPqOXJNLxBsm7x,Allies,1983-06-06,album,0.437,0.582,5,-13.563,1,0.0424,0.00589,1.77e-05,0.321,0.401,174.095,141027,4
48,2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash",152666,1dhyJbYvZ3PzgKhzspGSfc,Raise a Voice,7,6foKl7yAjPqOXJNLxBsm7x,Allies,1983-06-06,album,0.646,0.342,7,-14.776,1,0.0265,0.313,0.000138,0.206,0.583,110.863,152667,4
49,2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash",317933,2lFBtjiixfAOG2E4KoCEWb,"Turn Your Back on Love - Live at the New Universal Amphitheatre, Universal City, California, 1982",6,6foKl7yAjPqOXJNLxBsm7x,Allies,1983-06-06,album,0.634,0.475,0,-14.335,1,0.0273,0.105,1.3e-05,0.678,0.785,104.586,317933,4
50,2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash",375533,7xTjwgc0btlqw86Dnf0pu1,"Barrel of Pain (Half Life) - Live at the New Universal Amphitheatre, Universal City, California, 1982",7,6foKl7yAjPqOXJNLxBsm7x,Allies,1983-06-06,album,0.523,0.445,9,-16.281,0,0.11,0.21,5.12e-06,0.705,0.725,81.425,375533,4
51,2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash",285080,6elYZ25UJunfFjm3iBsb0G,"Shadow Captain - Live in Houston, Texas, 1977",5,6foKl7yAjPqOXJNLxBsm7x,Allies,1983-06-06,album,0.431,0.393,4,-15.758,1,0.0366,0.0586,1.11e-06,0.694,0.425,142.249,285080,4
52,2pdvghEHZJtgSXZ7cvNLou,"Crosby, Stills & Nash",299426,2vwDq27zFfWea2IhLPSlX0,"Dark Star - Live at the New Universal Amphitheatre, Universal City, California, 1982",8,6foKl7yAjPqOXJNLxBsm7x,Allies,1983-06-06,album,0.491,0.625,2,-15.402,1,0.0377,0.0237,2.07e-05,0.709,0.731,95.711,299427,4
