track,album,album_type,artist,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Albert's Shuffle,Super Session (with Al Kooper & Stephen Stills),studio,Mike Bloomfield,413800,1968,34,0.451,0.613,0,-7.863,1,0.0266,0.0864,0.716,0.565,0.659,98.142,4
Stop,Super Session (with Al Kooper & Stephen Stills),studio,Mike Bloomfield,258799,1968,34,0.435,0.607,9,-8.332,1,0.049,0.256,0.149,0.107,0.62,87.237,4
Man's Temptation,Super Session (with Al Kooper & Stephen Stills),studio,Mike Bloomfield,204693,1968,20,0.614,0.524,5,-9.446,1,0.0285,0.114,4.07E-06,0.158,0.607,89.596,4
His Holy Modal Majesty,Super Session (with Al Kooper & Stephen Stills),studio,Mike Bloomfield,552933,1968,20,0.235,0.721,4,-7.317,0,0.0539,0.0168,0.405,0.0835,0.356,62.875,4
Really,Super Session (with Al Kooper & Stephen Stills),studio,Mike Bloomfield,326173,1968,30,0.378,0.547,0,-9.312,1,0.0321,0.0239,0.408,0.179,0.437,81.254,3
"It Takes a Lot to Laugh, It Takes a Train to Cry",Super Session (with Al Kooper & Stephen Stills),studio,Al Kooper,209600,1968,25,0.45,0.7,0,-9.477,1,0.0274,0.000424,5.37E-05,0.277,0.819,93.898,4
Season of the Witch,Super Session (with Al Kooper & Stephen Stills),studio,Stephen Stills,667760,1968,27,0.523,0.544,2,-8.721,1,0.0463,0.0467,0.000666,0.411,0.583,83.197,4
You Don't Love Me,Super Session (with Al Kooper & Stephen Stills),studio,Stephen Stills,249866,1968,17,0.501,0.602,0,-8.392,1,0.0343,0.211,0.00322,0.159,0.763,122.788,4
Harvey's Tune,Super Session (with Al Kooper & Stephen Stills),studio,Stephen Stills,127840,1968,20,0.26,0.299,9,-11.258,1,0.0278,0.568,0.807,0.278,0.0638,155.549,4
Albert's Shuffle - 2002 Remix w/o Horns,Super Session (with Al Kooper & Stephen Stills),studio,Mike Bloomfield,418493,1968,24,0.382,0.589,0,-7.02,1,0.0313,0.00856,0.653,0.205,0.464,96.684,4
Season of the Witch - 2002 Remix w/o Horns,Super Session (with Al Kooper & Stephen Stills),studio,Stephen Stills,667973,1968,30,0.556,0.531,2,-9.054,1,0.048,0.00725,0.000811,0.135,0.539,82.362,4
Blues for Nothing,Super Session (with Al Kooper & Stephen Stills),studio,Mike Bloomfield,255066,1968,30,0.272,0.548,0,-9.059,1,0.0439,0.219,0.0504,0.247,0.628,184.992,3
"Fat Grey Cloud - Live at The Fillmore West, San Francisco, CA",Super Session (with Al Kooper & Stephen Stills),studio,Mike Bloomfield,278600,1968,16,0.314,0.409,7,-9.425,1,0.0395,0.635,0.66,0.877,0.421,178.378,3
