track,artist,album,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
I'm The Ocean,Neil Young,Before and After,404306,2023-12-08,32,0.416,0.349,4,-12.353,0,0.0358,0.539,0.000744,0.127,0.26,138.705,4
Homefires,Neil Young,Before and After,124973,2023-12-08,30,0.481,0.288,7,-12.58,1,0.0331,0.797,7.39e-05,0.285,0.334,128.479,4
Burned,Neil Young,Before and After,126386,2023-12-08,29,0.575,0.369,0,-12.555,1,0.03,0.821,1.35e-05,0.699,0.464,128.863,4
On the Way Home,Neil Young,Before and After,194706,2023-12-08,29,0.591,0.188,0,-13.939,1,0.0285,0.754,2.04e-05,0.127,0.352,92.619,4
If You Got Love,Neil Young,Before and After,212573,2023-12-08,27,0.397,0.143,0,-15.627,1,0.0338,0.947,0.0343,0.11,0.225,113.615,4
A Dream That Can Last,Neil Young,Before and After,272893,2023-12-08,27,0.549,0.111,0,-17.327,1,0.0355,0.976,0.0173,0.0889,0.273,102.328,4
Birds,Neil Young,Before and After,167253,2023-12-08,26,0.524,0.0889,7,-18.883,1,0.0341,0.985,0.000421,0.11,0.267,82.456,4
My Heart,Neil Young,Before and After,181480,2023-12-08,26,0.503,0.0644,0,-20.025,1,0.0722,0.986,0.00364,0.15,0.0958,96.104,4
When I Hold You In My Arms,Neil Young,Before and After,323240,2023-12-08,26,0.442,0.109,0,-16.46,1,0.0532,0.979,0.000565,0.138,0.133,85.638,4
Mother Earth,Neil Young,Before and After,223173,2023-12-08,25,0.258,0.16,9,-16.26,1,0.0398,0.96,0.0781,0.137,0.104,100.068,4
Mr. Soul,Neil Young,Before and After,222946,2023-12-08,25,0.391,0.116,7,-13.66,1,0.036,0.972,0.00495,0.166,0.0872,105.628,4
Comes a Time,Neil Young,Before and After,200880,2023-12-08,25,0.492,0.225,0,-16.894,1,0.0273,0.889,7.58e-05,0.113,0.187,81.99,4
Don't Forget Love,Neil Young,Before and After,221920,2023-12-08,24,0.406,0.0962,7,-18.273,1,0.0879,0.986,0.00265,0.145,0.234,204.013,4
Pocahontas,Neil Young,Chrome Dreams,203053,2023-08-11,29,0.589,0.401,0,-10.005,1,0.0305,0.588,3.68e-05,0.0966,0.438,127.514,4
Will to Love,Neil Young,Chrome Dreams,431360,2023-08-11,27,0.539,0.287,9,-15.163,0,0.0377,0.862,0.00979,0.114,0.343,119.656,4
Star of Bethlehem,Neil Young,Chrome Dreams,162866,2023-08-11,26,0.649,0.28,2,-14.574,1,0.0321,0.326,0.0434,0.107,0.604,74.922,4
Like a Hurricane,Neil Young,Chrome Dreams,500586,2023-08-11,28,0.428,0.841,9,-5.009,0,0.0361,0.0274,0.00124,0.187,0.557,113.81,4
Too Far Gone,Neil Young,Chrome Dreams,164160,2023-08-11,25,0.749,0.265,7,-13.12,1,0.0352,0.58,0.000119,0.0834,0.51,110.676,4
Hold Back the Tears,Neil Young,Chrome Dreams,315200,2023-08-11,25,0.507,0.201,5,-13.191,1,0.0352,0.603,2.63e-05,0.0827,0.2,118.721,4
Homegrown,Neil Young,Chrome Dreams,142666,2023-08-11,24,0.486,0.39,7,-8.062,1,0.0356,0.0974,0.0,0.375,0.581,133.207,4
Captain Kennedy,Neil Young,Chrome Dreams,174240,2023-08-11,24,0.459,0.249,3,-14.146,1,0.0316,0.613,6.75e-05,0.0994,0.76,161.171,4
Stringman,Neil Young,Chrome Dreams,211773,2023-08-11,24,0.327,0.154,5,-16.503,1,0.037,0.977,9.87e-06,0.741,0.234,177.414,4
Powderfinger,Neil Young,Chrome Dreams,202560,2023-08-11,26,0.607,0.307,4,-11.743,1,0.0335,0.566,4.04e-05,0.102,0.424,122.957,4
Look Out for My Love,Neil Young,Chrome Dreams,240826,2023-08-11,24,0.758,0.323,2,-11.588,1,0.0506,0.351,2.07e-05,0.202,0.538,121.606,4
Separate Ways,Neil Young,Homegrown,212709,2020-06-19,28,0.602,0.288,7,-16.376,1,0.0429,0.0926,1.13e-05,0.11,0.428,112.69,4
Try,Neil Young,Homegrown,169152,2020-06-19,26,0.733,0.235,0,-17.553,1,0.0542,0.144,0.00597,0.12,0.671,92.388,4
Mexico,Neil Young,Homegrown,100709,2020-06-19,23,0.359,0.0143,11,-22.592,0,0.0571,0.977,0.00019,0.0804,0.309,79.964,4
Love Is A Rose,Neil Young,Homegrown,137237,2020-06-19,26,0.537,0.251,7,-16.56,1,0.04,0.719,0.0,0.112,0.68,136.845,4
Homegrown,Neil Young,Homegrown,167918,2020-06-19,27,0.451,0.369,7,-17.263,1,0.0416,0.279,0.459,0.0833,0.824,164.002,4
Florida,Neil Young,Homegrown,178412,2020-06-19,20,0.389,0.0325,0,-25.896,1,0.112,0.768,3.56e-05,0.188,0.111,61.379,4
Kansas - 6/12/75,Neil Young,Homegrown,131745,2020-06-19,22,0.52,0.0143,7,-28.015,1,0.0399,0.903,0.00372,0.111,0.226,117.499,4
We Don't Smoke It No More,Neil Young,Homegrown,291299,2020-06-19,22,0.341,0.364,7,-15.548,1,0.0519,0.0337,0.398,0.148,0.435,207.222,3
White Line,Neil Young,Homegrown,193522,2020-06-19,26,0.482,0.146,7,-19.409,1,0.0395,0.702,1.04e-06,0.0911,0.535,157.544,4
Vacancy,Neil Young,Homegrown,238956,2020-06-19,22,0.509,0.623,7,-12.032,1,0.0273,0.129,0.00286,0.0977,0.808,163.172,4
Little Wing,Neil Young,Homegrown,132022,2020-06-19,23,0.471,0.0525,10,-24.1,1,0.0342,0.852,0.028,0.105,0.35,137.487,4
Star of Bethlehem,Neil Young,Homegrown,168189,2020-06-19,22,0.634,0.18,2,-19.246,1,0.0323,0.412,0.331,0.107,0.631,74.519,4
Songs for Judy - Intro,Neil Young,Songs for Judy,205053,2018-11-30,14,0.498,0.302,7,-16.925,1,0.636,0.872,0.0,0.978,0.158,121.531,3
Too Far Gone,Neil Young,Songs for Judy,195066,2018-11-30,19,0.456,0.524,7,-9.888,1,0.0308,0.497,0.00178,0.979,0.415,120.084,4
No One Seems to Know,Neil Young,Songs for Judy,149293,2018-11-30,16,0.421,0.457,0,-11.32,1,0.0324,0.974,0.311,0.992,0.278,103.678,4
Heart of Gold,Neil Young,Songs for Judy,173546,2018-11-30,26,0.393,0.4,4,-9.487,0,0.0251,0.391,0.00155,0.372,0.345,96.701,4
White Line,Neil Young,Songs for Judy,165000,2018-11-30,16,0.323,0.536,7,-9.221,1,0.0301,0.57,0.000247,0.991,0.492,169.344,4
Love Is a Rose,Neil Young,Songs for Judy,140800,2018-11-30,19,0.547,0.513,7,-9.478,1,0.0324,0.457,1.04e-05,0.868,0.431,139.959,4
After the Gold Rush,Neil Young,Songs for Judy,255760,2018-11-30,16,0.449,0.304,0,-11.289,1,0.0316,0.883,1.21e-05,0.744,0.191,100.365,4
Human Highway,Neil Young,Songs for Judy,184266,2018-11-30,17,0.505,0.533,7,-8.892,1,0.0882,0.718,0.000902,0.69,0.767,163.899,4
Tell Me Why,Neil Young,Songs for Judy,214080,2018-11-30,15,0.468,0.483,5,-11.767,1,0.0433,0.55,0.00075,0.967,0.616,80.951,4
