track,artist,album,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
River Rise (feat. Michael McDonald),David Crosby,For Free,213680,2021-07-23,28,0.782,0.682,1.0,-7.83,1.0,0.0375,0.159,0.000105,0.28,0.552,118.062,4.0
I Think I,David Crosby,For Free,292000,2021-07-23,23,0.787,0.646,7.0,-8.164,0.0,0.0267,0.144,0.34,0.0662,0.462,129.025,4.0
The Other Side Of Midnight,David Crosby,For Free,194906,2021-07-23,22,0.669,0.515,2.0,-10.818,1.0,0.0333,0.33,0.00195,0.112,0.402,92.002,4.0
Rodriguez For A Night,David Crosby,For Free,197266,2021-07-23,28,0.837,0.359,5.0,-8.27,1.0,0.0344,0.223,0.00402,0.443,0.614,86.316,4.0
Secret Dancer,David Crosby,For Free,194720,2021-07-23,21,0.718,0.309,0.0,-14.163,1.0,0.0449,0.25,0.082,0.116,0.172,148.963,4.0
Ships In The Night,David Crosby,For Free,205866,2021-07-23,22,0.887,0.432,6.0,-11.412,0.0,0.0323,0.113,0.157,0.106,0.719,103.004,4.0
For Free (feat. Sarah Jarosz),David Crosby,For Free,223360,2021-07-23,27,0.691,0.107,0.0,-14.436,1.0,0.04,0.872,4.96e-05,0.144,0.101,107.082,3.0
Boxes,David Crosby,For Free,254853,2021-07-23,15,0.669,0.587,0.0,-9.388,1.0,0.0406,0.277,0.0256,0.114,0.55,159.995,4.0
Shot At Me,David Crosby,For Free,193373,2021-07-23,14,0.714,0.216,2.0,-16.445,1.0,0.0305,0.854,0.0339,0.0996,0.333,69.998,4.0
I Won't Stay For Long,David Crosby,For Free,269360,2021-07-23,18,0.668,0.191,11.0,-12.656,1.0,0.0375,0.558,0.000339,0.125,0.252,124.003,4.0
Glory,David Crosby,Here If You Listen,320706,2018-10-26,18,0.56,0.195,10.0,-13.483,1.0,0.0306,0.939,0.00013,0.126,0.159,110.136,4.0
Vagrants of Venice,David Crosby,Here If You Listen,246253,2018-10-26,14,0.391,0.285,2.0,-12.565,1.0,0.0327,0.864,0.0184,0.115,0.178,130.049,4.0
1974,David Crosby,Here If You Listen,180106,2018-10-26,14,0.418,0.268,8.0,-11.004,0.0,0.04,0.894,2.25e-06,0.127,0.357,179.884,4.0
Your Own Ride,David Crosby,Here If You Listen,274706,2018-10-26,12,0.365,0.261,8.0,-12.924,1.0,0.0289,0.869,0.0142,0.116,0.153,93.77,3.0
Buddha on a Hill,David Crosby,Here If You Listen,247253,2018-10-26,12,0.586,0.314,7.0,-11.417,1.0,0.0342,0.68,0.176,0.115,0.139,118.081,4.0
I Am No Artist,David Crosby,Here If You Listen,277466,2018-10-26,18,0.323,0.211,11.0,-12.457,1.0,0.0332,0.815,0.000579,0.113,0.154,84.709,5.0
1967,David Crosby,Here If You Listen,199626,2018-10-26,10,0.487,0.307,2.0,-11.278,0.0,0.0338,0.878,0.00722,0.182,0.375,81.392,4.0
Balanced on a Pin,David Crosby,Here If You Listen,270120,2018-10-26,11,0.665,0.208,2.0,-15.086,0.0,0.0377,0.956,0.233,0.119,0.167,117.064,4.0
Other Half Rule,David Crosby,Here If You Listen,274053,2018-10-26,21,0.362,0.316,0.0,-11.767,1.0,0.0305,0.792,0.0247,0.111,0.212,144.014,3.0
Janet,David Crosby,Here If You Listen,207013,2018-10-26,9,0.738,0.202,5.0,-10.153,1.0,0.0366,0.815,0.0,0.104,0.604,111.915,4.0
