track,album,album_type,artist,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Anticipatory Crowd,Another Stoney Evening,studio,David Crosby,44413,1/13/1998,3,0.221,0.907,3,-24.88,1,0.185,0.817,0.944,0.967,0.0133,97.034,3
Deja Vu,Another Stoney Evening,studio,David Crosby,335400,1/13/1998,6,0.485,0.288,11,-16.967,0,0.107,0.758,6.65E-05,0.905,0.423,114.363,4
Exit Sounds,Another Stoney Evening,studio,David Crosby,137282,1/13/1998,1,0.19,0.219,8,-51.196,0,0.0973,0.212,0,0.368,0.0166,119.335,4
Guinevere,Another Stoney Evening,studio,David Crosby,382173,1/13/1998,6,0.44,0.268,11,-19.68,0,0.0487,0.798,0.000867,0.711,0.344,96.538,4
I Used To Be A King,Another Stoney Evening,studio,David Crosby,297133,1/13/1998,5,0.533,0.336,7,-12.561,1,0.0703,0.455,4.63E-06,0.526,0.356,113.235,4
Laughing,Another Stoney Evening,studio,David Crosby,300160,1/13/1998,4,0.443,0.146,2,-16.829,1,0.0563,0.613,0.000157,0.679,0.349,125.037,4
Lee Shore,Another Stoney Evening,studio,David Crosby,292413,1/13/1998,12,0.344,0.18,4,-19.96,0,0.105,0.565,0,0.367,0.398,73.553,4
Man In The Mirror,Another Stoney Evening,studio,David Crosby,155586,1/13/1998,4,0.523,0.134,7,-16,1,0.0536,0.581,0,0.689,0.316,118.277,4
Orleans,Another Stoney Evening,studio,David Crosby,142226,1/13/1998,4,0.337,0.257,2,-19.212,1,0.0543,0.639,6.28E-05,0.354,0.284,79.623,4
Teach Your Children,Another Stoney Evening,studio,David Crosby,271023,1/13/1998,3,0.424,0.528,2,-13.845,1,0.384,0.498,0,0.689,0.62,154.788,4
Traction In The Rain,Another Stoney Evening,studio,David Crosby,303973,1/13/1998,5,0.446,0.254,2,-18.587,1,0.278,0.73,0,0.725,0.448,93.745,4
Triad,Another Stoney Evening,studio,David Crosby,378813,1/13/1998,5,0.481,0.118,9,-17.725,1,0.153,0.792,1.77E-05,0.702,0.371,118.253,4
Wooden Ships,Another Stoney Evening,studio,David Crosby,357533,1/13/1998,8,0.482,0.262,4,-16.001,0,0.157,0.644,7.31E-06,0.688,0.319,135.992,3
Charlie,Crosby & Nash,studio,Crosby & Nash,213453,8/10/2004,10,0.747,0.178,5,-14.228,1,0.0376,0.824,0.00101,0.108,0.119,104.059,4
Don't Dig Here,Crosby & Nash,studio,Crosby & Nash,369760,8/10/2004,13,0.579,0.631,2,-8.345,1,0.0267,0.28,0.00412,0.0966,0.597,177.958,4
Grace,Crosby & Nash,studio,Crosby & Nash,45426,8/10/2004,15,0.646,0.0479,5,-17.991,1,0.0507,0.995,0.95,0.105,0.175,63.624,4
Half Your Angels,Crosby & Nash,studio,Crosby & Nash,304600,8/10/2004,13,0.399,0.0785,10,-14.099,1,0.0282,0.897,0.000134,0.0967,0.0396,99.657,4
How Does It Shine,Crosby & Nash,studio,Crosby & Nash,320680,8/10/2004,12,0.597,0.64,7,-8.734,1,0.034,0.393,0.779,0.05,0.316,128.407,4
I Surrender,Crosby & Nash,studio,Crosby & Nash,254653,8/10/2004,19,0.47,0.175,0,-13.942,1,0.0365,0.841,0.0217,0.0848,0.149,86.122,4
Jesus of Rio,Crosby & Nash,studio,Crosby & Nash,252093,8/10/2004,16,0.708,0.327,5,-11.593,1,0.0306,0.865,5.25E-06,0.118,0.318,94.001,4
Lay Me Down,Crosby & Nash,studio,Crosby & Nash,216400,8/10/2004,41,0.59,0.4,10,-10.599,0,0.0248,0.884,2.59E-06,0.125,0.249,93.056,4
Live On (The Wall),Crosby & Nash,studio,Crosby & Nash,201866,8/10/2004,12,0.589,0.106,2,-13.862,0,0.0337,0.932,0.000142,0.293,0.0599,69.683,4
Luck Dragon,Crosby & Nash,studio,Crosby & Nash,284880,8/10/2004,12,0.697,0.442,7,-9.895,0,0.0297,0.599,0.00855,0.112,0.154,124.875,4
Michael (Hedges Here),Crosby & Nash,studio,Crosby & Nash,160906,8/10/2004,10,0.41,0.0864,2,-15.563,1,0.0382,0.919,0.000231,0.0883,0.0737,101.831,3
Milky Way Tonight,Crosby & Nash,studio,Crosby & Nash,204160,8/10/2004,13,0.638,0.324,7,-10.698,0,0.0266,0.258,5.39E-06,0.159,0.179,109.093,4
My Country Tis of Thee,Crosby & Nash,studio,Crosby & Nash,102146,8/10/2004,25,0.638,0.0687,5,-13.655,1,0.0368,0.912,8.57E-06,0.11,0.127,82.687,4
Other Side of Town,Crosby & Nash,studio,Crosby & Nash,214600,8/10/2004,10,0.522,0.305,0,-11.151,1,0.0272,0.757,0.00036,0.108,0.0971,134.25,3
Penguin in a Palm Tree,Crosby & Nash,studio,Crosby & Nash,229200,8/10/2004,8,0.592,0.352,7,-9.508,1,0.0283,0.548,0,0.0896,0.199,94.487,3
Puppeteer,Crosby & Nash,studio,Crosby & Nash,245653,8/10/2004,16,0.486,0.494,6,-7.583,1,0.0261,0.729,0.00737,0.0858,0.3,135.064,4
Samurai,Crosby & Nash,studio,Crosby & Nash,101706,8/10/2004,7,0.535,0.0428,6,-15.467,0,0.0765,0.816,0,0.193,0.56,90.682,3
Shining On Your Dreams,Crosby & Nash,studio,Crosby & Nash,154466,8/10/2004,20,0.629,0.339,7,-11.116,1,0.0351,0.802,1.18E-05,0.107,0.412,78.057,4
They Want It All,Crosby & Nash,studio,Crosby & Nash,334386,8/10/2004,11,0.686,0.479,2,-9.335,1,0.0318,0.673,9.00E-05,0.187,0.554,104.453,4
