track,album,album_type,artist,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
After the Storm,After the Storm,studio,"Crosby, Stills & Nash",215440,8/16/1994,21,0.764,0.303,7,-13.557,1,0.0321,0.401,1.20E-06,0.151,0.47,109.45,3
Bad Boyz,After the Storm,studio,"Crosby, Stills & Nash",257693,8/16/1994,8,0.599,0.859,9,-8.918,1,0.0386,0.0597,1.69E-06,0.14,0.778,83.611,4
Camera,After the Storm,studio,"Crosby, Stills & Nash",260866,8/16/1994,23,0.867,0.642,11,-8.307,1,0.0317,0.261,0.0293,0.0707,0.897,133.395,4
Find a Dream,After the Storm,studio,"Crosby, Stills & Nash",231626,8/16/1994,21,0.731,0.33,4,-11.242,0,0.0289,0.1,9.44E-05,0.0463,0.653,78.439,4
In My Life,After the Storm,studio,"Crosby, Stills & Nash",140573,8/16/1994,29,0.465,0.0959,9,-17.131,0,0.0565,0.902,0,0.0445,0.218,173.89,4
It Won't Go Away,After the Storm,studio,"Crosby, Stills & Nash",257239,8/16/1994,9,0.763,0.643,6,-9.183,0,0.0398,0.22,9.50E-06,0.139,0.749,131.604,4
Only Waiting for You,After the Storm,studio,"Crosby, Stills & Nash",243973,8/16/1994,21,0.657,0.742,7,-9.648,1,0.0332,0.243,7.28E-06,0.242,0.83,101.41,4
Panama,After the Storm,studio,"Crosby, Stills & Nash",254226,8/16/1994,8,0.654,0.771,9,-8.593,0,0.0321,0.257,0.000545,0.356,0.805,96.252,4
Street to Lean On,After the Storm,studio,"Crosby, Stills & Nash",216400,8/16/1994,8,0.629,0.546,1,-9.25,1,0.0586,0.0836,0.000933,0.331,0.886,170.76,4
These Empty Days,After the Storm,studio,"Crosby, Stills & Nash",150760,8/16/1994,25,0.833,0.428,4,-12.087,1,0.0295,0.51,6.23E-05,0.109,0.737,94.49,4
Till It Shines,After the Storm,studio,"Crosby, Stills & Nash",259133,8/16/1994,10,0.825,0.41,9,-11.64,0,0.0739,0.0782,0.00182,0.0812,0.699,114.77,4
Unequal Love,After the Storm,studio,"Crosby, Stills & Nash",286000,8/16/1994,12,0.587,0.173,9,-14.742,1,0.0413,0.561,0.00231,0.108,0.278,137.706,4
Barrel of Pain (Half Life),Allies,live,"Crosby, Stills & Nash",375533,6/6/1983,7,0.523,0.445,9,-16.281,0,0.11,0.21,5.12E-06,0.705,0.725,81.425,4
Blackbird,Allies,live,"Crosby, Stills & Nash",182160,6/6/1983,25,0.343,0.0488,9,-25.922,1,0.0404,0.939,1.49E-06,0.873,0.385,168.544,4
He Played Real Good for Free,Allies,live,"Crosby, Stills & Nash",239466,6/6/1983,6,0.35,0.0488,0,-22.933,1,0.0409,0.901,2.25E-06,0.753,0.151,86.954,3
