track,album,album_type,artist,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
49 Bye-Byes,4 Way Street,live,"Crosby, Stills, Nash & Young",395026,4/7/1971,24,0.398,0.717,5,-10.243,1,0.412,0.881,0.000256,0.962,0.313,122.853,4
Black Queen,4 Way Street,live,"Crosby, Stills, Nash & Young",405200,4/7/1971,22,0.489,0.401,6,-15.819,1,0.0418,0.374,0.00095,0.986,0.51,86.466,4
Chicago (CSNY),4 Way Street,live,"Crosby, Stills, Nash & Young",190826,4/7/1971,33,0.555,0.41,9,-10.21,0,0.033,0.912,1.69E-05,0.866,0.405,147.037,4
Cowgirl in the Sand,4 Way Street,live,"Crosby, Stills, Nash & Young",238706,4/7/1971,32,0.459,0.217,7,-14.869,0,0.0424,0.809,0.000439,0.749,0.205,141.038,4
Don't Let It Bring You Down,4 Way Street,live,"Crosby, Stills, Nash & Young",210600,4/7/1971,28,0.373,0.513,5,-13.288,1,0.151,0.731,0.00138,0.975,0.301,124.001,4
Find the Cost of Freedom,4 Way Street,live,"Crosby, Stills, Nash & Young",141200,4/7/1971,24,0.384,0.153,8,-18.311,1,0.0348,0.714,1.00E-05,0.27,0.575,75.233,4
King Midas in Reverse,4 Way Street,live,"Crosby, Stills, Nash & Young",223266,4/7/1971,22,0.419,0.55,1,-13.016,1,0.28,0.689,0,0.702,0.464,155.204,4
Long Time Gone,4 Way Street,live,"Crosby, Stills, Nash & Young",358466,4/7/1971,25,0.317,0.717,7,-10.109,1,0.0529,0.0156,0.00734,0.673,0.69,179.685,4
Love the One You're With,4 Way Street,live,"Crosby, Stills, Nash & Young",205000,4/7/1971,26,0.461,0.743,9,-11.583,0,0.0671,0.181,0,0.724,0.51,107.204,4
Medley,4 Way Street,live,"Crosby, Stills, Nash & Young",580666,4/7/1971,27,0.458,0.407,8,-12.981,1,0.0503,0.494,0.000253,0.941,0.411,140.527,4
Ohio (CSNY),4 Way Street,live,"Crosby, Stills, Nash & Young",214133,4/7/1971,26,0.273,0.782,2,-7.928,0,0.0372,0.0274,1.42E-06,0.932,0.677,161.686,4
On the Way Home,4 Way Street,live,"Crosby, Stills, Nash & Young",227800,4/7/1971,28,0.335,0.452,7,-13.458,1,0.0479,0.246,1.58E-05,0.954,0.504,169.042,4
Pre-Road Downs,4 Way Street,live,"Crosby, Stills, Nash & Young",184106,4/7/1971,22,0.55,0.837,9,-7.904,1,0.0431,0.134,0.000241,0.693,0.959,134.831,4
Right Between the Eyes,4 Way Street,live,"Crosby, Stills, Nash & Young",216666,4/7/1971,25,0.399,0.206,0,-21.526,1,0.209,0.762,2.26E-06,0.975,0.439,139.796,4
Southern Man,4 Way Street,live,"Crosby, Stills, Nash & Young",825026,4/7/1971,29,0.375,0.801,2,-10.662,0,0.0478,0.00498,0.15,0.683,0.809,152.815,4
Suite: Judy Blue Eyes,4 Way Street,live,"Crosby, Stills, Nash & Young",33600,4/7/1971,26,0.477,0.876,4,-14.728,0,0.612,0.203,0,0.89,0.493,156.873,4
American Dream,American Dream,studio,"Crosby, Stills, Nash & Young",198173,11/11/1988,33,0.717,0.478,10,-15.606,1,0.0998,0.037,0.000323,0.0931,0.857,166.654,4
Clear Blue Skies,American Dream,studio,"Crosby, Stills, Nash & Young",187293,11/11/1988,33,0.571,0.436,7,-15.903,1,0.0248,0.265,0,0.151,0.904,104.763,4
Compass,American Dream,studio,"Crosby, Stills, Nash & Young",327933,11/11/1988,19,0.344,0.0541,11,-21.09,0,0.033,0.622,8.85E-06,0.143,0.157,99.363,4
Don't Say Goodbye,American Dream,studio,"Crosby, Stills, Nash & Young",203266,11/11/1988,24,0.46,0.0558,9,-21.296,1,0.0356,0.975,0.0052,0.13,0.29,129.984,4
Drivin' Thunder,American Dream,studio,"Crosby, Stills, Nash & Young",195773,11/11/1988,16,0.518,0.745,2,-13.829,1,0.0338,0.014,0.000428,0.32,0.532,122.551,4
Feel Your Love,American Dream,studio,"Crosby, Stills, Nash & Young",253866,11/11/1988,19,0.633,0.196,10,-23.143,1,0.0302,0.569,0.00573,0.101,0.545,131.389,4
Got It Made,American Dream,studio,"Crosby, Stills, Nash & Young",296466,11/11/1988,26,0.716,0.521,0,-14.635,1,0.0295,0.127,5.29E-06,0.122,0.845,120.461,4
Name of Love,American Dream,studio,"Crosby, Stills, Nash & Young",252533,11/11/1988,22,0.601,0.468,10,-13.095,1,0.0283,0.0116,0.000758,0.0751,0.64,115.825,4
Night Song,American Dream,studio,"Crosby, Stills, Nash & Young",253066,11/11/1988,14,0.609,0.622,4,-14.34,0,0.0295,0.194,0.000293,0.148,0.55,109.722,4
Nighttime for Generals,American Dream,studio,"Crosby, Stills, Nash & Young",249560,11/11/1988,18,0.621,0.784,9,-12.575,0,0.0321,0.0188,0.00423,0.207,0.685,105.292,4
Shadowland,American Dream,studio,"Crosby, Stills, Nash & Young",287400,11/11/1988,17,0.777,0.564,10,-15.619,0,0.0341,0.167,0.000315,0.368,0.934,119.971,4
Soldiers of Peace,American Dream,studio,"Crosby, Stills, Nash & Young",227466,11/11/1988,15,0.258,0.334,9,-13.757,0,0.0294,0.352,0,0.108,0.187,141.76,3
That Girl,American Dream,studio,"Crosby, Stills, Nash & Young",210706,11/11/1988,18,0.609,0.644,9,-13.53,0,0.0353,0.0619,0,0.19,0.893,124.323,4
This Old House,American Dream,studio,"Crosby, Stills, Nash & Young",289666,11/11/1988,28,0.662,0.0974,5,-20.016,1,0.0321,0.358,0,0.111,0.433,117.483,4
4 + 20,Deja Vu ,studio,"Crosby, Stills, Nash & Young",126640,3/11/1970,53,0.638,0.058,4,-25.243,1,0.0388,0.928,0.079,0.113,0.126,140.964,4
Almost Cut My Hair,Deja Vu ,studio,"Crosby, Stills, Nash & Young",269173,3/11/1970,54,0.471,0.471,7,-10.483,1,0.0437,0.185,0.00927,0.164,0.575,136.829,4
Carry On,Deja Vu ,studio,"Crosby, Stills, Nash & Young",265933,3/11/1970,55,0.463,0.496,1,-12.203,1,0.041,0.059,1.24E-06,0.271,0.533,118.505,4
Country Girl,Deja Vu ,studio,"Crosby, Stills, Nash & Young",312133,3/11/1970,38,0.316,0.398,7,-12.558,0,0.031,0.589,2.93E-05,0.0929,0.367,120.903,3
Deja Vu ,Deja Vu ,studio,"Crosby, Stills, Nash & Young",252373,3/11/1970,45,0.454,0.267,11,-15.915,0,0.036,0.81,0.221,0.296,0.203,137.052,4
Everybody I Love You,Deja Vu ,studio,"Crosby, Stills, Nash & Young",142000,3/11/1970,37,0.371,0.695,9,-8.559,1,0.0325,0.00288,0.00011,0.155,0.707,142.062,4
Helpless,Deja Vu ,studio,"Crosby, Stills, Nash & Young",217133,3/11/1970,50,0.54,0.26,2,-13.61,1,0.0309,0.86,0.00553,0.134,0.374,114.732,4
Our House,Deja Vu ,studio,"Crosby, Stills, Nash & Young",179760,3/11/1970,69,0.592,0.205,9,-14.601,1,0.048,0.896,5.46E-05,0.119,0.378,140.282,4
Teach Your Children,Deja Vu ,studio,"Crosby, Stills, Nash & Young",173466,3/11/1970,61,0.497,0.285,2,-14.537,1,0.0264,0.643,1.69E-05,0.389,0.667,154.707,4
Woodstock,Deja Vu ,studio,"Crosby, Stills, Nash & Young",233773,3/11/1970,49,0.458,0.539,4,-12.403,0,0.057,0.122,0.00946,0.17,0.56,118.95,4
