track,album,album_type,artist,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Dangerous Night,Croz,studio,David Crosby,357040,1/28/2014,13,0.707,0.412,0,-12.606,1,0.0405,0.559,0.127,0.144,0.0932,147.888,4
Find a Heart,Croz,studio,David Crosby,306626,1/28/2014,13,0.591,0.574,0,-10.078,1,0.0336,0.403,0.0145,0.207,0.69,169.017,3
Holding On to Nothing,Croz,studio,David Crosby,221640,1/28/2014,15,0.714,0.0987,2,-17.124,0,0.046,0.891,0.00141,0.0942,0.0733,127.79,4
If She Called,Croz,studio,David Crosby,299306,1/28/2014,11,0.336,0.117,11,-15.527,1,0.036,0.867,0.0211,0.108,0.0532,180.201,4
Morning Falling,Croz,studio,David Crosby,221573,1/28/2014,11,0.501,0.302,5,-13.429,0,0.0429,0.863,0.305,0.0597,0.117,79.19,1
Radio,Croz,studio,David Crosby,225986,1/28/2014,16,0.697,0.688,7,-7.51,1,0.0288,0.598,0.00271,0.12,0.253,87.996,4
Set That Baggage Down,Croz,studio,David Crosby,241106,1/28/2014,13,0.738,0.386,2,-9.327,1,0.0355,0.21,0.00139,0.0907,0.442,112.581,4
Slice of Time,Croz,studio,David Crosby,256880,1/28/2014,13,0.728,0.333,2,-11.037,0,0.035,0.582,0.00378,0.086,0.255,62.496,3
The Clearing,Croz,studio,David Crosby,240413,1/28/2014,21,0.608,0.663,2,-7.679,1,0.0386,0.497,0.126,0.0816,0.137,79.962,5
Time I Have,Croz,studio,David Crosby,229840,1/28/2014,15,0.673,0.341,10,-10.733,1,0.0293,0.151,0.00145,0.113,0.426,95.097,4
What's Broken,Croz,studio,David Crosby,228986,1/28/2014,27,0.695,0.538,7,-11.107,1,0.0258,0.445,0.101,0.133,0.453,92.408,4
Boxes,For Free,studio,David Crosby,254853,7/23/2021,15,0.669,0.587,0,-9.388,1,0.0406,0.277,0.0256,0.114,0.55,159.995,4
For Free,For Free,studio,David Crosby,223360,7/23/2021,26,0.691,0.107,0,-14.436,1,0.04,0.872,4.96E-05,0.144,0.101,107.082,3
I Think I,For Free,studio,David Crosby,292000,7/23/2021,23,0.787,0.646,7,-8.164,0,0.0267,0.144,0.34,0.0662,0.462,129.025,4
I Won't Stay For Long,For Free,studio,David Crosby,269360,7/23/2021,17,0.668,0.191,11,-12.656,1,0.0375,0.558,0.000339,0.125,0.252,124.003,4
River Rise,For Free,studio,David Crosby,213680,7/23/2021,27,0.782,0.682,1,-7.83,1,0.0375,0.159,0.000105,0.28,0.552,118.062,4
Rodriguez For A Night,For Free,studio,David Crosby,197266,7/23/2021,27,0.837,0.359,5,-8.27,1,0.0344,0.223,0.00402,0.443,0.614,86.316,4
Secret Dancer,For Free,studio,David Crosby,194720,7/23/2021,20,0.718,0.309,0,-14.163,1,0.0449,0.25,0.082,0.116,0.172,148.963,4
Ships in the Night,For Free,studio,David Crosby,205866,7/23/2021,22,0.887,0.432,6,-11.412,0,0.0323,0.113,0.157,0.106,0.719,103.004,4
Shot at Me,For Free,studio,David Crosby,193373,7/23/2021,14,0.714,0.216,2,-16.445,1,0.0305,0.854,0.0339,0.0996,0.333,69.998,4
The Other Side Of Midnight,For Free,studio,David Crosby,194906,7/23/2021,22,0.669,0.515,2,-10.818,1,0.0333,0.33,0.00195,0.112,0.402,92.002,4
1967,Here If You Listen,studio,David Crosby,199626,10/26/2018,9,0.487,0.307,2,-11.278,0,0.0338,0.878,0.00722,0.182,0.375,81.392,4
1974,Here If You Listen,studio,David Crosby,180106,10/26/2018,13,0.418,0.268,8,-11.004,0,0.04,0.894,2.25E-06,0.127,0.357,179.884,4
Balanced on a Pin,Here If You Listen,studio,David Crosby,270120,10/26/2018,11,0.665,0.208,2,-15.086,0,0.0377,0.956,0.233,0.119,0.167,117.064,4
Buddha on a Hill,Here If You Listen,studio,David Crosby,247253,10/26/2018,12,0.586,0.314,7,-11.417,1,0.0342,0.68,0.176,0.115,0.139,118.081,4
Glory,Here If You Listen,studio,David Crosby,320706,10/26/2018,17,0.56,0.195,10,-13.483,1,0.0306,0.939,0.00013,0.126,0.159,110.136,4
I Am No Artist,Here If You Listen,studio,David Crosby,277466,10/26/2018,17,0.323,0.211,11,-12.457,1,0.0332,0.815,0.000579,0.113,0.154,84.709,5
Janet,Here If You Listen,studio,David Crosby,207013,10/26/2018,8,0.738,0.202,5,-10.153,1,0.0366,0.815,0,0.104,0.604,111.915,4
Other Half Rule,Here If You Listen,studio,David Crosby,274053,10/26/2018,20,0.362,0.316,0,-11.767,1,0.0305,0.792,0.0247,0.111,0.212,144.014,3
Vagrants of Venice,Here If You Listen,studio,David Crosby,246253,10/26/2018,13,0.391,0.285,2,-12.565,1,0.0327,0.864,0.0184,0.115,0.178,130.049,4
Woodstock,Here If You Listen,studio,David Crosby,214120,10/26/2018,27,0.679,0.229,7,-10.766,1,0.0309,0.89,3.68E-05,0.138,0.323,115.888,4
Your Own Ride,Here If You Listen,studio,David Crosby,274706,10/26/2018,11,0.365,0.261,8,-12.924,1,0.0289,0.869,0.0142,0.116,0.153,93.77,3
Cowboy Movie,If I Could Only Remember My Name,studio,David Crosby,491400,2/22/1971,36,0.307,0.629,2,-12.499,1,0.0675,0.0061,1.85E-05,0.136,0.514,76.349,4
I'd Swear There Was Somebody Here,If I Could Only Remember My Name,studio,David Crosby,79933,2/22/1971,21,0.167,0.162,5,-15.019,1,0.0305,0.911,1.27E-05,0.1,0.0382,77.119,4
Laughing,If I Could Only Remember My Name,studio,David Crosby,325600,2/22/1971,31,0.259,0.394,2,-12.557,1,0.0289,0.00158,0.00228,0.0814,0.405,141.296,4
Music Is Love,If I Could Only Remember My Name,studio,David Crosby,202573,2/22/1971,35,0.482,0.28,1,-14.97,1,0.0264,0.228,0,0.0888,0.359,90.985,4
Orleans,If I Could Only Remember My Name,studio,David Crosby,116293,2/22/1971,23,0.278,0.162,2,-16.472,1,0.0298,0.877,0,0.125,0.0677,86.1,4
Song with No Words (Tree with No Leaves),If I Could Only Remember My Name,studio,David Crosby,360106,2/22/1971,25,0.481,0.281,4,-15.732,0,0.0259,0.638,0.000396,0.121,0.414,91.424,4
Tamalpais High (At About 3),If I Could Only Remember My Name,studio,David Crosby,212573,2/22/1971,26,0.477,0.259,11,-17.813,0,0.0323,0.481,0.0103,0.0745,0.409,121.294,4
Traction in the Rain,If I Could Only Remember My Name,studio,David Crosby,226160,2/22/1971,26,0.423,0.132,2,-17.136,1,0.0332,0.838,0,0.0789,0.133,98.476,4
What Are Their Names,If I Could Only Remember My Name,studio,David Crosby,254200,2/22/1971,23,0.485,0.354,11,-17.082,0,0.0426,0.162,0.0119,0.0574,0.301,120.49,4
Bach Mode (Pre-Critical Mass),If I Could Only Remember My Name,studio,David Crosby,119626,1971,6,0.23,0.00306,5,-17.789,1,0.0462,0.942,1.50E-06,0.11,0.365,70.981,1
