track,album,album_type,artist,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Chippin' Away,Innocent Eyes,studio,Graham Nash,236466,1986,8,0.659,0.562,2,-12.742,1,0.0271,0.363,2.23E-05,0.0439,0.97,92.734,4
Don't Listen to the Rumors,Innocent Eyes,studio,Graham Nash,183906,1986,1,0.638,0.641,5,-11.68,0,0.0344,0.108,0,0.065,0.627,133.064,4
Glass and Steel,Innocent Eyes,studio,Graham Nash,200400,1986,1,0.306,0.377,6,-12.628,1,0.033,0.476,0,0.0839,0.223,153.717,4
I Got a Rock,Innocent Eyes,studio,Graham Nash,198026,1986,1,0.694,0.567,0,-13.359,1,0.0325,0.00728,0.00188,0.0808,0.939,116.202,4
Innocent Eyes,Innocent Eyes,studio,Graham Nash,190306,1986,10,0.596,0.618,4,-11.339,0,0.0292,0.167,2.56E-06,0.0836,0.897,129.738,4
Keep Away from Me,Innocent Eyes,studio,Graham Nash,212026,1986,2,0.589,0.92,0,-10.62,1,0.0354,0.0542,1.28E-05,0.0616,0.803,96.108,4
Newday,Innocent Eyes,studio,Graham Nash,201293,1986,1,0.571,0.862,6,-11.499,0,0.127,0.153,7.51E-05,0.206,0.657,142.839,4
Over the Wall,Innocent Eyes,studio,Graham Nash,209600,1986,2,0.542,0.871,9,-10.027,0,0.0466,0.0433,0,0.0722,0.709,150.552,4
Sad Eyes,Innocent Eyes,studio,Graham Nash,200000,1986,2,0.684,0.509,7,-11.986,1,0.025,0.331,0,0.0668,0.831,99.071,4
See You in Prague,Innocent Eyes,studio,Graham Nash,220200,1986,3,0.599,0.769,8,-11.816,1,0.0387,0.00545,0,0.297,0.488,123.957,4
A Better Life,Now,studio,Graham Nash,209533,5/19/2023,15,0.681,0.355,7,-8.344,1,0.0389,0.75,1.19E-06,0.0813,0.591,142.688,4
Buddy's Back,Now,studio,Graham Nash,164133,5/19/2023,9,0.69,0.663,9,-7.86,1,0.0264,0.0268,4.60E-05,0.207,0.76,125.956,4
Follow Your Heart,Now,studio,Graham Nash,218053,5/19/2023,8,0.498,0.172,9,-11.424,1,0.0442,0.81,0,0.112,0.248,173.156,4
Golden Idols,Now,studio,Graham Nash,196293,5/19/2023,10,0.444,0.432,4,-9.032,0,0.0505,0.229,0.00194,0.573,0.569,185.621,3
I Watched It All Come Down,Now,studio,Graham Nash,194760,5/19/2023,8,0.615,0.13,2,-11.982,1,0.0412,0.707,0.000396,0.0903,0.243,147.746,4
In A Dream,Now,studio,Graham Nash,134466,5/19/2023,10,0.372,0.185,1,-12.197,1,0.0371,0.701,6.93E-06,0.205,0.255,94.877,4
It Feels Like Home,Now,studio,Graham Nash,225013,5/19/2023,9,0.72,0.476,2,-6.377,1,0.0302,0.523,4.45E-06,0.375,0.534,106.914,4
Love of Mine,Now,studio,Graham Nash,166733,5/19/2023,13,0.633,0.098,9,-13.651,1,0.0535,0.956,0.00031,0.0987,0.337,156.962,4
Right Now,Now,studio,Graham Nash,186773,5/19/2023,19,0.493,0.497,7,-7.838,1,0.0299,0.191,0.000743,0.127,0.396,169.919,4
Stand Up,Now,studio,Graham Nash,182546,5/19/2023,8,0.627,0.661,0,-6.821,1,0.0298,0.00323,8.11E-05,0.3,0.56,103.013,4
Stars & Stripes,Now,studio,Graham Nash,202013,5/19/2023,12,0.73,0.41,7,-9.592,1,0.0282,0.475,1.69E-05,0.0775,0.494,78.992,4
