track,album,album_type,artist,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
A Letter Home Intro,A Letter Home,studio,Neil Young,137213,5/19/2014,8,0.755,0.251,4,-14.697,0,0.587,0.804,0.000106,0.13,0.537,80.165,4
Changes,A Letter Home,studio,Neil Young,236306,5/19/2014,12,0.445,0.257,4,-21.839,0,0.0504,0.937,0.285,0.113,0.632,142.318,4
Crazy,A Letter Home,studio,Neil Young,135973,5/19/2014,15,0.546,0.261,4,-16.051,0,0.0401,0.914,0.00551,0.123,0.273,91.65,4
Early Morning Rain,A Letter Home,studio,Neil Young,264320,5/19/2014,9,0.33,0.424,5,-13.186,1,0.0349,0.952,0.00434,0.364,0.623,176.991,4
Girl from the North Country,A Letter Home,studio,Neil Young,211493,5/19/2014,18,0.487,0.45,7,-13.317,1,0.0257,0.945,0.000309,0.262,0.372,94.665,4
I Wonder If I Care as Much,A Letter Home,studio,Neil Young,151600,5/19/2014,6,0.69,0.323,11,-13.171,0,0.0817,0.892,3.74E-06,0.12,0.477,109.227,3
If You Could Read My Mind,A Letter Home,studio,Neil Young,244040,5/19/2014,11,0.59,0.296,2,-14.57,1,0.0415,0.933,0.00412,0.207,0.34,123.128,4
My Hometown,A Letter Home,studio,Neil Young,248080,5/19/2014,8,0.558,0.276,9,-13.908,1,0.0513,0.899,0.00246,0.134,0.445,120.689,4
Needle of Death,A Letter Home,studio,Neil Young,297266,5/19/2014,11,0.44,0.346,3,-13.856,1,0.0327,0.921,0.647,0.115,0.482,137.441,4
On the Road Again,A Letter Home,studio,Neil Young,142586,5/19/2014,8,0.5,0.517,0,-9.94,1,0.032,0.9,3.85E-05,0.175,0.388,101.387,4
Reason to Believe,A Letter Home,studio,Neil Young,166893,5/19/2014,8,0.7,0.235,0,-15.056,1,0.0677,0.968,0.0313,0.11,0.573,104.735,4
Since I Met You Baby,A Letter Home,studio,Neil Young,133453,5/19/2014,7,0.559,0.2,6,-17.376,1,0.0703,0.983,0.462,0.116,0.536,101.782,4
After the Gold Rush,After the Gold Rush,studio,Neil Young,225973,8/31/1970,50,0.466,0.158,7,-12.894,1,0.0331,0.984,2.13E-06,0.113,0.338,98.062,4
Birds,After the Gold Rush,studio,Neil Young,153373,8/31/1970,37,0.375,0.0679,7,-18.547,1,0.0363,0.98,0.00217,0.103,0.368,142.726,4
Cripple Creek Ferry,After the Gold Rush,studio,Neil Young,93960,8/31/1970,37,0.8,0.222,7,-14.975,1,0.0388,0.52,0,0.0884,0.516,128.296,4
Don't Let It Bring You Down,After the Gold Rush,studio,Neil Young,176866,8/31/1970,46,0.663,0.238,5,-11.851,1,0.0368,0.506,3.41E-06,0.107,0.281,133.082,4
I Believe in You,After the Gold Rush,studio,Neil Young,207386,8/31/1970,36,0.472,0.296,1,-11.118,1,0.0296,0.664,0,0.0986,0.516,146.967,4
"Oh, Lonesome Me",After the Gold Rush,studio,Neil Young,228880,8/31/1970,35,0.397,0.353,9,-10.088,1,0.0313,0.881,7.01E-06,0.354,0.325,117.091,3
Only Love Can Break Your Heart,After the Gold Rush,studio,Neil Young,188600,8/31/1970,57,0.732,0.239,2,-12.198,1,0.037,0.676,1.57E-06,0.0972,0.379,110.579,3
Southern Man,After the Gold Rush,studio,Neil Young,331173,8/31/1970,49,0.373,0.572,7,-9.186,0,0.0334,0.391,0.0477,0.126,0.656,161.846,3
Tell Me Why,After the Gold Rush,studio,Neil Young,177120,8/31/1970,48,0.634,0.397,5,-10.115,1,0.025,0.735,0,0.124,0.479,80.934,4
Till the Morning Comes,After the Gold Rush,studio,Neil Young,76066,8/31/1970,45,0.783,0.24,0,-15.668,1,0.0505,0.896,0.0507,0.132,0.794,114.366,4
When You Dance I Can Really Love,After the Gold Rush,studio,Neil Young,225480,8/31/1970,38,0.561,0.636,0,-9.525,1,0.0264,0.249,0.0036,0.0589,0.699,98.57,4
