track,album,release_date,recording_period,producers,writers,vocals
Southbound Train,Graham Nash David Crosby,"April 5, 1972",1972,Bill Halverson,Graham Nash,
Whole Cloth,Graham Nash David Crosby,"April 5, 1972",1972,Bill Halverson,David Crosby,
Blacknotes,Graham Nash David Crosby,"April 5, 1972",1972,Bill Halverson,Nash,
Stranger's Room,Graham Nash David Crosby,"April 5, 1972",1972,Bill Halverson,Nash,
Where Will I Be?,Graham Nash David Crosby,"April 5, 1972",1972,Bill Halverson,Crosby,
Frozen Smiles,Graham Nash David Crosby,"April 5, 1972",1972,Bill Halverson,Nash,
Games,Graham Nash David Crosby,"April 5, 1972",1972,Bill Halverson,Crosby,
Girl to Be on My Mind,Graham Nash David Crosby,"April 5, 1972",1972,Bill Halverson,Nash,
The Wall Song,Graham Nash David Crosby,"April 5, 1972",1972,Bill Halverson,Crosby,
Carry Me,Wind on the Water,"September 15, 1975","Rudy Records, San Francisco, CaliforniaSound Labs and Village Recorders, Los Angeles, California","David Crosby, Graham Nash, Stephen Barncard",David Crosby,
Mama Lion,Wind on the Water,"September 15, 1975","Rudy Records, San Francisco, CaliforniaSound Labs and Village Recorders, Los Angeles, California","David Crosby, Graham Nash, Stephen Barncard",Graham Nash,
Bittersweet,Wind on the Water,"September 15, 1975","Rudy Records, San Francisco, CaliforniaSound Labs and Village Recorders, Los Angeles, California","David Crosby, Graham Nash, Stephen Barncard",Crosby,
Take the Money and Run,Wind on the Water,"September 15, 1975","Rudy Records, San Francisco, CaliforniaSound Labs and Village Recorders, Los Angeles, California","David Crosby, Graham Nash, Stephen Barncard",Nash,
Naked in the Rain,Wind on the Water,"September 15, 1975","Rudy Records, San Francisco, CaliforniaSound Labs and Village Recorders, Los Angeles, California","David Crosby, Graham Nash, Stephen Barncard","Crosby, Nash",
Low Down Payment,Wind on the Water,"September 15, 1975","Rudy Records, San Francisco, CaliforniaSound Labs and Village Recorders, Los Angeles, California","David Crosby, Graham Nash, Stephen Barncard",Crosby,
Cowboy of Dreams,Wind on the Water,"September 15, 1975","Rudy Records, San Francisco, CaliforniaSound Labs and Village Recorders, Los Angeles, California","David Crosby, Graham Nash, Stephen Barncard",Nash,
Homeward Through the Haze,Wind on the Water,"September 15, 1975","Rudy Records, San Francisco, CaliforniaSound Labs and Village Recorders, Los Angeles, California","David Crosby, Graham Nash, Stephen Barncard",Crosby,
Fieldworker,Wind on the Water,"September 15, 1975","Rudy Records, San Francisco, CaliforniaSound Labs and Village Recorders, Los Angeles, California","David Crosby, Graham Nash, Stephen Barncard",Nash,
Deja Vu,Wind on the Water,"September 15, 1975","Rudy Records, San Francisco, CaliforniaSound Labs and Village Recorders, Los Angeles, California","David Crosby, Graham Nash, Stephen Barncard",Crosby,
Lady of the Island,Wind on the Water,"September 15, 1975","Rudy Records, San Francisco, CaliforniaSound Labs and Village Recorders, Los Angeles, California","David Crosby, Graham Nash, Stephen Barncard",Nash,
Prison Song,Wind on the Water,"September 15, 1975","Rudy Records, San Francisco, CaliforniaSound Labs and Village Recorders, Los Angeles, California","David Crosby, Graham Nash, Stephen Barncard",Nash,
Carry Me,Wind on the Water,"September 15, 1975","Rudy Records, San Francisco, CaliforniaSound Labs and Village Recorders, Los Angeles, California","David Crosby, Graham Nash, Stephen Barncard",Crosby,
