track,album,release_date,recording_period,producers,writers,vocals
Suite: Judy Blue Eyes,"Crosby, Stills & Nash","May 29, 1969",February–March 1969,"Crosby, Stills & Nash",Stephen Stills,Stills
Marrakesh Express,"Crosby, Stills & Nash","May 29, 1969",February–March 1969,"Crosby, Stills & Nash",Graham Nash,Nash
Guinnevere,"Crosby, Stills & Nash","May 29, 1969",February–March 1969,"Crosby, Stills & Nash",David Crosby,Crosby with Nash
You Don't Have to Cry,"Crosby, Stills & Nash","May 29, 1969",February–March 1969,"Crosby, Stills & Nash",Stills,Stills with Crosby & Nash
Pre-Road Downs,"Crosby, Stills & Nash","May 29, 1969",February–March 1969,"Crosby, Stills & Nash",Nash,Nash
Wooden Ships,"Crosby, Stills & Nash","May 29, 1969",February–March 1969,"Crosby, Stills & Nash","Crosby, Paul Kantner, Stills",Crosby with Stills
Lady of the Island,"Crosby, Stills & Nash","May 29, 1969",February–March 1969,"Crosby, Stills & Nash",Nash,Nash
Helplessly Hoping,"Crosby, Stills & Nash","May 29, 1969",February–March 1969,"Crosby, Stills & Nash",Stills,Stills with Crosby & Nash
Long Time Gone,"Crosby, Stills & Nash","May 29, 1969",February–March 1969,"Crosby, Stills & Nash",Crosby,Crosby with Stills
49 Bye-Byes,"Crosby, Stills & Nash","May 29, 1969",February–March 1969,"Crosby, Stills & Nash",Stills,Stills
Do for the Others (demo),"Crosby, Stills & Nash","May 29, 1969",February–March 1969,"Crosby, Stills & Nash",Stills,Stills and Nash
Song with No Words (Tree with No Leaves),"Crosby, Stills & Nash","May 29, 1969",February–March 1969,"Crosby, Stills & Nash",Crosby,Crosby and Nash
Everybody's Talkin',"Crosby, Stills & Nash","May 29, 1969",February–March 1969,"Crosby, Stills & Nash",Fred Neil,Stills with Crosby and Nash
Teach Your Children (demo),"Crosby, Stills & Nash","May 29, 1969",February–March 1969,"Crosby, Stills & Nash",Nash,Nash and Crosby
Carry On,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Stephen Stills,Stills
Teach Your Children,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Graham Nash,Nash
Almost Cut My Hair,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",David Crosby,Crosby
Helpless,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Neil Young,Young
Déjà Vu,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Crosby,Crosby
Our House,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Nash,Nash
4 + 20,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Stills,Stills
"Country Girla. Whiskey Boot Hillb. Down, Down, Downc. Country Girl (I Think You’re Pretty)",Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Young,"Young with Crosby, Stills & Nash"
Everybody I Love You,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Stills,Stills with Crosby & Nash
Our House,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Nash,
4 + 20,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Stills,
Song With No Words (Tree With No Leaves),Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young","Crosby, Nash",
Birds,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Young,
So Begins the Task / Hold On Tight,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Stills,
Right Between the Eyes,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Nash,
Almost Cut My Hair,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Crosby,
Teach Your Children,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Nash,
How Have You Been,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",John Sebastian,
Triad,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Crosby,
Horses Through a Rainstorm,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Nash,
Know You Got to Run,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Stills,
Question Why,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Nash,
Laughing,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Crosby,
She Can't Handle It,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Stills,
Sleep Song,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Nash,
Déjà Vu,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Crosby,
Everyday We Live,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Stills,
The Lee Shore,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Crosby,
I'll Be There,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Stills,
Bluebird Revisted,Déjà Vu,"March 11, 1970",July 1969 – January1970,"Crosby, Stills, Nash & Young",Stills,
