track,album,release_date,recording_period,producers,writers,vocals
Drive My Car,Oh Yes I Can,"January 23, 1989",June–October 1988,"David Crosby, Craig Doerge",Crosby,
Melody,Oh Yes I Can,"January 23, 1989",June–October 1988,"David Crosby, Craig Doerge","Crosby, Craig Doerge",
Monkey and the Underdog,Oh Yes I Can,"January 23, 1989",June–October 1988,"David Crosby, Craig Doerge","Crosby, Doerge",
In the Wide Ruin,Oh Yes I Can,"January 23, 1989",June–October 1988,"David Crosby, Craig Doerge","Doerge, Henske",
Tracks in the Dust,Oh Yes I Can,"January 23, 1989",June–October 1988,"David Crosby, Craig Doerge",Crosby,
Drop Down Mama,Oh Yes I Can,"January 23, 1989",June–October 1988,"David Crosby, Craig Doerge",Crosby,
Lady of the Harbor,Oh Yes I Can,"January 23, 1989",June–October 1988,"David Crosby, Craig Doerge","Crosby, Doerge",
Distances,Oh Yes I Can,"January 23, 1989",June–October 1988,"David Crosby, Craig Doerge",Crosby,
Flying Man,Oh Yes I Can,"January 23, 1989",June–October 1988,"David Crosby, Craig Doerge","Crosby, Doerge",
Oh Yes I Can,Oh Yes I Can,"January 23, 1989",June–October 1988,"David Crosby, Craig Doerge",Crosby,
Hero (featuringPhil Collins),Thousand Roads,"May 4, 1993",July 1992–January 1993,"Phil Collins, Don Was, Dean Parks, David Crosby, Glyn Johns, Stephen Barncard, Phil Ramone","Phil Collins, David Crosby",
Too Young to Die,Thousand Roads,"May 4, 1993",July 1992–January 1993,"Phil Collins, Don Was, Dean Parks, David Crosby, Glyn Johns, Stephen Barncard, Phil Ramone",Jimmy Webb,
Old Soldier,Thousand Roads,"May 4, 1993",July 1992–January 1993,"Phil Collins, Don Was, Dean Parks, David Crosby, Glyn Johns, Stephen Barncard, Phil Ramone",Marc Cohn,
Through Your Hands,Thousand Roads,"May 4, 1993",July 1992–January 1993,"Phil Collins, Don Was, Dean Parks, David Crosby, Glyn Johns, Stephen Barncard, Phil Ramone",John Hiatt,
Yvette in English,Thousand Roads,"May 4, 1993",July 1992–January 1993,"Phil Collins, Don Was, Dean Parks, David Crosby, Glyn Johns, Stephen Barncard, Phil Ramone","Joni Mitchell, David Crosby",
Thousand Roads,Thousand Roads,"May 4, 1993",July 1992–January 1993,"Phil Collins, Don Was, Dean Parks, David Crosby, Glyn Johns, Stephen Barncard, Phil Ramone",David Crosby,
Columbus,Thousand Roads,"May 4, 1993",July 1992–January 1993,"Phil Collins, Don Was, Dean Parks, David Crosby, Glyn Johns, Stephen Barncard, Phil Ramone",Noel Brazil,
Helpless Heart,Thousand Roads,"May 4, 1993",July 1992–January 1993,"Phil Collins, Don Was, Dean Parks, David Crosby, Glyn Johns, Stephen Barncard, Phil Ramone",Paul Brady,
Coverage,Thousand Roads,"May 4, 1993",July 1992–January 1993,"Phil Collins, Don Was, Dean Parks, David Crosby, Glyn Johns, Stephen Barncard, Phil Ramone",Bonnie Hayes,
What's Broken,Croz,"January 28, 2014",October 2011–October 2013,Daniel GarciaDavid CrosbyJames Raymond,James Raymond,
Time I Have,Croz,"January 28, 2014",October 2011–October 2013,Daniel GarciaDavid CrosbyJames Raymond,David Crosby,
Holding On to Nothing,Croz,"January 28, 2014",October 2011–October 2013,Daniel GarciaDavid CrosbyJames Raymond,"David Crosby, Sterling Price",
The Clearing,Croz,"January 28, 2014",October 2011–October 2013,Daniel GarciaDavid CrosbyJames Raymond,James Raymond,
Radio,Croz,"January 28, 2014",October 2011–October 2013,Daniel GarciaDavid CrosbyJames Raymond,"David Crosby, James Raymond",
Slice of Time,Croz,"January 28, 2014",October 2011–October 2013,Daniel GarciaDavid CrosbyJames Raymond,"David Crosby, Marcus Eaton, James Raymond",
Set That Baggage Down,Croz,"January 28, 2014",October 2011–October 2013,Daniel GarciaDavid CrosbyJames Raymond,"David Crosby, Shane Fontayne",
If She Called,Croz,"January 28, 2014",October 2011–October 2013,Daniel GarciaDavid CrosbyJames Raymond,David Crosby,
Dangerous Night,Croz,"January 28, 2014",October 2011–October 2013,Daniel GarciaDavid CrosbyJames Raymond,"David Crosby, James Raymond",
Morning Falling,Croz,"January 28, 2014",October 2011–October 2013,Daniel GarciaDavid CrosbyJames Raymond,"David Crosby, James Raymond",
Things We Do for Love,Lighthouse,"October 21, 2016",February 2016[1],"Michael League, Fab Dupont","David Crosby, Michael League",
The Us Below,Lighthouse,"October 21, 2016",February 2016[1],"Michael League, Fab Dupont","David Crosby, Michael League, Marcus Eaton",
Drive Out to the Desert,Lighthouse,"October 21, 2016",February 2016[1],"Michael League, Fab Dupont",David Crosby,
