track,album,release_date,recording_period,producers,writers,vocals
Talking 'bout You,Stay with the Hollies,January 1964(1964-01),15 May – 11 December 1963,Ron Richards,Chuck Berry,"Clarke, Hicks, Nash"
Mr. Moonlight,Stay with the Hollies,January 1964(1964-01),15 May – 11 December 1963,Ron Richards,Roy Lee Johnson,Nash
You Better Move On,Stay with the Hollies,January 1964(1964-01),15 May – 11 December 1963,Ron Richards,Arthur Alexander,Clarke and Nash
Lucille,Stay with the Hollies,January 1964(1964-01),15 May – 11 December 1963,Ron Richards,"Al Collins, Little Richard",Clarke and Nash
Baby Don't Cry,Stay with the Hollies,January 1964(1964-01),15 May – 11 December 1963,Ron Richards,"Tony Hiller, Perry Ford",Clarke and Nash
Memphis,Stay with the Hollies,January 1964(1964-01),15 May – 11 December 1963,Ron Richards,Chuck Berry,Clarke and Nash
Rockin' Robin,Stay with the Hollies,January 1964(1964-01),15 May – 11 December 1963,Ron Richards,Jimmie Thomas,Clarke
Whatcha Gonna Do 'bout It?,Stay with the Hollies,January 1964(1964-01),15 May – 11 December 1963,Ron Richards,"Gregory Carroll, Doris Payne",Clarke with Nash
Do You Love Me,Stay with the Hollies,January 1964(1964-01),15 May – 11 December 1963,Ron Richards,Berry Gordy,Clarke
It's Only Make Believe,Stay with the Hollies,January 1964(1964-01),15 May – 11 December 1963,Ron Richards,"Conway Twitty, Jack Nance",Clarke and Nash
What Kind of Girl Are You,Stay with the Hollies,January 1964(1964-01),15 May – 11 December 1963,Ron Richards,Ray Charles,Clarke and Nash
Little Lover,Stay with the Hollies,January 1964(1964-01),15 May – 11 December 1963,Ron Richards,"Graham Nash, Allan Clarke",Clarke
Nitty Gritty/Something's Got a Hold on Me,In The Hollies Style,November 1964(1964-11)[1],13 April – 25 August 1964,Ron Richards,"Lincoln Chase/Etta James, Leroy Kirkland, Pearl Woods",Clarke
Don't You Know,In The Hollies Style,November 1964(1964-11)[1],13 April – 25 August 1964,Ron Richards,,"Clarke, with Hicks and Nash"
To You My Love,In The Hollies Style,November 1964(1964-11)[1],13 April – 25 August 1964,Ron Richards,,Nash
It's in Her Kiss,In The Hollies Style,November 1964(1964-11)[1],13 April – 25 August 1964,Ron Richards,Rudy Clark,"Clarke, Nash and Hicks"
Time for Love,In The Hollies Style,November 1964(1964-11)[1],13 April – 25 August 1964,Ron Richards,,Clarke with Nash
Too Much Monkey Business,In The Hollies Style,November 1964(1964-11)[1],13 April – 25 August 1964,Ron Richards,Chuck Berry,"Clarke, Nash and Hicks"
I Thought of You Last Night,In The Hollies Style,November 1964(1964-11)[1],13 April – 25 August 1964,Ron Richards,Ralph Freed,Clarke and Nash
Please Don't Feel Too Bad,In The Hollies Style,November 1964(1964-11)[1],13 April – 25 August 1964,Ron Richards,,Clarke
Come On Home,In The Hollies Style,November 1964(1964-11)[1],13 April – 25 August 1964,Ron Richards,,Clarke and Nash
You'll Be Mine,In The Hollies Style,November 1964(1964-11)[1],13 April – 25 August 1964,Ron Richards,,Clarke
Very Last Day,Hollies,September 1965[1],10 November 1964 – 13 July 1965,Ron Richards,"Noel Stookey, Peter Yarrow",Clarke
You Must Believe Me,Hollies,September 1965[1],10 November 1964 – 13 July 1965,Ron Richards,Curtis Mayfield,Clarke
Put Yourself in My Place,Hollies,September 1965[1],10 November 1964 – 13 July 1965,Ron Richards,L. Ransford,Clarke and Nash
Down the Line,Hollies,September 1965[1],10 November 1964 – 13 July 1965,Ron Richards,Roy Orbison,Clarke
That's My Desire,Hollies,September 1965[1],10 November 1964 – 13 July 1965,Ron Richards,"Carroll Loveday, Helmy Kresa","Clarke, Hicks, Nash Bridge: Clarke"
Lawdy Miss Clawdy,Hollies,September 1965[1],10 November 1964 – 13 July 1965,Ron Richards,Lloyd Price,Clarke
When I Come Home to You,Hollies,September 1965[1],10 November 1964 – 13 July 1965,Ron Richards,L. Ransford,Clarke
Fortune Teller,Hollies,September 1965[1],10 November 1964 – 13 July 1965,Ron Richards,Naomi Neville,Clarke and Nash
So Lonely,Hollies,September 1965[1],10 November 1964 – 13 July 1965,Ron Richards,L. Ransford,Clarke and Nash
I've Been Wrong,Hollies,September 1965[1],10 November 1964 – 13 July 1965,Ron Richards,L. Ransford,Clarke and Nash
I'm Alive (Clint Ballard Jr.),Hollies,September 1965[1],10 November 1964 – 13 July 1965,Ron Richards,,
"Very Last Day (Paul Stookey, Peter Yarrow)",Hollies,September 1965[1],10 November 1964 – 13 July 1965,Ron Richards,,
You Must Believe Me (Curtis Mayfield),Hollies,September 1965[1],10 November 1964 – 13 July 1965,Ron Richards,,
Put Yourself in My Place,Hollies,September 1965[1],10 November 1964 – 13 July 1965,Ron Richards,,
Down the Line (Roy Orbison),Hollies,September 1965[1],10 November 1964 – 13 July 1965,Ron Richards,,
"Look Through Any Window (Charles Silverman,Graham Gouldman)",Hollies,September 1965[1],10 November 1964 – 13 July 1965,Ron Richards,,
Lawdy Miss Clawdy (Lloyd Price),Hollies,September 1965[1],10 November 1964 – 13 July 1965,Ron Richards,,
When I Come Home to You,Hollies,September 1965[1],10 November 1964 – 13 July 1965,Ron Richards,,
So Lonely,Hollies,September 1965[1],10 November 1964 – 13 July 1965,Ron Richards,,
I've Been Wrong,Hollies,September 1965[1],10 November 1964 – 13 July 1965,Ron Richards,,
I Take What I Want,Would You Believe?,1 July 1966,14 September 1965 – 25 March 1966,Ron Richards,"David Porter, Mabon ""Teenie"" Hodges, Isaac Hayes",Clarke
Hard Hard Year,Would You Believe?,1 July 1966,14 September 1965 – 25 March 1966,Ron Richards,Ransford,Clarke
That's How Strong My Love Is,Would You Believe?,1 July 1966,14 September 1965 – 25 March 1966,Ron Richards,Roosevelt Jamison,Clarke
