track,album,release_date,recording_period,producers,writers,vocals
The Old Country Waltz,American Stars 'n Bars,"May 27, 1977(1977-05-27)[1]","December 13, 1974 – April 4, 1977","Neil Young, David Briggs, Elliot Mazer",,
Saddle Up the Palomino,American Stars 'n Bars,"May 27, 1977(1977-05-27)[1]","December 13, 1974 – April 4, 1977","Neil Young, David Briggs, Elliot Mazer",,
Hey Babe,American Stars 'n Bars,"May 27, 1977(1977-05-27)[1]","December 13, 1974 – April 4, 1977","Neil Young, David Briggs, Elliot Mazer",,
Hold Back the Tears,American Stars 'n Bars,"May 27, 1977(1977-05-27)[1]","December 13, 1974 – April 4, 1977","Neil Young, David Briggs, Elliot Mazer",,
Star of Bethlehem,American Stars 'n Bars,"May 27, 1977(1977-05-27)[1]","December 13, 1974 – April 4, 1977","Neil Young, David Briggs, Elliot Mazer",,
Will to Love,American Stars 'n Bars,"May 27, 1977(1977-05-27)[1]","December 13, 1974 – April 4, 1977","Neil Young, David Briggs, Elliot Mazer",,
Like a Hurricane,American Stars 'n Bars,"May 27, 1977(1977-05-27)[1]","December 13, 1974 – April 4, 1977","Neil Young, David Briggs, Elliot Mazer",,
Opera Star,Re·ac·tor,"November 2, 1981(1981-11-02)","October 9, 1980 – July 21, 1981",David Briggs,,
Surfer Joe and Moe the Sleaze,Re·ac·tor,"November 2, 1981(1981-11-02)","October 9, 1980 – July 21, 1981",David Briggs,,
T-Bone,Re·ac·tor,"November 2, 1981(1981-11-02)","October 9, 1980 – July 21, 1981",David Briggs,,
Get Back on It,Re·ac·tor,"November 2, 1981(1981-11-02)","October 9, 1980 – July 21, 1981",David Briggs,,
Southern Pacific,Re·ac·tor,"November 2, 1981(1981-11-02)","October 9, 1980 – July 21, 1981",David Briggs,,
Motor City,Re·ac·tor,"November 2, 1981(1981-11-02)","October 9, 1980 – July 21, 1981",David Briggs,,
Rapid Transit,Re·ac·tor,"November 2, 1981(1981-11-02)","October 9, 1980 – July 21, 1981",David Briggs,,
Shots,Re·ac·tor,"November 2, 1981(1981-11-02)","October 9, 1980 – July 21, 1981",David Briggs,,
Betty Lou's Got a New Pair of Shoes,Everybody's Rockin',"August 1, 1983",April – May 1983,"Elliot Mazer, Neil Young",Bobby Freeman,
Rainin' in My Heart,Everybody's Rockin',"August 1, 1983",April – May 1983,"Elliot Mazer, Neil Young","Slim Harpo, Jerry West",
Payola Blues,Everybody's Rockin',"August 1, 1983",April – May 1983,"Elliot Mazer, Neil Young","Ben Keith, Young",
Wonderin',Everybody's Rockin',"August 1, 1983",April – May 1983,"Elliot Mazer, Neil Young",,
Jellyroll Man,Everybody's Rockin',"August 1, 1983",April – May 1983,"Elliot Mazer, Neil Young",,
"Bright Lights, Big City",Everybody's Rockin',"August 1, 1983",April – May 1983,"Elliot Mazer, Neil Young",Jimmy Reed,
"Cry, Cry, Cry",Everybody's Rockin',"August 1, 1983",April – May 1983,"Elliot Mazer, Neil Young",,
Mystery Train,Everybody's Rockin',"August 1, 1983",April – May 1983,"Elliot Mazer, Neil Young","Junior Parker, Sam Phillips",
Weight of the World,Landing on Water,"July 21, 1986(1986-07-21)",August 1983 – March 1986,"Neil Young, Danny Kortchmar",,
Violent Side,Landing on Water,"July 21, 1986(1986-07-21)",August 1983 – March 1986,"Neil Young, Danny Kortchmar",,
Hippie Dream,Landing on Water,"July 21, 1986(1986-07-21)",August 1983 – March 1986,"Neil Young, Danny Kortchmar",,
Bad News Beat,Landing on Water,"July 21, 1986(1986-07-21)",August 1983 – March 1986,"Neil Young, Danny Kortchmar",,
People on the Street,Landing on Water,"July 21, 1986(1986-07-21)",August 1983 – March 1986,"Neil Young, Danny Kortchmar",,
Hard Luck Stories,Landing on Water,"July 21, 1986(1986-07-21)",August 1983 – March 1986,"Neil Young, Danny Kortchmar",,
I Got a Problem,Landing on Water,"July 21, 1986(1986-07-21)",August 1983 – March 1986,"Neil Young, Danny Kortchmar",,
Pressure,Landing on Water,"July 21, 1986(1986-07-21)",August 1983 – March 1986,"Neil Young, Danny Kortchmar",,
Mideast Vacation,Life,"June 30, 1987[1]","November 18–19, 1986(except for ""We Never Danced"" on February 11, 1987and ""Cryin' Eyes"" on March 20, 1987)","David Briggs, Neil Young, Jack Nitzsche, Neil Young",,
Long Walk Home,Life,"June 30, 1987[1]","November 18–19, 1986(except for ""We Never Danced"" on February 11, 1987and ""Cryin' Eyes"" on March 20, 1987)","David Briggs, Neil Young, Jack Nitzsche, Neil Young",,
Around the World,Life,"June 30, 1987[1]","November 18–19, 1986(except for ""We Never Danced"" on February 11, 1987and ""Cryin' Eyes"" on March 20, 1987)","David Briggs, Neil Young, Jack Nitzsche, Neil Young",,
Too Lonely,Life,"June 30, 1987[1]","November 18–19, 1986(except for ""We Never Danced"" on February 11, 1987and ""Cryin' Eyes"" on March 20, 1987)","David Briggs, Neil Young, Jack Nitzsche, Neil Young",,
Prisoners of Rock 'N' Roll,Life,"June 30, 1987[1]","November 18–19, 1986(except for ""We Never Danced"" on February 11, 1987and ""Cryin' Eyes"" on March 20, 1987)","David Briggs, Neil Young, Jack Nitzsche, Neil Young",,
Cryin' Eyes,Life,"June 30, 1987[1]","November 18–19, 1986(except for ""We Never Danced"" on February 11, 1987and ""Cryin' Eyes"" on March 20, 1987)","David Briggs, Neil Young, Jack Nitzsche, Neil Young",,
When Your Lonely Heart Breaks,Life,"June 30, 1987[1]","November 18–19, 1986(except for ""We Never Danced"" on February 11, 1987and ""Cryin' Eyes"" on March 20, 1987)","David Briggs, Neil Young, Jack Nitzsche, Neil Young",,
Ten Men Workin',This Note's for You,"April 11, 1988(1988-04-11)",November 1987 – January 1988,Niko Bolas,,
This Note's for You,This Note's for You,"April 11, 1988(1988-04-11)",November 1987 – January 1988,Niko Bolas,,
Coupe de Ville,This Note's for You,"April 11, 1988(1988-04-11)",November 1987 – January 1988,Niko Bolas,,
Life in the City,This Note's for You,"April 11, 1988(1988-04-11)",November 1987 – January 1988,Niko Bolas,,
Twilight,This Note's for You,"April 11, 1988(1988-04-11)",November 1987 – January 1988,Niko Bolas,,
Married Man,This Note's for You,"April 11, 1988(1988-04-11)",November 1987 – January 1988,Niko Bolas,,
Sunny Inside,This Note's for You,"April 11, 1988(1988-04-11)",November 1987 – January 1988,Niko Bolas,,
Can't Believe Your Lyin',This Note's for You,"April 11, 1988(1988-04-11)",November 1987 – January 1988,Niko Bolas,,
Hey Hey,This Note's for You,"April 11, 1988(1988-04-11)",November 1987 – January 1988,Niko Bolas,,
Rockin' in the Free World (Live acoustic),Freedom,"October 2, 1989(October 2, 1989)","July 25, 1988(1988-07-25)– July 10, 1989(1989-07-10)",Niko Bolas,,
Crime in the City (Sixty to Zero Part I),Freedom,"October 2, 1989(October 2, 1989)","July 25, 1988(1988-07-25)– July 10, 1989(1989-07-10)",Niko Bolas,,
Don't Cry,Freedom,"October 2, 1989(October 2, 1989)","July 25, 1988(1988-07-25)– July 10, 1989(1989-07-10)",Niko Bolas,,
Hangin' on a Limb,Freedom,"October 2, 1989(October 2, 1989)","July 25, 1988(1988-07-25)– July 10, 1989(1989-07-10)",Niko Bolas,,
Eldorado,Freedom,"October 2, 1989(October 2, 1989)","July 25, 1988(1988-07-25)– July 10, 1989(1989-07-10)",Niko Bolas,,
The Ways of Love,Freedom,"October 2, 1989(October 2, 1989)","July 25, 1988(1988-07-25)– July 10, 1989(1989-07-10)",Niko Bolas,,
Someday,Freedom,"October 2, 1989(October 2, 1989)","July 25, 1988(1988-07-25)– July 10, 1989(1989-07-10)",Niko Bolas,,
On Broadway,Freedom,"October 2, 1989(October 2, 1989)","July 25, 1988(1988-07-25)– July 10, 1989(1989-07-10)",Niko Bolas,"Barry Mann, Cynthia Weil, Jerry Leiber, Mike Stoller",
Wrecking Ball,Freedom,"October 2, 1989(October 2, 1989)","July 25, 1988(1988-07-25)– July 10, 1989(1989-07-10)",Niko Bolas,,
No More,Freedom,"October 2, 1989(October 2, 1989)","July 25, 1988(1988-07-25)– July 10, 1989(1989-07-10)",Niko Bolas,,
Too Far Gone,Freedom,"October 2, 1989(October 2, 1989)","July 25, 1988(1988-07-25)– July 10, 1989(1989-07-10)",Niko Bolas,,
Country Home,Ragged Glory,"September 10, 1990(1990-09-10)[1]",April 1990,David Briggs,,
White Line,Ragged Glory,"September 10, 1990(1990-09-10)[1]",April 1990,David Briggs,,
Fuckin' Up,Ragged Glory,"September 10, 1990(1990-09-10)[1]",April 1990,David Briggs,"Neil Young, Frank ""Poncho"" Sampedro",
Over and Over,Ragged Glory,"September 10, 1990(1990-09-10)[1]",April 1990,David Briggs,,
Love to Burn,Ragged Glory,"September 10, 1990(1990-09-10)[1]",April 1990,David Briggs,,
Farmer John,Ragged Glory,"September 10, 1990(1990-09-10)[1]",April 1990,David Briggs,"Don Harris, Dewey Terry",
Mansion on the Hill,Ragged Glory,"September 10, 1990(1990-09-10)[1]",April 1990,David Briggs,,
Days That Used to Be,Ragged Glory,"September 10, 1990(1990-09-10)[1]",April 1990,David Briggs,,
Love and Only Love,Ragged Glory,"September 10, 1990(1990-09-10)[1]",April 1990,David Briggs,,
Interstate,Ragged Glory,"September 10, 1990(1990-09-10)[1]",April 1990,David Briggs,,
Don't Spook the Horse,Ragged Glory,"September 10, 1990(1990-09-10)[1]",April 1990,David Briggs,,
Boxcar,Ragged Glory,"September 10, 1990(1990-09-10)[1]",April 1990,David Briggs,,
Unknown Legend,Harvest Moon,"November 2, 1992[1]",September 1991 – February 1992,Ben Keith,,
From Hank to Hendrix,Harvest Moon,"November 2, 1992[1]",September 1991 – February 1992,Ben Keith,,
You and Me,Harvest Moon,"November 2, 1992[1]",September 1991 – February 1992,Ben Keith,,
Harvest Moon,Harvest Moon,"November 2, 1992[1]",September 1991 – February 1992,Ben Keith,,
War of Man,Harvest Moon,"November 2, 1992[1]",September 1991 – February 1992,Ben Keith,,
One of These Days,Harvest Moon,"November 2, 1992[1]",September 1991 – February 1992,Ben Keith,,
Such a Woman,Harvest Moon,"November 2, 1992[1]",September 1991 – February 1992,Ben Keith,,
Old King,Harvest Moon,"November 2, 1992[1]",September 1991 – February 1992,Ben Keith,,
Dreamin' Man,Harvest Moon,"November 2, 1992[1]",September 1991 – February 1992,Ben Keith,,
My Heart,Sleeps with Angels,"August 16, 1994","November 8, 1993 – April 25, 1994",David Briggs,,
Prime of Life,Sleeps with Angels,"August 16, 1994","November 8, 1993 – April 25, 1994",David Briggs,,
Driveby,Sleeps with Angels,"August 16, 1994","November 8, 1993 – April 25, 1994",David Briggs,,
Sleeps with Angels,Sleeps with Angels,"August 16, 1994","November 8, 1993 – April 25, 1994",David Briggs,,
Western Hero,Sleeps with Angels,"August 16, 1994","November 8, 1993 – April 25, 1994",David Briggs,,
Change Your Mind,Sleeps with Angels,"August 16, 1994","November 8, 1993 – April 25, 1994",David Briggs,,
Blue Eden,Sleeps with Angels,"August 16, 1994","November 8, 1993 – April 25, 1994",David Briggs,,
Safeway Cart,Sleeps with Angels,"August 16, 1994","November 8, 1993 – April 25, 1994",David Briggs,,
Train of Love,Sleeps with Angels,"August 16, 1994","November 8, 1993 – April 25, 1994",David Briggs,,
Trans Am,Sleeps with Angels,"August 16, 1994","November 8, 1993 – April 25, 1994",David Briggs,,
Piece of Crap,Sleeps with Angels,"August 16, 1994","November 8, 1993 – April 25, 1994",David Briggs,,
A Dream That Can Last,Sleeps with Angels,"August 16, 1994","November 8, 1993 – April 25, 1994",David Briggs,,
Song X,Mirror Ball,"August 7, 1995[1]","January – February 10, 1995",Brendan O'Brien,,
Act of Love,Mirror Ball,"August 7, 1995[1]","January – February 10, 1995",Brendan O'Brien,,
I'm the Ocean,Mirror Ball,"August 7, 1995[1]","January – February 10, 1995",Brendan O'Brien,,
Big Green Country,Mirror Ball,"August 7, 1995[1]","January – February 10, 1995",Brendan O'Brien,,
Truth Be Known,Mirror Ball,"August 7, 1995[1]","January – February 10, 1995",Brendan O'Brien,,
Downtown,Mirror Ball,"August 7, 1995[1]","January – February 10, 1995",Brendan O'Brien,,
What Happened Yesterday,Mirror Ball,"August 7, 1995[1]","January – February 10, 1995",Brendan O'Brien,,
Peace and Love,Mirror Ball,"August 7, 1995[1]","January – February 10, 1995",Brendan O'Brien,,
Throw Your Hatred Down,Mirror Ball,"August 7, 1995[1]","January – February 10, 1995",Brendan O'Brien,,
Scenery,Mirror Ball,"August 7, 1995[1]","January – February 10, 1995",Brendan O'Brien,,
Big Time,Broken Arrow,"July 2, 1996","March 21 – April 17, 1996",Neil Young,,
Loose Change,Broken Arrow,"July 2, 1996","March 21 – April 17, 1996",Neil Young,,
Slip Away,Broken Arrow,"July 2, 1996","March 21 – April 17, 1996",Neil Young,,
Changing Highways,Broken Arrow,"July 2, 1996","March 21 – April 17, 1996",Neil Young,,
Scattered (Let's Think About Livin'),Broken Arrow,"July 2, 1996","March 21 – April 17, 1996",Neil Young,,
This Town,Broken Arrow,"July 2, 1996","March 21 – April 17, 1996",Neil Young,,
Music Arcade,Broken Arrow,"July 2, 1996","March 21 – April 17, 1996",Neil Young,,
Good to See You,Silver & Gold,"April 25, 2000","August 26, 1997 – May 28, 1999",Ben Keith,,
Silver & Gold,Silver & Gold,"April 25, 2000","August 26, 1997 – May 28, 1999",Ben Keith,,
Daddy Went Walkin',Silver & Gold,"April 25, 2000","August 26, 1997 – May 28, 1999",Ben Keith,,
Buffalo Springfield Again,Silver & Gold,"April 25, 2000","August 26, 1997 – May 28, 1999",Ben Keith,,
The Great Divide,Silver & Gold,"April 25, 2000","August 26, 1997 – May 28, 1999",Ben Keith,,
Horseshoe Man,Silver & Gold,"April 25, 2000","August 26, 1997 – May 28, 1999",Ben Keith,,
Red Sun,Silver & Gold,"April 25, 2000","August 26, 1997 – May 28, 1999",Ben Keith,,
Distant Camera,Silver & Gold,"April 25, 2000","August 26, 1997 – May 28, 1999",Ben Keith,,
Razor Love,Silver & Gold,"April 25, 2000","August 26, 1997 – May 28, 1999",Ben Keith,,
You're My Girl,Are You Passionate?,"April 9, 2002","February 8 – December 5, 2001","Neil Young, Booker T. Jones, Duck Dunn, Frank Sampedro",,
Mr. Disappointment,Are You Passionate?,"April 9, 2002","February 8 – December 5, 2001","Neil Young, Booker T. Jones, Duck Dunn, Frank Sampedro",,
Differently,Are You Passionate?,"April 9, 2002","February 8 – December 5, 2001","Neil Young, Booker T. Jones, Duck Dunn, Frank Sampedro",,
Quit (Don't Say You Love Me),Are You Passionate?,"April 9, 2002","February 8 – December 5, 2001","Neil Young, Booker T. Jones, Duck Dunn, Frank Sampedro",,
Let's Roll,Are You Passionate?,"April 9, 2002","February 8 – December 5, 2001","Neil Young, Booker T. Jones, Duck Dunn, Frank Sampedro",,
Are You Passionate?,Are You Passionate?,"April 9, 2002","February 8 – December 5, 2001","Neil Young, Booker T. Jones, Duck Dunn, Frank Sampedro",,
Goin' Home,Are You Passionate?,"April 9, 2002","February 8 – December 5, 2001","Neil Young, Booker T. Jones, Duck Dunn, Frank Sampedro",,
When I Hold You in My Arms,Are You Passionate?,"April 9, 2002","February 8 – December 5, 2001","Neil Young, Booker T. Jones, Duck Dunn, Frank Sampedro",,
Be With You,Are You Passionate?,"April 9, 2002","February 8 – December 5, 2001","Neil Young, Booker T. Jones, Duck Dunn, Frank Sampedro",,
Two Old Friends,Are You Passionate?,"April 9, 2002","February 8 – December 5, 2001","Neil Young, Booker T. Jones, Duck Dunn, Frank Sampedro",,
Falling from Above,Greendale,"August 19, 2003","July 11 – September 19, 2002","Neil Young, L.A. Johnson",,
Double E,Greendale,"August 19, 2003","July 11 – September 19, 2002","Neil Young, L.A. Johnson",,
Devil's Sidewalk,Greendale,"August 19, 2003","July 11 – September 19, 2002","Neil Young, L.A. Johnson",,
Leave the Driving,Greendale,"August 19, 2003","July 11 – September 19, 2002","Neil Young, L.A. Johnson",,
Carmichael,Greendale,"August 19, 2003","July 11 – September 19, 2002","Neil Young, L.A. Johnson",,
Bandit,Greendale,"August 19, 2003","July 11 – September 19, 2002","Neil Young, L.A. Johnson",,
Grandpa's Interview,Greendale,"August 19, 2003","July 11 – September 19, 2002","Neil Young, L.A. Johnson",,
Bringin' Down Dinner,Greendale,"August 19, 2003","July 11 – September 19, 2002","Neil Young, L.A. Johnson",,
Sun Green,Greendale,"August 19, 2003","July 11 – September 19, 2002","Neil Young, L.A. Johnson",,
Be the Rain,Greendale,"August 19, 2003","July 11 – September 19, 2002","Neil Young, L.A. Johnson",,
The Painter,Prairie Wind,"September 27, 2005","March 19 – June 29, 2005","Neil Young, Ben Keith",,
No Wonder,Prairie Wind,"September 27, 2005","March 19 – June 29, 2005","Neil Young, Ben Keith",,
Falling Off the Face of the Earth,Prairie Wind,"September 27, 2005","March 19 – June 29, 2005","Neil Young, Ben Keith",,
Far From Home,Prairie Wind,"September 27, 2005","March 19 – June 29, 2005","Neil Young, Ben Keith",,
It's a Dream,Prairie Wind,"September 27, 2005","March 19 – June 29, 2005","Neil Young, Ben Keith",,
Prairie Wind,Prairie Wind,"September 27, 2005","March 19 – June 29, 2005","Neil Young, Ben Keith",,
Here for You,Prairie Wind,"September 27, 2005","March 19 – June 29, 2005","Neil Young, Ben Keith",,
This Old Guitar,Prairie Wind,"September 27, 2005","March 19 – June 29, 2005","Neil Young, Ben Keith",,
He Was the King,Prairie Wind,"September 27, 2005","March 19 – June 29, 2005","Neil Young, Ben Keith",,
When God Made Me,Prairie Wind,"September 27, 2005","March 19 – June 29, 2005","Neil Young, Ben Keith",,
After the Garden,Living with War,"May 2, 2006[1]","March 29 – April 6, 2006","Niko Bolas, L.A. Johnson",,
Living with War,Living with War,"May 2, 2006[1]","March 29 – April 6, 2006","Niko Bolas, L.A. Johnson",,
The Restless Consumer,Living with War,"May 2, 2006[1]","March 29 – April 6, 2006","Niko Bolas, L.A. Johnson",,
Shock and Awe,Living with War,"May 2, 2006[1]","March 29 – April 6, 2006","Niko Bolas, L.A. Johnson",,
Families,Living with War,"May 2, 2006[1]","March 29 – April 6, 2006","Niko Bolas, L.A. Johnson",,
Flags of Freedom,Living with War,"May 2, 2006[1]","March 29 – April 6, 2006","Niko Bolas, L.A. Johnson",,
Let's Impeach the President,Living with War,"May 2, 2006[1]","March 29 – April 6, 2006","Niko Bolas, L.A. Johnson",,
Lookin' for a Leader,Living with War,"May 2, 2006[1]","March 29 – April 6, 2006","Niko Bolas, L.A. Johnson",,
Roger and Out,Living with War,"May 2, 2006[1]","March 29 – April 6, 2006","Niko Bolas, L.A. Johnson",,
Beautiful Bluebird,Chrome Dreams II,"October 23, 2007","May 31 – July 6, 2007(except ""Ordinary People"" – July 26, 1988)",Niko Bolas,,
Boxcar,Chrome Dreams II,"October 23, 2007","May 31 – July 6, 2007(except ""Ordinary People"" – July 26, 1988)",Niko Bolas,,
Ordinary People,Chrome Dreams II,"October 23, 2007","May 31 – July 6, 2007(except ""Ordinary People"" – July 26, 1988)",Niko Bolas,,
Shining Light,Chrome Dreams II,"October 23, 2007","May 31 – July 6, 2007(except ""Ordinary People"" – July 26, 1988)",Niko Bolas,,
The Believer,Chrome Dreams II,"October 23, 2007","May 31 – July 6, 2007(except ""Ordinary People"" – July 26, 1988)",Niko Bolas,,
Spirit Road,Chrome Dreams II,"October 23, 2007","May 31 – July 6, 2007(except ""Ordinary People"" – July 26, 1988)",Niko Bolas,,
Dirty Old Man,Chrome Dreams II,"October 23, 2007","May 31 – July 6, 2007(except ""Ordinary People"" – July 26, 1988)",Niko Bolas,,
Ever After,Chrome Dreams II,"October 23, 2007","May 31 – July 6, 2007(except ""Ordinary People"" – July 26, 1988)",Niko Bolas,,
No Hidden Path,Chrome Dreams II,"October 23, 2007","May 31 – July 6, 2007(except ""Ordinary People"" – July 26, 1988)",Niko Bolas,,
When Worlds Collide,Fork in the Road,"April 7, 2009(2009-04-07)","December 19 – 21, 2008(except ""When Worlds Collide"": August 30, 2008)",Niko Bolas,,
Fuel Line,Fork in the Road,"April 7, 2009(2009-04-07)","December 19 – 21, 2008(except ""When Worlds Collide"": August 30, 2008)",Niko Bolas,,
Just Singing a Song,Fork in the Road,"April 7, 2009(2009-04-07)","December 19 – 21, 2008(except ""When Worlds Collide"": August 30, 2008)",Niko Bolas,,
Johnny Magic,Fork in the Road,"April 7, 2009(2009-04-07)","December 19 – 21, 2008(except ""When Worlds Collide"": August 30, 2008)",Niko Bolas,,
Cough Up the Bucks,Fork in the Road,"April 7, 2009(2009-04-07)","December 19 – 21, 2008(except ""When Worlds Collide"": August 30, 2008)",Niko Bolas,,
Get Behind the Wheel,Fork in the Road,"April 7, 2009(2009-04-07)","December 19 – 21, 2008(except ""When Worlds Collide"": August 30, 2008)",Niko Bolas,,
Off the Road,Fork in the Road,"April 7, 2009(2009-04-07)","December 19 – 21, 2008(except ""When Worlds Collide"": August 30, 2008)",Niko Bolas,,
Hit the Road,Fork in the Road,"April 7, 2009(2009-04-07)","December 19 – 21, 2008(except ""When Worlds Collide"": August 30, 2008)",Niko Bolas,,
Light a Candle,Fork in the Road,"April 7, 2009(2009-04-07)","December 19 – 21, 2008(except ""When Worlds Collide"": August 30, 2008)",Niko Bolas,,
Walk with Me,Le Noise,"September 28, 2010(2010-09-28)","March 28 – May 28, 2010July 9, 2010",Daniel Lanois,,
Sign of Love,Le Noise,"September 28, 2010(2010-09-28)","March 28 – May 28, 2010July 9, 2010",Daniel Lanois,,
Someone's Gonna Rescue You,Le Noise,"September 28, 2010(2010-09-28)","March 28 – May 28, 2010July 9, 2010",Daniel Lanois,,
Love and War,Le Noise,"September 28, 2010(2010-09-28)","March 28 – May 28, 2010July 9, 2010",Daniel Lanois,,
Angry World,Le Noise,"September 28, 2010(2010-09-28)","March 28 – May 28, 2010July 9, 2010",Daniel Lanois,,
Hitchhiker,Le Noise,"September 28, 2010(2010-09-28)","March 28 – May 28, 2010July 9, 2010",Daniel Lanois,,
Peaceful Valley Boulevard,Le Noise,"September 28, 2010(2010-09-28)","March 28 – May 28, 2010July 9, 2010",Daniel Lanois,,
Oh Susannah,Americana,"June 5, 2012","October 10 – 12, 2011November 4 – 5, 2011","Neil Young, John Hanlon",Stephen Collins Foster; arrangement:Tim Rose,
Clementine,Americana,"June 5, 2012","October 10 – 12, 2011November 4 – 5, 2011","Neil Young, John Hanlon",Traditional; arrangement: Young,
Tom Dula,Americana,"June 5, 2012","October 10 – 12, 2011November 4 – 5, 2011","Neil Young, John Hanlon",Traditional; arrangement: Young,
Gallows Pole,Americana,"June 5, 2012","October 10 – 12, 2011November 4 – 5, 2011","Neil Young, John Hanlon",Traditional; arrangement:Odetta Felious Gordon,
Get a Job,Americana,"June 5, 2012","October 10 – 12, 2011November 4 – 5, 2011","Neil Young, John Hanlon","Richard Lewis, Earl Beal, Raymond Edwards, William Horton",
Travel On,Americana,"June 5, 2012","October 10 – 12, 2011November 4 – 5, 2011","Neil Young, John Hanlon","Traditional; arrangement:Paul Clayton, Larry Ehrlich, David Lazar, Tom Six",
High Flyin' Bird,Americana,"June 5, 2012","October 10 – 12, 2011November 4 – 5, 2011","Neil Young, John Hanlon",Billy Edd Wheeler,
Jesus' Chariot (She'll Be Coming Round the Mountain),Americana,"June 5, 2012","October 10 – 12, 2011November 4 – 5, 2011","Neil Young, John Hanlon",Traditional; arrangement: Young,
This Land Is Your Land,Americana,"June 5, 2012","October 10 – 12, 2011November 4 – 5, 2011","Neil Young, John Hanlon",Woody Guthrie,
Wayfarin' Stranger,Americana,"June 5, 2012","October 10 – 12, 2011November 4 – 5, 2011","Neil Young, John Hanlon",Traditional; arrangement:Burl Ives,
Driftin' Back,Psychedelic Pill,"October 30, 2012","January 6 – March 7, 2012","Neil Young, John Hanlon",,
Psychedelic Pill,Psychedelic Pill,"October 30, 2012","January 6 – March 7, 2012","Neil Young, John Hanlon",,
Ramada Inn,Psychedelic Pill,"October 30, 2012","January 6 – March 7, 2012","Neil Young, John Hanlon",,
Born in Ontario,Psychedelic Pill,"October 30, 2012","January 6 – March 7, 2012","Neil Young, John Hanlon",,
Twisted Road,Psychedelic Pill,"October 30, 2012","January 6 – March 7, 2012","Neil Young, John Hanlon",,
She's Always Dancing,Psychedelic Pill,"October 30, 2012","January 6 – March 7, 2012","Neil Young, John Hanlon",,
For the Love of Man,Psychedelic Pill,"October 30, 2012","January 6 – March 7, 2012","Neil Young, John Hanlon",,
Walk Like a Giant,Psychedelic Pill,"October 30, 2012","January 6 – March 7, 2012","Neil Young, John Hanlon",,
Psychedelic Pill (alternate mix),Psychedelic Pill,"October 30, 2012","January 6 – March 7, 2012","Neil Young, John Hanlon",,
Driftin' Back (Part 2),Psychedelic Pill,"October 30, 2012","January 6 – March 7, 2012","Neil Young, John Hanlon",,
Psychedelic Pill,Psychedelic Pill,"October 30, 2012","January 6 – March 7, 2012","Neil Young, John Hanlon",,
Born in Ontario,Psychedelic Pill,"October 30, 2012","January 6 – March 7, 2012","Neil Young, John Hanlon",,
Twisted Road,Psychedelic Pill,"October 30, 2012","January 6 – March 7, 2012","Neil Young, John Hanlon",,
She's Always Dancing,Psychedelic Pill,"October 30, 2012","January 6 – March 7, 2012","Neil Young, John Hanlon",,
Driftin' Back,Psychedelic Pill,"October 30, 2012","January 6 – March 7, 2012","Neil Young, John Hanlon",,
Psychedelic Pill,Psychedelic Pill,"October 30, 2012","January 6 – March 7, 2012","Neil Young, John Hanlon",,
Ramada Inn,Psychedelic Pill,"October 30, 2012","January 6 – March 7, 2012","Neil Young, John Hanlon",,
Born in Ontario,Psychedelic Pill,"October 30, 2012","January 6 – March 7, 2012","Neil Young, John Hanlon",,
Twisted Road,Psychedelic Pill,"October 30, 2012","January 6 – March 7, 2012","Neil Young, John Hanlon",,
She's Always Dancing,Psychedelic Pill,"October 30, 2012","January 6 – March 7, 2012","Neil Young, John Hanlon",,
For the Love of Man,Psychedelic Pill,"October 30, 2012","January 6 – March 7, 2012","Neil Young, John Hanlon",,
Walk Like a Giant,Psychedelic Pill,"October 30, 2012","January 6 – March 7, 2012","Neil Young, John Hanlon",,
Horse Back,Psychedelic Pill,"October 30, 2012","January 6 – March 7, 2012","Neil Young, John Hanlon",,
Psychedelic Pill (alternate mix 1),Psychedelic Pill,"October 30, 2012","January 6 – March 7, 2012","Neil Young, John Hanlon",,
A Letter Home Intro,A Letter Home,"April 19, 2014","September 16, 2013","Jack White III, Neil Young",,
