track,album,release_date,recording_period,producers,writers,vocals
Albert's Shuffle,Super Session,"July 22, 1968(1968-07-22)",May 1968,Al Kooper,"Al Kooper, Mike Bloomfield",
Stop,Super Session,"July 22, 1968(1968-07-22)",May 1968,Al Kooper,"Jerry Ragovoy, Mort Shuman",
Man's Temptation,Super Session,"July 22, 1968(1968-07-22)",May 1968,Al Kooper,Curtis Mayfield,
His Holy Modal Majesty,Super Session,"July 22, 1968(1968-07-22)",May 1968,Al Kooper,"Kooper, Bloomfield",
"It Takes a Lot to Laugh, It Takes a Train to Cry",Super Session,"July 22, 1968(1968-07-22)",May 1968,Al Kooper,Bob Dylan,
Season of the Witch,Super Session,"July 22, 1968(1968-07-22)",May 1968,Al Kooper,Donovan Leitch,
You Don't Love Me,Super Session,"July 22, 1968(1968-07-22)",May 1968,Al Kooper,Willie Cobbs,
Harvey's Tune,Super Session,"July 22, 1968(1968-07-22)",May 1968,Al Kooper,Harvey Brooks,
Albert's Shuffle (2002 remix without horns),Super Session,"July 22, 1968(1968-07-22)",May 1968,Al Kooper,"Kooper, Bloomfield",
Season of the Witch (2002 remix without horns),Super Session,"July 22, 1968(1968-07-22)",May 1968,Al Kooper,Donovan Leitch,
Blues for Nothing (outtake),Super Session,"July 22, 1968(1968-07-22)",May 1968,Al Kooper,Kooper,
Love the One You're With,Stephen Stills,"November 16, 1970","January, June–July 1970","Stephen Stills, Bill Halverson",,
Do for the Others,Stephen Stills,"November 16, 1970","January, June–July 1970","Stephen Stills, Bill Halverson",,
Church (Part of Someone),Stephen Stills,"November 16, 1970","January, June–July 1970","Stephen Stills, Bill Halverson",,
Old Times Good Times,Stephen Stills,"November 16, 1970","January, June–July 1970","Stephen Stills, Bill Halverson",,
Sit Yourself Down,Stephen Stills,"November 16, 1970","January, June–July 1970","Stephen Stills, Bill Halverson",,
To a Flame,Stephen Stills,"November 16, 1970","January, June–July 1970","Stephen Stills, Bill Halverson",,
Black Queen,Stephen Stills,"November 16, 1970","January, June–July 1970","Stephen Stills, Bill Halverson",,
Cherokee,Stephen Stills,"November 16, 1970","January, June–July 1970","Stephen Stills, Bill Halverson",,
We Are Not Helpless,Stephen Stills,"November 16, 1970","January, June–July 1970","Stephen Stills, Bill Halverson",,
Change Partners,Stephen Stills 2,"June 30, 1971(1971-06-30)",February–May 1971,Bill Halverson,,
Nothin' to Do but Today,Stephen Stills 2,"June 30, 1971(1971-06-30)",February–May 1971,Bill Halverson,,
Fishes and Scorpions,Stephen Stills 2,"June 30, 1971(1971-06-30)",February–May 1971,Bill Halverson,,
Sugar Babe,Stephen Stills 2,"June 30, 1971(1971-06-30)",February–May 1971,Bill Halverson,,
Know You Got to Run,Stephen Stills 2,"June 30, 1971(1971-06-30)",February–May 1971,Bill Halverson,,
Relaxing Town,Stephen Stills 2,"June 30, 1971(1971-06-30)",February–May 1971,Bill Halverson,,
Singin' Call,Stephen Stills 2,"June 30, 1971(1971-06-30)",February–May 1971,Bill Halverson,,
Ecology Song,Stephen Stills 2,"June 30, 1971(1971-06-30)",February–May 1971,Bill Halverson,,
Word Game,Stephen Stills 2,"June 30, 1971(1971-06-30)",February–May 1971,Bill Halverson,,
Marianne,Stephen Stills 2,"June 30, 1971(1971-06-30)",February–May 1971,Bill Halverson,,
Bluebird Revisited,Stephen Stills 2,"June 30, 1971(1971-06-30)",February–May 1971,Bill Halverson,,
Song of Love,Manassas,"April 12, 1972",Late 1971,"Stephen Stills, Chris Hillman, Dallas Taylor",,
MedleyRock & Roll CraziesCuban Bluegrass,Manassas,"April 12, 1972",Late 1971,"Stephen Stills, Chris Hillman, Dallas Taylor","Stills,Dallas Taylor, Stills,Joe Lala",
Jet Set (Sigh),Manassas,"April 12, 1972",Late 1971,"Stephen Stills, Chris Hillman, Dallas Taylor",,
Anyway,Manassas,"April 12, 1972",Late 1971,"Stephen Stills, Chris Hillman, Dallas Taylor",,
Both of Us (Bound to Lose),Manassas,"April 12, 1972",Late 1971,"Stephen Stills, Chris Hillman, Dallas Taylor","Stills, Chris Hillman",
Fallen Eagle,Manassas,"April 12, 1972",Late 1971,"Stephen Stills, Chris Hillman, Dallas Taylor",,
Jesus Gave Love Away for Free,Manassas,"April 12, 1972",Late 1971,"Stephen Stills, Chris Hillman, Dallas Taylor",,
Colorado,Manassas,"April 12, 1972",Late 1971,"Stephen Stills, Chris Hillman, Dallas Taylor",,
So Begins the Task,Manassas,"April 12, 1972",Late 1971,"Stephen Stills, Chris Hillman, Dallas Taylor",,
Hide It So Deep,Manassas,"April 12, 1972",Late 1971,"Stephen Stills, Chris Hillman, Dallas Taylor",,
Don't Look at My Shadow,Manassas,"April 12, 1972",Late 1971,"Stephen Stills, Chris Hillman, Dallas Taylor",,
It Doesn't Matter (original releases ofManassasdo not credit Roberts as a co-author),Manassas,"April 12, 1972",Late 1971,"Stephen Stills, Chris Hillman, Dallas Taylor","Stills, Hillman, Rick Roberts",
Johnny's Garden,Manassas,"April 12, 1972",Late 1971,"Stephen Stills, Chris Hillman, Dallas Taylor",,
Bound to Fall (original releases ofManassasdo not credit Mastin as a co-author),Manassas,"April 12, 1972",Late 1971,"Stephen Stills, Chris Hillman, Dallas Taylor","Mike Brewer, Tom Mastin",
How Far,Manassas,"April 12, 1972",Late 1971,"Stephen Stills, Chris Hillman, Dallas Taylor",,
Move Around,Manassas,"April 12, 1972",Late 1971,"Stephen Stills, Chris Hillman, Dallas Taylor",,
The Love Gangster,Manassas,"April 12, 1972",Late 1971,"Stephen Stills, Chris Hillman, Dallas Taylor","Stills, Bill Wyman",
What to Do,Manassas,"April 12, 1972",Late 1971,"Stephen Stills, Chris Hillman, Dallas Taylor",,
Right Now,Manassas,"April 12, 1972",Late 1971,"Stephen Stills, Chris Hillman, Dallas Taylor",,
The Treasure (Take One),Manassas,"April 12, 1972",Late 1971,"Stephen Stills, Chris Hillman, Dallas Taylor",,
"Blues Man (in tribute:Jimi Hendrix,Al Wilson,Duane Allman)",Manassas,"April 12, 1972",Late 1971,"Stephen Stills, Chris Hillman, Dallas Taylor",,
Isn't It About Time,Down the Road,"April 23, 1973","September 1972, January 1973","Stephen Stills, Chris Hillman, Dallas Taylor",,
Lies,Down the Road,"April 23, 1973","September 1972, January 1973","Stephen Stills, Chris Hillman, Dallas Taylor",Chris Hillman,
Pensamiento,Down the Road,"April 23, 1973","September 1972, January 1973","Stephen Stills, Chris Hillman, Dallas Taylor","Stephen Stills, Nelson Escoto",
So Many Times,Down the Road,"April 23, 1973","September 1972, January 1973","Stephen Stills, Chris Hillman, Dallas Taylor","Chris Hillman, Stephen Stills",
Do You Remember the Americans,Down the Road,"April 23, 1973","September 1972, January 1973","Stephen Stills, Chris Hillman, Dallas Taylor",,
Down the Road,Down the Road,"April 23, 1973","September 1972, January 1973","Stephen Stills, Chris Hillman, Dallas Taylor",,
City Junkies,Down the Road,"April 23, 1973","September 1972, January 1973","Stephen Stills, Chris Hillman, Dallas Taylor",,
Guaguancó de Veró,Down the Road,"April 23, 1973","September 1972, January 1973","Stephen Stills, Chris Hillman, Dallas Taylor","Stephen Stills, Joe Lala",
Rollin' My Stone,Down the Road,"April 23, 1973","September 1972, January 1973","Stephen Stills, Chris Hillman, Dallas Taylor","Stephen Stills, Calvin Samuel",
Turn Back the Pages,Stills,"June 23, 1975","1971, 1973–1975","Bill Halverson, The Albert Brothers","Donnie Dacus, Stills",
