track,album,release_date,recording_period,producers,writers,vocals
Southbound Train,Graham Nash David Crosby,1972-05-04,1972,Bill Halverson,Graham Nash,Crosby & Nash
Whole Cloth,Graham Nash David Crosby,1972-05-04,1972,Bill Halverson,David Crosby,Crosby & Nash
Blacknotes,Graham Nash David Crosby,1972-05-04,1972,Bill Halverson,Nash,Crosby & Nash
Stranger's Room,Graham Nash David Crosby,1972-05-04,1972,Bill Halverson,Nash,Crosby & Nash
Where Will I Be?,Graham Nash David Crosby,1972-05-04,1972,Bill Halverson,Crosby,Crosby & Nash
Frozen Smiles,Graham Nash David Crosby,1972-05-04,1972,Bill Halverson,Nash,Crosby & Nash
Games,Graham Nash David Crosby,1972-05-04,1972,Bill Halverson,Crosby,Crosby & Nash
Girl to Be on My Mind,Graham Nash David Crosby,1972-05-04,1972,Bill Halverson,Nash,Crosby & Nash
The Wall Song,Graham Nash David Crosby,1972-05-04,1972,Bill Halverson,Crosby,Crosby & Nash
Spotlight,Whistling Down the Wire,1976-25-06,,"David Crosby, Graham Nash, Stephen Barncard","Graham Nash, Danny Kortchmar",Crosby & Nash
Broken Bird,Whistling Down the Wire,1976-25-06,,"David Crosby, Graham Nash, Stephen Barncard","David Crosby, Nash",Crosby & Nash
Time After Time,Whistling Down the Wire,1976-25-06,,"David Crosby, Graham Nash, Stephen Barncard",Crosby,Crosby & Nash
Dancer (instrumental),Whistling Down the Wire,1976-25-06,,"David Crosby, Graham Nash, Stephen Barncard",Crosby,Crosby & Nash
J.B.'s Blues,Whistling Down the Wire,1976-25-06,,"David Crosby, Graham Nash, Stephen Barncard",Nash,Crosby & Nash
Marguerita,Whistling Down the Wire,1976-25-06,,"David Crosby, Graham Nash, Stephen Barncard",Nash,Crosby & Nash
Taken at All,Whistling Down the Wire,1976-25-06,,"David Crosby, Graham Nash, Stephen Barncard","Crosby, Nash",Crosby & Nash
Foolish Man,Whistling Down the Wire,1976-25-06,,"David Crosby, Graham Nash, Stephen Barncard",Crosby,Crosby & Nash
Lay Me Down,Crosby & Nash,2004-10-08,January–February 2004,"David Crosby, Russell Kunkel, Graham Nash",James Raymond,Crosby & Nash
Puppeteer,Crosby & Nash,2004-10-08,January–February 2004,"David Crosby, Russell Kunkel, Graham Nash",Raymond,Crosby & Nash
Through Here Quite Often,Crosby & Nash,2004-10-08,January–February 2004,"David Crosby, Russell Kunkel, Graham Nash","David Crosby, Dean Parks",Crosby & Nash
Grace,Crosby & Nash,2004-10-08,January–February 2004,"David Crosby, Russell Kunkel, Graham Nash",Raymond,Crosby & Nash
