track,album,release_date,recording_period,producers,writers,vocals
Suite: Judy Blue Eyes,"Crosby, Stills & Nash",1969-29-05,February–March 1969,"Crosby, Stills & Nash",Stephen Stills,Stills
Marrakesh Express,"Crosby, Stills & Nash",1969-29-05,February–March 1969,"Crosby, Stills & Nash",Graham Nash,Nash
Guinnevere,"Crosby, Stills & Nash",1969-29-05,February–March 1969,"Crosby, Stills & Nash",David Crosby,"Crosby, Nash"
You Don't Have to Cry,"Crosby, Stills & Nash",1969-29-05,February–March 1969,"Crosby, Stills & Nash",Stills,"Stills, Crosby & Nash"
Pre-Road Downs,"Crosby, Stills & Nash",1969-29-05,February–March 1969,"Crosby, Stills & Nash",Nash,Nash
Wooden Ships,"Crosby, Stills & Nash",1969-29-05,February–March 1969,"Crosby, Stills & Nash","Crosby, Paul Kantner, Stills","Crosby, Stills"
Lady of the Island,"Crosby, Stills & Nash",1969-29-05,February–March 1969,"Crosby, Stills & Nash",Nash,Nash
Helplessly Hoping,"Crosby, Stills & Nash",1969-29-05,February–March 1969,"Crosby, Stills & Nash",Stills,"Stills, Crosby & Nash"
Long Time Gone,"Crosby, Stills & Nash",1969-29-05,February–March 1969,"Crosby, Stills & Nash",Crosby,"Crosby, Stills"
49 Bye-Byes,"Crosby, Stills & Nash",1969-29-05,February–March 1969,"Crosby, Stills & Nash",Stills,Stills
Do for the Others (demo),"Crosby, Stills & Nash",1969-29-05,February–March 1969,"Crosby, Stills & Nash",Stills,Stills and Nash
Song with No Words (Tree with No Leaves),"Crosby, Stills & Nash",1969-29-05,February–March 1969,"Crosby, Stills & Nash",Crosby,Crosby and Nash
Everybody's Talkin',"Crosby, Stills & Nash",1969-29-05,February–March 1969,"Crosby, Stills & Nash",Fred Neil,"Stills, Crosby and Nash"
Teach Your Children (demo),"Crosby, Stills & Nash",1969-29-05,February–March 1969,"Crosby, Stills & Nash",Nash,Nash and Crosby
Carry On,Déjà Vu,1970-11-03,July 1969 – January 1970,"Crosby, Stills, Nash & Young",Stephen Stills,Stills
Teach Your Children,Déjà Vu,1970-11-03,July 1969 – January 1970,"Crosby, Stills, Nash & Young",Graham Nash,Nash
Almost Cut My Hair,Déjà Vu,1970-11-03,July 1969 – January 1970,"Crosby, Stills, Nash & Young",David Crosby,Crosby
Helpless,Déjà Vu,1970-11-03,July 1969 – January 1970,"Crosby, Stills, Nash & Young",Neil Young,Young
Déjà Vu,Déjà Vu,1970-11-03,July 1969 – January 1970,"Crosby, Stills, Nash & Young",Crosby,Crosby
Our House,Déjà Vu,1970-11-03,July 1969 – January 1970,"Crosby, Stills, Nash & Young",Nash,Nash
4 + 20,Déjà Vu,1970-11-03,July 1969 – January 1970,"Crosby, Stills, Nash & Young",Stills,Stills
"Country Girla. Whiskey Boot Hillb. Down, Down, Downc. Country Girl (I Think You’re Pretty)",Déjà Vu,1970-11-03,July 1969 – January 1970,"Crosby, Stills, Nash & Young",Young,"Young, Crosby, Stills & Nash"
Everybody I Love You,Déjà Vu,1970-11-03,July 1969 – January 1970,"Crosby, Stills, Nash & Young",Stills,"Stills, Crosby & Nash"
Song With No Words (Tree With No Leaves),Déjà Vu,1970-11-03,July 1969 – January 1970,"Crosby, Stills, Nash & Young","Crosby, Nash",
Birds,Déjà Vu,1970-11-03,July 1969 – January 1970,"Crosby, Stills, Nash & Young",Young,
So Begins the Task / Hold On Tight,Déjà Vu,1970-11-03,July 1969 – January 1970,"Crosby, Stills, Nash & Young",Stills,
Right Between the Eyes,Déjà Vu,1970-11-03,July 1969 – January 1970,"Crosby, Stills, Nash & Young",Nash,
How Have You Been,Déjà Vu,1970-11-03,July 1969 – January 1970,"Crosby, Stills, Nash & Young",John Sebastian,
Triad,Déjà Vu,1970-11-03,July 1969 – January 1970,"Crosby, Stills, Nash & Young",Crosby,
Horses Through a Rainstorm,Déjà Vu,1970-11-03,July 1969 – January 1970,"Crosby, Stills, Nash & Young",Nash,
Know You Got to Run,Déjà Vu,1970-11-03,July 1969 – January 1970,"Crosby, Stills, Nash & Young",Stills,
Question Why,Déjà Vu,1970-11-03,July 1969 – January 1970,"Crosby, Stills, Nash & Young",Nash,
Laughing,Déjà Vu,1970-11-03,July 1969 – January 1970,"Crosby, Stills, Nash & Young",Crosby,
She Can't Handle It,Déjà Vu,1970-11-03,July 1969 – January 1970,"Crosby, Stills, Nash & Young",Stills,
Sleep Song,Déjà Vu,1970-11-03,July 1969 – January 1970,"Crosby, Stills, Nash & Young",Nash,
Everyday We Live,Déjà Vu,1970-11-03,July 1969 – January 1970,"Crosby, Stills, Nash & Young",Stills,
The Lee Shore,Déjà Vu,1970-11-03,July 1969 – January 1970,"Crosby, Stills, Nash & Young",Crosby,
I'll Be There,Déjà Vu,1970-11-03,July 1969 – January 1970,"Crosby, Stills, Nash & Young",Stills,
Bluebird Revisted,Déjà Vu,1970-11-03,July 1969 – January 1970,"Crosby, Stills, Nash & Young",Stills,
30 Dollar Fine,Déjà Vu,1970-11-03,July 1969 – January 1970,"Crosby, Stills, Nash & Young",Stills,
Ivory Tower,Déjà Vu,1970-11-03,July 1969 – January 1970,"Crosby, Stills, Nash & Young",Stills,
Same Old Song,Déjà Vu,1970-11-03,July 1969 – January 1970,"Crosby, Stills, Nash & Young",Stills,
Hold On Tight / Change Partners,Déjà Vu,1970-11-03,July 1969 – January 1970,"Crosby, Stills, Nash & Young",Stills,
