track,album,release_date,recording_period,producers,writers,vocals
The Old Country Waltz,American Stars 'n Bars,1977-27-05,"December 13, 1974 – April 4, 1977","Neil Young, David Briggs, Elliot Mazer",Neil Young,Neil Young
Saddle Up the Palomino,American Stars 'n Bars,1977-27-05,"December 13, 1974 – April 4, 1977","Neil Young, David Briggs, Elliot Mazer",Neil Young,Neil Young
Hey Babe,American Stars 'n Bars,1977-27-05,"December 13, 1974 – April 4, 1977","Neil Young, David Briggs, Elliot Mazer",Neil Young,Neil Young
Hold Back the Tears,American Stars 'n Bars,1977-27-05,"December 13, 1974 – April 4, 1977","Neil Young, David Briggs, Elliot Mazer",Neil Young,Neil Young
Star of Bethlehem,American Stars 'n Bars,1977-27-05,"December 13, 1974 – April 4, 1977","Neil Young, David Briggs, Elliot Mazer",Neil Young,Neil Young
Will to Love,American Stars 'n Bars,1977-27-05,"December 13, 1974 – April 4, 1977","Neil Young, David Briggs, Elliot Mazer",Neil Young,Neil Young
Like a Hurricane,American Stars 'n Bars,1977-27-05,"December 13, 1974 – April 4, 1977","Neil Young, David Briggs, Elliot Mazer",Neil Young,Neil Young
Betty Lou's Got a New Pair of Shoes,Everybody's Rockin',1983-01-08,April – May 1983,"Elliot Mazer, Neil Young",Bobby Freeman,Neil Young
Rainin' in My Heart,Everybody's Rockin',1983-01-08,April – May 1983,"Elliot Mazer, Neil Young","Slim Harpo, Jerry West",Neil Young
Payola Blues,Everybody's Rockin',1983-01-08,April – May 1983,"Elliot Mazer, Neil Young","Ben Keith, Young",Neil Young
Wonderin',Everybody's Rockin',1983-01-08,April – May 1983,"Elliot Mazer, Neil Young",Neil Young,Neil Young
Jellyroll Man,Everybody's Rockin',1983-01-08,April – May 1983,"Elliot Mazer, Neil Young",Neil Young,Neil Young
"Bright Lights, Big City",Everybody's Rockin',1983-01-08,April – May 1983,"Elliot Mazer, Neil Young",Jimmy Reed,Neil Young
"Cry, Cry, Cry",Everybody's Rockin',1983-01-08,April – May 1983,"Elliot Mazer, Neil Young",Neil Young,Neil Young
Mystery Train,Everybody's Rockin',1983-01-08,April – May 1983,"Elliot Mazer, Neil Young","Junior Parker, Sam Phillips",Neil Young
Weight of the World,Landing on Water,1986-21-07,August 1983 – March 1986,"Neil Young, Danny Kortchmar",Neil Young,Neil Young
Violent Side,Landing on Water,1986-21-07,August 1983 – March 1986,"Neil Young, Danny Kortchmar",Neil Young,Neil Young
Hippie Dream,Landing on Water,1986-21-07,August 1983 – March 1986,"Neil Young, Danny Kortchmar",Neil Young,Neil Young
Bad News Beat,Landing on Water,1986-21-07,August 1983 – March 1986,"Neil Young, Danny Kortchmar",Neil Young,Neil Young
People on the Street,Landing on Water,1986-21-07,August 1983 – March 1986,"Neil Young, Danny Kortchmar",Neil Young,Neil Young
Hard Luck Stories,Landing on Water,1986-21-07,August 1983 – March 1986,"Neil Young, Danny Kortchmar",Neil Young,Neil Young
I Got a Problem,Landing on Water,1986-21-07,August 1983 – March 1986,"Neil Young, Danny Kortchmar",Neil Young,Neil Young
Pressure,Landing on Water,1986-21-07,August 1983 – March 1986,"Neil Young, Danny Kortchmar",Neil Young,Neil Young
Ten Men Workin',This Note's for You,1988-11-04,November 1987 – January 1988,Niko Bolas,Neil Young,Neil Young
This Note's for You,This Note's for You,1988-11-04,November 1987 – January 1988,Niko Bolas,Neil Young,Neil Young
Coupe de Ville,This Note's for You,1988-11-04,November 1987 – January 1988,Niko Bolas,Neil Young,Neil Young
Life in the City,This Note's for You,1988-11-04,November 1987 – January 1988,Niko Bolas,Neil Young,Neil Young
