track,album,release_date,recording_period,producers,writers,vocals
Albert's Shuffle,Super Session,1968-22-07,May 1968,Al Kooper,"Al Kooper, Mike Bloomfield",Stephen Stills
Stop,Super Session,1968-22-07,May 1968,Al Kooper,"Jerry Ragovoy, Mort Shuman",Stephen Stills
Man's Temptation,Super Session,1968-22-07,May 1968,Al Kooper,Curtis Mayfield,Stephen Stills
His Holy Modal Majesty,Super Session,1968-22-07,May 1968,Al Kooper,"Kooper, Bloomfield",Stephen Stills
"It Takes a Lot to Laugh, It Takes a Train to Cry",Super Session,1968-22-07,May 1968,Al Kooper,Bob Dylan,Stephen Stills
Season of the Witch,Super Session,1968-22-07,May 1968,Al Kooper,Donovan Leitch,Stephen Stills
You Don't Love Me,Super Session,1968-22-07,May 1968,Al Kooper,Willie Cobbs,Stephen Stills
Harvey's Tune,Super Session,1968-22-07,May 1968,Al Kooper,Harvey Brooks,Stephen Stills
Blues for Nothing (outtake),Super Session,1968-22-07,May 1968,Al Kooper,Kooper,Stephen Stills
Love the One You're With,Stephen Stills,1970-16-11,"January, June–July 1970","Stephen Stills, Bill Halverson",Stephen Stills,Stephen Stills
Do for the Others,Stephen Stills,1970-16-11,"January, June–July 1970","Stephen Stills, Bill Halverson",Stephen Stills,Stephen Stills
Church (Part of Someone),Stephen Stills,1970-16-11,"January, June–July 1970","Stephen Stills, Bill Halverson",Stephen Stills,Stephen Stills
Old Times Good Times,Stephen Stills,1970-16-11,"January, June–July 1970","Stephen Stills, Bill Halverson",Stephen Stills,Stephen Stills
Sit Yourself Down,Stephen Stills,1970-16-11,"January, June–July 1970","Stephen Stills, Bill Halverson",Stephen Stills,Stephen Stills
To a Flame,Stephen Stills,1970-16-11,"January, June–July 1970","Stephen Stills, Bill Halverson",Stephen Stills,Stephen Stills
Cherokee,Stephen Stills,1970-16-11,"January, June–July 1970","Stephen Stills, Bill Halverson",Stephen Stills,Stephen Stills
We Are Not Helpless,Stephen Stills,1970-16-11,"January, June–July 1970","Stephen Stills, Bill Halverson",Stephen Stills,Stephen Stills
Nothin' to Do but Today,Stephen Stills 2,1971-30-06,February–May 1971,Bill Halverson,Stephen Stills,Stephen Stills
Fishes and Scorpions,Stephen Stills 2,1971-30-06,February–May 1971,Bill Halverson,Stephen Stills,Stephen Stills
Sugar Babe,Stephen Stills 2,1971-30-06,February–May 1971,Bill Halverson,Stephen Stills,Stephen Stills
Know You Got to Run,Stephen Stills 2,1971-30-06,February–May 1971,Bill Halverson,Stephen Stills,Stephen Stills
Relaxing Town,Stephen Stills 2,1971-30-06,February–May 1971,Bill Halverson,Stephen Stills,Stephen Stills
Singin' Call,Stephen Stills 2,1971-30-06,February–May 1971,Bill Halverson,Stephen Stills,Stephen Stills
Ecology Song,Stephen Stills 2,1971-30-06,February–May 1971,Bill Halverson,Stephen Stills,Stephen Stills
Word Game,Stephen Stills 2,1971-30-06,February–May 1971,Bill Halverson,Stephen Stills,Stephen Stills
Marianne,Stephen Stills 2,1971-30-06,February–May 1971,Bill Halverson,Stephen Stills,Stephen Stills
Bluebird Revisited,Stephen Stills 2,1971-30-06,February–May 1971,Bill Halverson,Stephen Stills,Stephen Stills
Turn Back the Pages,Stills,1975-23-06,"1971, 1973–1975","Bill Halverson, The Albert Brothers","Donnie Dacus, Stills",Stephen Stills
My Favorite Changes,Stills,1975-23-06,"1971, 1973–1975","Bill Halverson, The Albert Brothers",Stephen Stills,Stephen Stills
My Angel,Stills,1975-23-06,"1971, 1973–1975","Bill Halverson, The Albert Brothers","Stills, Dallas Taylor",Stephen Stills
In the Way,Stills,1975-23-06,"1971, 1973–1975","Bill Halverson, The Albert Brothers",Stephen Stills,Stephen Stills
Love Story,Stills,1975-23-06,"1971, 1973–1975","Bill Halverson, The Albert Brothers",Stephen Stills,Stephen Stills
First Things First,Stills,1975-23-06,"1971, 1973–1975","Bill Halverson, The Albert Brothers","Joe Schermie, Jon Smith, Stills",Stephen Stills
New Mama,Stills,1975-23-06,"1971, 1973–1975","Bill Halverson, The Albert Brothers",Neil Young,Stephen Stills
As I Come of Age,Stills,1975-23-06,"1971, 1973–1975","Bill Halverson, The Albert Brothers",Stephen Stills,Stephen Stills
