track,album,release_date,recording_period,producers,writers,vocals
Drive My Car,Oh Yes I Can,1989-23-01,June–October 1988,"David Crosby, Craig Doerge",Crosby,
Melody,Oh Yes I Can,1989-23-01,June–October 1988,"David Crosby, Craig Doerge","Crosby, Craig Doerge",
Monkey and the Underdog,Oh Yes I Can,1989-23-01,June–October 1988,"David Crosby, Craig Doerge","Crosby, Doerge",
In the Wide Ruin,Oh Yes I Can,1989-23-01,June–October 1988,"David Crosby, Craig Doerge","Doerge, Henske",
Tracks in the Dust,Oh Yes I Can,1989-23-01,June–October 1988,"David Crosby, Craig Doerge",Crosby,
Drop Down Mama,Oh Yes I Can,1989-23-01,June–October 1988,"David Crosby, Craig Doerge",Crosby,
Lady of the Harbor,Oh Yes I Can,1989-23-01,June–October 1988,"David Crosby, Craig Doerge","Crosby, Doerge",
Distances,Oh Yes I Can,1989-23-01,June–October 1988,"David Crosby, Craig Doerge",Crosby,
Flying Man,Oh Yes I Can,1989-23-01,June–October 1988,"David Crosby, Craig Doerge","Crosby, Doerge",
Oh Yes I Can,Oh Yes I Can,1989-23-01,June–October 1988,"David Crosby, Craig Doerge",Crosby,
Hero,Thousand Roads,1993-04-05,July 1992–January 1993,"Phil Collins, Don Was, Dean Parks, David Crosby, Glyn Johns, Stephen Barncard, Phil Ramone","Phil Collins, David Crosby",
Too Young to Die,Thousand Roads,1993-04-05,July 1992–January 1993,"Phil Collins, Don Was, Dean Parks, David Crosby, Glyn Johns, Stephen Barncard, Phil Ramone",Jimmy Webb,
Old Soldier,Thousand Roads,1993-04-05,July 1992–January 1993,"Phil Collins, Don Was, Dean Parks, David Crosby, Glyn Johns, Stephen Barncard, Phil Ramone",Marc Cohn,
Through Your Hands,Thousand Roads,1993-04-05,July 1992–January 1993,"Phil Collins, Don Was, Dean Parks, David Crosby, Glyn Johns, Stephen Barncard, Phil Ramone",John Hiatt,
Yvette in English,Thousand Roads,1993-04-05,July 1992–January 1993,"Phil Collins, Don Was, Dean Parks, David Crosby, Glyn Johns, Stephen Barncard, Phil Ramone","Joni Mitchell, David Crosby",
Thousand Roads,Thousand Roads,1993-04-05,July 1992–January 1993,"Phil Collins, Don Was, Dean Parks, David Crosby, Glyn Johns, Stephen Barncard, Phil Ramone",David Crosby,
Columbus,Thousand Roads,1993-04-05,July 1992–January 1993,"Phil Collins, Don Was, Dean Parks, David Crosby, Glyn Johns, Stephen Barncard, Phil Ramone",Noel Brazil,
Helpless Heart,Thousand Roads,1993-04-05,July 1992–January 1993,"Phil Collins, Don Was, Dean Parks, David Crosby, Glyn Johns, Stephen Barncard, Phil Ramone",Paul Brady,
Coverage,Thousand Roads,1993-04-05,July 1992–January 1993,"Phil Collins, Don Was, Dean Parks, David Crosby, Glyn Johns, Stephen Barncard, Phil Ramone",Bonnie Hayes,
What's Broken,Croz,2014-28-01,October 2011–October 2013,Daniel GarciaDavid CrosbyJames Raymond,James Raymond,
Time I Have,Croz,2014-28-01,October 2011–October 2013,Daniel GarciaDavid CrosbyJames Raymond,David Crosby,
Holding On to Nothing,Croz,2014-28-01,October 2011–October 2013,Daniel GarciaDavid CrosbyJames Raymond,"David Crosby, Sterling Price",
The Clearing,Croz,2014-28-01,October 2011–October 2013,Daniel GarciaDavid CrosbyJames Raymond,James Raymond,
Radio,Croz,2014-28-01,October 2011–October 2013,Daniel GarciaDavid CrosbyJames Raymond,"David Crosby, James Raymond",
Slice of Time,Croz,2014-28-01,October 2011–October 2013,Daniel GarciaDavid CrosbyJames Raymond,"David Crosby, Marcus Eaton, James Raymond",
Set That Baggage Down,Croz,2014-28-01,October 2011–October 2013,Daniel GarciaDavid CrosbyJames Raymond,"David Crosby, Shane Fontayne",
If She Called,Croz,2014-28-01,October 2011–October 2013,Daniel GarciaDavid CrosbyJames Raymond,David Crosby,
Dangerous Night,Croz,2014-28-01,October 2011–October 2013,Daniel GarciaDavid CrosbyJames Raymond,"David Crosby, James Raymond",
Morning Falling,Croz,2014-28-01,October 2011–October 2013,Daniel GarciaDavid CrosbyJames Raymond,"David Crosby, James Raymond",
Things We Do for Love,Lighthouse,2016-21-10,February 2016,"Michael League, Fab Dupont","David Crosby, Michael League",
The Us Below,Lighthouse,2016-21-10,February 2016,"Michael League, Fab Dupont","David Crosby, Michael League, Marcus Eaton",
Drive Out to the Desert,Lighthouse,2016-21-10,February 2016,"Michael League, Fab Dupont",David Crosby,
Look in Their Eyes,Lighthouse,2016-21-10,February 2016,"Michael League, Fab Dupont","David Crosby, Michael League",
Somebody Other Than You,Lighthouse,2016-21-10,February 2016,"Michael League, Fab Dupont","David Crosby, Michael League",
The City,Lighthouse,2016-21-10,February 2016,"Michael League, Fab Dupont","David Crosby, Michael League",
Paint You a Picture,Lighthouse,2016-21-10,February 2016,"Michael League, Fab Dupont","David Crosby, Marc Cohn",
What Makes It So,Lighthouse,2016-21-10,February 2016,"Michael League, Fab Dupont",David Crosby,
She's Got To Be Somewhere,Sky Trails,2017-29-09,February–June 2017,James Raymond,James Raymond,
Sky Trails,Sky Trails,2017-29-09,February–June 2017,James Raymond,"David Crosby, Becca Stevens",
Sell Me a Diamond,Sky Trails,2017-29-09,February–June 2017,James Raymond,"David Crosby, James Raymond",
Before Tomorrow Falls on Love,Sky Trails,2017-29-09,February–June 2017,James Raymond,"David Crosby, Michael McDonald",
Here It's Almost Sunset,Sky Trails,2017-29-09,February–June 2017,James Raymond,"David Crosby, Mai Agan",
Capitol,Sky Trails,2017-29-09,February–June 2017,James Raymond,"David Crosby, James Raymond",
Amelia,Sky Trails,2017-29-09,February–June 2017,James Raymond,Joni Mitchell,
Somebody Home,Sky Trails,2017-29-09,February–June 2017,James Raymond,David Crosby,
Curved Air,Sky Trails,2017-29-09,February–June 2017,James Raymond,"David Crosby, James Raymond",
Home Free,Sky Trails,2017-29-09,February–June 2017,James Raymond,"David Crosby, James Raymond",
Glory,Here If You Listen,2018-26-10,March–July 2018,Fab Dupont,,
Vagrants of Venice,Here If You Listen,2018-26-10,March–July 2018,Fab Dupont,,
1974,Here If You Listen,2018-26-10,March–July 2018,Fab Dupont,,
Your Own Ride,Here If You Listen,2018-26-10,March–July 2018,Fab Dupont,,
Buddha on a Hill,Here If You Listen,2018-26-10,March–July 2018,Fab Dupont,,
I Am No Artist,Here If You Listen,2018-26-10,March–July 2018,Fab Dupont,,
1967,Here If You Listen,2018-26-10,March–July 2018,Fab Dupont,,
Balanced on a Pin,Here If You Listen,2018-26-10,March–July 2018,Fab Dupont,,
Other Half Rule,Here If You Listen,2018-26-10,March–July 2018,Fab Dupont,,
Janet,Here If You Listen,2018-26-10,March–July 2018,Fab Dupont,,
River Rise,For Free,2021-23-07,August–December 2020,James Raymond,"David Crosby, James Raymond, Michael McDonald",
I Think I,For Free,2021-23-07,August–December 2020,James Raymond,"Crosby, Raymond, Steve Postell",
The Other Side of Midnight,For Free,2021-23-07,August–December 2020,James Raymond,Raymond,
Rodriguez for a Night,For Free,2021-23-07,August–December 2020,James Raymond,"Crosby, Donald Fagen, Raymond",
Secret Dancer,For Free,2021-23-07,August–December 2020,James Raymond,"Crosby, Raymond",
Ships in the Night,For Free,2021-23-07,August–December 2020,James Raymond,Crosby,
For Free,For Free,2021-23-07,August–December 2020,James Raymond,Joni Mitchell,
Boxes,For Free,2021-23-07,August–December 2020,James Raymond,Raymond,
Shot at Me,For Free,2021-23-07,August–December 2020,James Raymond,"Crosby, Dean Parks",
I Won't Stay for Long,For Free,2021-23-07,August–December 2020,James Raymond,Raymond,
Albert's Shuffle,Super Session,1968-22-07,May 1968,Al Kooper,"Al Kooper, Mike Bloomfield",Stephen Stills
Stop,Super Session,1968-22-07,May 1968,Al Kooper,"Jerry Ragovoy, Mort Shuman",Stephen Stills
Man's Temptation,Super Session,1968-22-07,May 1968,Al Kooper,Curtis Mayfield,Stephen Stills
His Holy Modal Majesty,Super Session,1968-22-07,May 1968,Al Kooper,"Kooper, Bloomfield",Stephen Stills
"It Takes a Lot to Laugh, It Takes a Train to Cry",Super Session,1968-22-07,May 1968,Al Kooper,Bob Dylan,Stephen Stills
Season of the Witch,Super Session,1968-22-07,May 1968,Al Kooper,Donovan Leitch,Stephen Stills
You Don't Love Me,Super Session,1968-22-07,May 1968,Al Kooper,Willie Cobbs,Stephen Stills
Harvey's Tune,Super Session,1968-22-07,May 1968,Al Kooper,Harvey Brooks,Stephen Stills
Blues for Nothing (outtake),Super Session,1968-22-07,May 1968,Al Kooper,Kooper,Stephen Stills
Love the One You're With,Stephen Stills,1970-16-11,"January, June–July 1970","Stephen Stills, Bill Halverson",Stephen Stills,Stephen Stills
Do for the Others,Stephen Stills,1970-16-11,"January, June–July 1970","Stephen Stills, Bill Halverson",Stephen Stills,Stephen Stills
Church (Part of Someone),Stephen Stills,1970-16-11,"January, June–July 1970","Stephen Stills, Bill Halverson",Stephen Stills,Stephen Stills
Old Times Good Times,Stephen Stills,1970-16-11,"January, June–July 1970","Stephen Stills, Bill Halverson",Stephen Stills,Stephen Stills
Sit Yourself Down,Stephen Stills,1970-16-11,"January, June–July 1970","Stephen Stills, Bill Halverson",Stephen Stills,Stephen Stills
To a Flame,Stephen Stills,1970-16-11,"January, June–July 1970","Stephen Stills, Bill Halverson",Stephen Stills,Stephen Stills
Cherokee,Stephen Stills,1970-16-11,"January, June–July 1970","Stephen Stills, Bill Halverson",Stephen Stills,Stephen Stills
We Are Not Helpless,Stephen Stills,1970-16-11,"January, June–July 1970","Stephen Stills, Bill Halverson",Stephen Stills,Stephen Stills
Nothin' to Do but Today,Stephen Stills 2,1971-30-06,February–May 1971,Bill Halverson,Stephen Stills,Stephen Stills
Fishes and Scorpions,Stephen Stills 2,1971-30-06,February–May 1971,Bill Halverson,Stephen Stills,Stephen Stills
Sugar Babe,Stephen Stills 2,1971-30-06,February–May 1971,Bill Halverson,Stephen Stills,Stephen Stills
Know You Got to Run,Stephen Stills 2,1971-30-06,February–May 1971,Bill Halverson,Stephen Stills,Stephen Stills
Relaxing Town,Stephen Stills 2,1971-30-06,February–May 1971,Bill Halverson,Stephen Stills,Stephen Stills
Singin' Call,Stephen Stills 2,1971-30-06,February–May 1971,Bill Halverson,Stephen Stills,Stephen Stills
Ecology Song,Stephen Stills 2,1971-30-06,February–May 1971,Bill Halverson,Stephen Stills,Stephen Stills
Word Game,Stephen Stills 2,1971-30-06,February–May 1971,Bill Halverson,Stephen Stills,Stephen Stills
Marianne,Stephen Stills 2,1971-30-06,February–May 1971,Bill Halverson,Stephen Stills,Stephen Stills
Bluebird Revisited,Stephen Stills 2,1971-30-06,February–May 1971,Bill Halverson,Stephen Stills,Stephen Stills
Turn Back the Pages,Stills,1975-23-06,"1971, 1973–1975","Bill Halverson, The Albert Brothers","Donnie Dacus, Stills",Stephen Stills
My Favorite Changes,Stills,1975-23-06,"1971, 1973–1975","Bill Halverson, The Albert Brothers",Stephen Stills,Stephen Stills
My Angel,Stills,1975-23-06,"1971, 1973–1975","Bill Halverson, The Albert Brothers","Stills, Dallas Taylor",Stephen Stills
In the Way,Stills,1975-23-06,"1971, 1973–1975","Bill Halverson, The Albert Brothers",Stephen Stills,Stephen Stills
Love Story,Stills,1975-23-06,"1971, 1973–1975","Bill Halverson, The Albert Brothers",Stephen Stills,Stephen Stills
First Things First,Stills,1975-23-06,"1971, 1973–1975","Bill Halverson, The Albert Brothers","Joe Schermie, Jon Smith, Stills",Stephen Stills
New Mama,Stills,1975-23-06,"1971, 1973–1975","Bill Halverson, The Albert Brothers",Neil Young,Stephen Stills
As I Come of Age,Stills,1975-23-06,"1971, 1973–1975","Bill Halverson, The Albert Brothers",Stephen Stills,Stephen Stills
Shuffle Just as Bad,Stills,1975-23-06,"1971, 1973–1975","Bill Halverson, The Albert Brothers",Stephen Stills,Stephen Stills
Cold Cold World,Stills,1975-23-06,"1971, 1973–1975","Bill Halverson, The Albert Brothers","Dacus, Stills",Stephen Stills
Myth of Sisyphus,Stills,1975-23-06,"1971, 1973–1975","Bill Halverson, The Albert Brothers","Kenny Passarelli, Stills",Stephen Stills
Buyin' Time,Illegal Stills,1976-07-05,"1974, 1975, January - February 1976","Stephen Stills, Don Gehman",Stephen Stills,Stephen Stills
Midnight in Paris,Illegal Stills,1976-07-05,"1974, 1975, January - February 1976","Stephen Stills, Don Gehman","Donnie Dacus, Véronique Sanson",Stephen Stills
