track,album,album_type,artist,release_date,recording_period,producers,writers,vocals
Deja Vu,Another Stoney Evening,studio,David Crosby,1998-13-01,10-Oct-71,Stephen Barncard,David Crosby,Crosby & Nash
Guinnevere,Another Stoney Evening,studio,David Crosby,1998-13-01,10-Oct-71,Stephen Barncard,Crosby,Crosby & Nash
I Used to Be A King,Another Stoney Evening,studio,David Crosby,1998-13-01,10-Oct-71,Stephen Barncard,Nash,Crosby & Nash
Laughing,Another Stoney Evening,studio,David Crosby,1998-13-01,10-Oct-71,Stephen Barncard,Crosby,Crosby & Nash
Man in the Mirror,Another Stoney Evening,studio,David Crosby,1998-13-01,10-Oct-71,Stephen Barncard,Graham Nash,Crosby & Nash
Southbound Train,Another Stoney Evening,studio,David Crosby,1998-13-01,10-Oct-71,Stephen Barncard,Nash,Crosby & Nash
Strangers Room,Another Stoney Evening,studio,David Crosby,1998-13-01,10-Oct-71,Stephen Barncard,Nash,Crosby & Nash
Teach Your Children,Another Stoney Evening,studio,David Crosby,1998-13-01,10-Oct-71,Stephen Barncard,Nash,Crosby & Nash
The Lee Shore,Another Stoney Evening,studio,David Crosby,1998-13-01,10-Oct-71,Stephen Barncard,Crosby,Crosby & Nash
Traction in the Rain,Another Stoney Evening,studio,David Crosby,1998-13-01,10-Oct-71,Stephen Barncard,Crosby,Crosby & Nash
Triad,Another Stoney Evening,studio,David Crosby,1998-13-01,10-Oct-71,Stephen Barncard,Crosby,Crosby & Nash
Where Will I Be?,Another Stoney Evening,studio,David Crosby,1998-13-01,10-Oct-71,Stephen Barncard,Crosby,Crosby & Nash
Wooden Ships,Another Stoney Evening,studio,David Crosby,1998-13-01,10-Oct-71,Stephen Barncard,"Crosby, Paul Kantner, Stephen Stills",Crosby & Nash
Charlie,Crosby & Nash,studio,Crosby & Nash,10/8/2004,January–February 2004,"David Crosby, Russell Kunkel, Graham Nash","Crosby, Parks",Crosby & Nash
Don't Dig Here,Crosby & Nash,studio,Crosby & Nash,10/8/2004,January–February 2004,"David Crosby, Russell Kunkel, Graham Nash","Raymond, Nash, Russ Kunkel",Crosby & Nash
Grace,Crosby & Nash,studio,Crosby & Nash,10/8/2004,January–February 2004,"David Crosby, Russell Kunkel, Graham Nash",Raymond,Crosby & Nash
Half Your Angels,Crosby & Nash,studio,Crosby & Nash,10/8/2004,January–February 2004,"David Crosby, Russell Kunkel, Graham Nash",Nash,Crosby & Nash
