track,album,album_type,artist,release_date,recording_period,producers,writers,vocals
49 Bye-Byes,4 Way Street,live,"Crosby, Stills, Nash & Young",7/4/1971,"June 2-7 1970, June 26-28 1970, July 5 1979","Crosby, Stills, Nash & Young",Stephen Stills,"Crosby, Stills, Nash & Young"
Black Queen,4 Way Street,live,"Crosby, Stills, Nash & Young",7/4/1971,"June 2-7 1970, June 26-28 1970, July 5 1983","Crosby, Stills, Nash & Young",Stephen Stills,"Crosby, Stills, Nash & Young"
Carry On,4 Way Street,live,"Crosby, Stills, Nash & Young",7/4/1971,"June 2-7 1970, June 26-28 1970, July 5 1989","Crosby, Stills, Nash & Young",Stephen Stills,"Crosby, Stills, Nash & Young"
Chicago (CSNY),4 Way Street,live,"Crosby, Stills, Nash & Young",7/4/1971,"June 2-7 1970, June 26-28 1970, July 5 1975","Crosby, Stills, Nash & Young",Graham Nash,"Crosby, Stills, Nash & Young"
Cowgirl in the Sand,4 Way Street,live,"Crosby, Stills, Nash & Young",7/4/1971,"June 2-7 1970, June 26-28 1970, July 5 1977","Crosby, Stills, Nash & Young",Neil Young,"Crosby, Stills, Nash & Young"
Don't Let It Bring You Down,4 Way Street,live,"Crosby, Stills, Nash & Young",7/4/1971,"June 2-7 1970, June 26-28 1970, July 5 1978","Crosby, Stills, Nash & Young",Neil Young,"Crosby, Stills, Nash & Young"
Find the Cost of Freedom,4 Way Street,live,"Crosby, Stills, Nash & Young",7/4/1971,"June 2-7 1970, June 26-28 1970, July 5 1990","Crosby, Stills, Nash & Young",Stephen Stills,"Crosby, Stills, Nash & Young"
King Midas in Reverse,4 Way Street,live,"Crosby, Stills, Nash & Young",7/4/1971,"June 2-7 1970, June 26-28 1970, July 5 1981","Crosby, Stills, Nash & Young","Graham Nash, Allan Clarke, Tony Hicks","Crosby, Stills, Nash & Young"
Laughing,4 Way Street,live,"Crosby, Stills, Nash & Young",7/4/1971,"June 2-7 1970, June 26-28 1970, July 5 1982","Crosby, Stills, Nash & Young",David Crosby,"Crosby, Stills, Nash & Young"
Long Time Gone,4 Way Street,live,"Crosby, Stills, Nash & Young",7/4/1971,"June 2-7 1970, June 26-28 1970, July 5 1986","Crosby, Stills, Nash & Young",David Crosby,"Crosby, Stills, Nash & Young"
Love the One You're With,4 Way Street,live,"Crosby, Stills, Nash & Young",7/4/1971,"June 2-7 1970, June 26-28 1970, July 5 1980","Crosby, Stills, Nash & Young",Stephen Stills,"Crosby, Stills, Nash & Young"
Medley,4 Way Street,live,"Crosby, Stills, Nash & Young",7/4/1971,"June 2-7 1970, June 26-28 1970, July 5 1984","Crosby, Stills, Nash & Young",Neil Young,"Crosby, Stills, Nash & Young"
Ohio (CSNY),4 Way Street,live,"Crosby, Stills, Nash & Young",7/4/1971,"June 2-7 1970, June 26-28 1970, July 5 1988","Crosby, Stills, Nash & Young",Neil Young,"Crosby, Stills, Nash & Young"
On the Way Home,4 Way Street,live,"Crosby, Stills, Nash & Young",7/4/1971,"June 2-7 1970, June 26-28 1970, July 5 1971","Crosby, Stills, Nash & Young",Neil Young,"Crosby, Stills, Nash & Young"
Pre-Road Downs,4 Way Street,live,"Crosby, Stills, Nash & Young",7/4/1971,"June 2-7 1970, June 26-28 1970, July 5 1985","Crosby, Stills, Nash & Young",Graham Nash,"Crosby, Stills, Nash & Young"
Right Between the Eyes,4 Way Street,live,"Crosby, Stills, Nash & Young",7/4/1971,"June 2-7 1970, June 26-28 1970, July 5 1976","Crosby, Stills, Nash & Young",Graham Nash,"Crosby, Stills, Nash & Young"
Southern Man,4 Way Street,live,"Crosby, Stills, Nash & Young",7/4/1971,"June 2-7 1970, June 26-28 1970, July 5 1987","Crosby, Stills, Nash & Young",Neil Young,"Crosby, Stills, Nash & Young"
Suite: Judy Blue Eyes,4 Way Street,live,"Crosby, Stills, Nash & Young",7/4/1971,"June 2-7 1970, June 26-28 1970, July 5 1970","Crosby, Stills, Nash & Young",Stephen Stills,"Crosby, Stills, Nash & Young"
Teach Your Children,4 Way Street,live,"Crosby, Stills, Nash & Young",7/4/1971,"June 2-7 1970, June 26-28 1970, July 5 1972","Crosby, Stills, Nash & Young",Graham Nash,"Crosby, Stills, Nash & Young"
The Lee Shore,4 Way Street,live,"Crosby, Stills, Nash & Young",7/4/1971,"June 2-7 1970, June 26-28 1970, July 5 1974","Crosby, Stills, Nash & Young",David Crosby,"Crosby, Stills, Nash & Young"
Triad,4 Way Street,live,"Crosby, Stills, Nash & Young",7/4/1971,"June 2-7 1970, June 26-28 1970, July 5 1973","Crosby, Stills, Nash & Young",David Crosby,"Crosby, Stills, Nash & Young"
After the Storm,After the Storm,studio,"Crosby, Stills, & Nash",1994-16-08,"January 27 – July 1, 1994",Glyn Johns,Nash,"Crosby, Stills & Nash"
Bad Boyz,After the Storm,studio,"Crosby, Stills, & Nash",1994-16-08,"January 27 – July 1, 1994",Glyn Johns,Stills,"Crosby, Stills & Nash"
Camera,After the Storm,studio,"Crosby, Stills, & Nash",1994-16-08,"January 27 – July 1, 1994",Glyn Johns,"David Crosby, Stills","Crosby, Stills & Nash"
Find a Dream,After the Storm,studio,"Crosby, Stills, & Nash",1994-16-08,"January 27 – July 1, 1994",Glyn Johns,Graham Nash,"Crosby, Stills & Nash"
In My Life,After the Storm,studio,"Crosby, Stills, & Nash",1994-16-08,"January 27 – July 1, 1994",Glyn Johns,"John Lennon, Paul McCartney","Crosby, Stills & Nash"
It Won't Go Away,After the Storm,studio,"Crosby, Stills, & Nash",1994-16-08,"January 27 – July 1, 1994",Glyn Johns,Stills,"Crosby, Stills & Nash"
Only Waiting for You,After the Storm,studio,"Crosby, Stills, & Nash",1994-16-08,"January 27 – July 1, 1994",Glyn Johns,Stephen Stills,"Crosby, Stills & Nash, Mike Finnigan"
Panama,After the Storm,studio,"Crosby, Stills, & Nash",1994-16-08,"January 27 – July 1, 1994",Glyn Johns,Stills,"Crosby, Stills & Nash"
Street to Lean On,After the Storm,studio,"Crosby, Stills, & Nash",1994-16-08,"January 27 – July 1, 1994",Glyn Johns,Crosby,"Crosby, Stills & Nash"
These Empty Days,After the Storm,studio,"Crosby, Stills, & Nash",1994-16-08,"January 27 – July 1, 1994",Glyn Johns,"Nash, Crosby","Crosby, Stills & Nash"
Till It Shines,After the Storm,studio,"Crosby, Stills, & Nash",1994-16-08,"January 27 – July 1, 1994",Glyn Johns,Crosby,"Crosby, Stills & Nash"
Unequal Love,After the Storm,studio,"Crosby, Stills, & Nash",1994-16-08,"January 27 – July 1, 1994",Glyn Johns,Nash,"Crosby, Stills & Nash"
American Dream,American Dream,studio,"Crosby, Stills, Nash & Young",1/11/1988,"April 24, 1987–September 16, 1988","Niko Bolas, David Crosby, Stephen Stills, Graham Nash, Neil Young",Neil Young,"Crosby, Stills, Nash & Young"
Clear Blue Skies,American Dream,studio,"Crosby, Stills, Nash & Young",1/11/1988,"April 24, 1987–September 16, 1988","Niko Bolas, David Crosby, Stephen Stills, Graham Nash, Neil Young",Nash,"Crosby, Stills, Nash & Young"
