track,album,album_type,artist,release_date,recording_period,producers,writers,vocals
Dangerous Night,Croz,studio,David Crosby,2014-28-01,October 2011–October 2013,Daniel GarciaDavid CrosbyJames Raymond,"David Crosby, James Raymond","David Crosby, James Raymond, Marcus Eaton"
Find a Heart,Croz,studio,David Crosby,2014-28-01,October 2011–October 2013,Daniel GarciaDavid CrosbyJames Raymond,"David Crosby, James Raymond","David Crosby, Marcus Eaton"
Holding On to Nothing,Croz,studio,David Crosby,2014-28-01,October 2011–October 2013,Daniel GarciaDavid CrosbyJames Raymond,"David Crosby, Sterling Price",David Crosby
If She Called,Croz,studio,David Crosby,2014-28-01,October 2011–October 2013,Daniel GarciaDavid CrosbyJames Raymond,David Crosby,David Crosby
Morning Falling,Croz,studio,David Crosby,2014-28-01,October 2011–October 2013,Daniel GarciaDavid CrosbyJames Raymond,"David Crosby, James Raymond",David Crosby
Radio,Croz,studio,David Crosby,2014-28-01,October 2011–October 2013,Daniel GarciaDavid CrosbyJames Raymond,"David Crosby, James Raymond","David Crosby, James Raymond, Marcus Eaton"
Set That Baggage Down,Croz,studio,David Crosby,2014-28-01,October 2011–October 2013,Daniel GarciaDavid CrosbyJames Raymond,"David Crosby, Shane Fontayne","David Crosby, Shane Fontayne, Marcus Eaton"
Slice of Time,Croz,studio,David Crosby,2014-28-01,October 2011–October 2013,Daniel GarciaDavid CrosbyJames Raymond,"David Crosby, Marcus Eaton, James Raymond","David Crosby, Marcus Eaton"
The Clearing,Croz,studio,David Crosby,2014-28-01,October 2011–October 2013,Daniel GarciaDavid CrosbyJames Raymond,James Raymond,"David Crosby, Marcus Eaton"
Time I Have,Croz,studio,David Crosby,2014-28-01,October 2011–October 2013,Daniel GarciaDavid CrosbyJames Raymond,David Crosby,"David Crosby, Marcus Eaton, James Raymond"
What's Broken,Croz,studio,David Crosby,2014-28-01,October 2011–October 2013,Daniel GarciaDavid CrosbyJames Raymond,James Raymond,"David Crosby, Marcus Eaton"
Boxes,For Free,studio,David Crosby,2021-23-07,August–December 2020,James Raymond,Raymond,"David Crosby, James Raymond, Michelle Willis"
For Free,For Free,studio,David Crosby,2021-23-07,August–December 2020,James Raymond,Joni Mitchell,"David Crosby, Sarah Jarosz"
I Think I,For Free,studio,David Crosby,2021-23-07,August–December 2020,James Raymond,"Crosby, Raymond, Steve Postell","David Crosby, Steve Postell"
I Won't Stay for Long,For Free,studio,David Crosby,2021-23-07,August–December 2020,James Raymond,Raymond,David Crosby
River Rise,For Free,studio,David Crosby,2021-23-07,August–December 2020,James Raymond,"David Crosby, James Raymond, Michael McDonald","David Crosby, Michael McDonald"
Rodriguez for a Night,For Free,studio,David Crosby,2021-23-07,August–December 2020,James Raymond,"Crosby, Donald Fagen, Raymond",David Crosby
Secret Dancer,For Free,studio,David Crosby,2021-23-07,August–December 2020,James Raymond,"Crosby, Raymond",David Crosby
Ships in the Night,For Free,studio,David Crosby,2021-23-07,August–December 2020,James Raymond,Crosby,"David Crosby, Michelle Willis"
Shot at Me,For Free,studio,David Crosby,2021-23-07,August–December 2020,James Raymond,"Crosby, Dean Parks",David Crosby
The Other Side of Midnight,For Free,studio,David Crosby,2021-23-07,August–December 2020,James Raymond,Raymond,"David Crosby, Gracie Raymond, Becca Stevens, Michelle Willis"
1967,Here If You Listen,studio,David Crosby,2018-26-10,March–July 2018,Fab Dupont,,David Crosby
1974,Here If You Listen,studio,David Crosby,2018-26-10,March–July 2018,Fab Dupont,,David Crosby
Balanced on a Pin,Here If You Listen,studio,David Crosby,2018-26-10,March–July 2018,Fab Dupont,,David Crosby
Buddha on a Hill,Here If You Listen,studio,David Crosby,2018-26-10,March–July 2018,Fab Dupont,,David Crosby
Glory,Here If You Listen,studio,David Crosby,2018-26-10,March–July 2018,Fab Dupont,,David Crosby
I Am No Artist,Here If You Listen,studio,David Crosby,2018-26-10,March–July 2018,Fab Dupont,,David Crosby
Janet,Here If You Listen,studio,David Crosby,2018-26-10,March–July 2018,Fab Dupont,,David Crosby
Other Half Rule,Here If You Listen,studio,David Crosby,2018-26-10,March–July 2018,Fab Dupont,,David Crosby
Vagrants of Venice,Here If You Listen,studio,David Crosby,2018-26-10,March–July 2018,Fab Dupont,,David Crosby
Woodstock,Here If You Listen,studio,David Crosby,2018-26-10,March–July 2018,Fab Dupont,,David Crosby
Your Own Ride,Here If You Listen,studio,David Crosby,2018-26-10,March–July 2018,Fab Dupont,,David Crosby
 Games,If I Could Only Remember My Name,studio,David Crosby,1971-22-02,,David Crosby ,David Crosby ,David Crosby 
 Kids and Dogs,If I Could Only Remember My Name,studio,David Crosby,1971-22-02,,David Crosby ,David Crosby ,David Crosby 
 Riff 1,If I Could Only Remember My Name,studio,David Crosby,1971-22-02,,David Crosby ,David Crosby ,David Crosby 
Bach Mode (Pre-Critical Mass),If I Could Only Remember My Name,studio,David Crosby,1971-22-02,,David Crosby ,David Crosby ,David Crosby 
Coast Road,If I Could Only Remember My Name,studio,David Crosby,1971-22-02,,David Crosby ,David Crosby ,David Crosby 
Cowboy Movie,If I Could Only Remember My Name,studio,David Crosby,1971-22-02,,David Crosby ,David Crosby ,David Crosby 
Dancer,If I Could Only Remember My Name,studio,David Crosby,1971-22-02,,David Crosby ,David Crosby ,David Crosby 
Fugue,If I Could Only Remember My Name,studio,David Crosby,1971-22-02,,David Crosby ,David Crosby ,David Crosby 
I'd Swear There Was Somebody Here,If I Could Only Remember My Name,studio,David Crosby,1971-22-02,,David Crosby ,David Crosby ,David Crosby 
Laughing,If I Could Only Remember My Name,studio,David Crosby,1971-22-02,,David Crosby ,David Crosby ,"David Crosby, Graham Nash, Joni Mitchell"
Music Is Love,If I Could Only Remember My Name,studio,David Crosby,1971-22-02,,David Crosby ,David Crosby ,"David Crosby, Graham Nash, Neil Young"
Orleans,If I Could Only Remember My Name,studio,David Crosby,1971-22-02,,David Crosby ,David Crosby ,David Crosby 
Song with No Words (Tree with No Leaves),If I Could Only Remember My Name,studio,David Crosby,1971-22-02,,David Crosby ,David Crosby ,"David Crosby, Graham Nash"
Tamalpais High (At About 3),If I Could Only Remember My Name,studio,David Crosby,1971-22-02,,David Crosby ,David Crosby ,"David Crosby, Graham Nash"
The Wall Song,If I Could Only Remember My Name,studio,David Crosby,1971-22-02,,David Crosby ,David Crosby ,David Crosby 
Traction in the Rain,If I Could Only Remember My Name,studio,David Crosby,1971-22-02,,David Crosby ,David Crosby ,"David Crosby, Graham Nash"
What Are Their Names,If I Could Only Remember My Name,studio,David Crosby,1971-22-02,,David Crosby ,David Crosby ,"David Crosby, Graham Nash, Neil Young, Joni Mitchell, David Freiberg, Paul Kantner, Grace Slick"
Where Will I Be?,If I Could Only Remember My Name,studio,David Crosby,1971-22-02,,David Crosby ,David Crosby ,David Crosby 
Almost Cut My Hair,It's All Coming Back To Me Now,live,David Crosby,1995-24-01,7-Dec-93,Chris Rankin,David Crosby,"David Crosby, Chris Robinson"
Cowboy Movie,It's All Coming Back To Me Now,live,David Crosby,1995-24-01,7-Dec-93,Chris Rankin,David Crosby,David Crosby
Deja Vu,It's All Coming Back To Me Now,live,David Crosby,1995-24-01,7-Dec-93,Chris Rankin,David Crosby,"David Crosby, Mike Finnigan, Kip Lennon, Graham Nash"
Hero,It's All Coming Back To Me Now,live,David Crosby,1995-24-01,7-Dec-93,Chris Rankin,"David Crosby, Phil Collins","David Crosby, Mike Finnigan, Kip Lennon"
In My Dreams,It's All Coming Back To Me Now,live,David Crosby,1995-24-01,7-Dec-93,Chris Rankin,David Crosby,David Crosby
Long Time Gone,It's All Coming Back To Me Now,live,David Crosby,1995-24-01,7-Dec-93,Chris Rankin,David Crosby,"David Crosby, Mike Finnigan, Kip Lennon, Graham Nash"
Rusty and Blue,It's All Coming Back To Me Now,live,David Crosby,1995-24-01,7-Dec-93,Chris Rankin,David Crosby,David Crosby
Thousand Roads,It's All Coming Back To Me Now,live,David Crosby,1995-24-01,7-Dec-93,Chris Rankin,David Crosby,David Crosby
Till It Shines on You,It's All Coming Back To Me Now,live,David Crosby,1995-24-01,7-Dec-93,Chris Rankin,David Crosby,David Crosby
Wooden Ships,It's All Coming Back To Me Now,live,David Crosby,1995-24-01,7-Dec-93,Chris Rankin,"David Crosby, Paul Katner, Stephen Stills","David Crosby, Mike Finnigan, Kip Lennon, Graham Nash"
By the Light of Common Day,Lighthouse,studio,David Crosby,2016-21-10,16-Feb,"Michael League, Fab Dupont","David Crosby, Becca Stevens","David Crosby, Michael League, Becca Stevens, Michelle Willis"
Drive Out to the Desert,Lighthouse,studio,David Crosby,2016-21-10,16-Feb,"Michael League, Fab Dupont",David Crosby,"David Crosby, Michael League"
Look in Their Eyes,Lighthouse,studio,David Crosby,2016-21-10,16-Feb,"Michael League, Fab Dupont","David Crosby, Michael League","David Crosby, Michael League"
Paint You a Picture,Lighthouse,studio,David Crosby,2016-21-10,16-Feb,"Michael League, Fab Dupont","David Crosby, Marc Cohn",David Crosby
Somebody Other Than You,Lighthouse,studio,David Crosby,2016-21-10,16-Feb,"Michael League, Fab Dupont","David Crosby, Michael League","David Crosby, Michael League"
The City,Lighthouse,studio,David Crosby,2016-21-10,16-Feb,"Michael League, Fab Dupont","David Crosby, Michael League","David Crosby, Michael League"
The Us Below,Lighthouse,studio,David Crosby,2016-21-10,16-Feb,"Michael League, Fab Dupont","David Crosby, Michael League, Marcus Eaton","David Crosby, Michael League"
Things We Do for Love,Lighthouse,studio,David Crosby,2016-21-10,16-Feb,"Michael League, Fab Dupont","David Crosby, Michael League","David Crosby, Michael League"
What Makes It So?,Lighthouse,studio,David Crosby,2016-21-10,16-Feb,"Michael League, Fab Dupont",David Crosby,"David Crosby, Michael League"
My Country Tis of Thee,Oh Yes I Can,studio,David Crosby,1989-23-01,June–October 1988,"David Crosby, Craig Doerge",Crosby,"David Crosby, Graham Nash, JD Souther"
Distances,Oh Yes I Can,studio,David Crosby,1989-23-01,June–October 1988,"David Crosby, Craig Doerge",Crosby,David Crosby
Drive My Car,Oh Yes I Can,studio,David Crosby,1989-23-01,June–October 1988,"David Crosby, Craig Doerge",Crosby,David Crosby
Drop Down Mama,Oh Yes I Can,studio,David Crosby,1989-23-01,June–October 1988,"David Crosby, Craig Doerge",Crosby,David Crosby
Flying Man,Oh Yes I Can,studio,David Crosby,1989-23-01,June–October 1988,"David Crosby, Craig Doerge","Crosby, Doerge",David Crosby
In the Wide Ruin,Oh Yes I Can,studio,David Crosby,1989-23-01,June–October 1988,"David Crosby, Craig Doerge","Doerge, Henske","David Crosby, Jackson Browne"
Lady of the Harbor,Oh Yes I Can,studio,David Crosby,1989-23-01,June–October 1988,"David Crosby, Craig Doerge","Crosby, Doerge","David Crosby, Bonnie Raitt"
Melody,Oh Yes I Can,studio,David Crosby,1989-23-01,June–October 1988,"David Crosby, Craig Doerge","Crosby, Craig Doerge",David Crosby
Monkey and the Underdog,Oh Yes I Can,studio,David Crosby,1989-23-01,June–October 1988,"David Crosby, Craig Doerge","Crosby, Doerge",David Crosby
Oh Yes I Can,Oh Yes I Can,studio,David Crosby,1989-23-01,June–October 1988,"David Crosby, Craig Doerge",Crosby,"David Crosby, James Taylor"
Tracks in the Dust,Oh Yes I Can,studio,David Crosby,1989-23-01,June–October 1988,"David Crosby, Craig Doerge",Crosby,"David Crosby, Michael Hedges, Graham Nash"
Amelia,Sky Trails,studio,David Crosby,2017-29-09,February–June 2017,James Raymond,Joni Mitchell,David Crosby
Before Tomorrow Falls on Love,Sky Trails,studio,David Crosby,2017-29-09,February–June 2017,James Raymond,"David Crosby, Michael McDonald",David Crosby
Capitol,Sky Trails,studio,David Crosby,2017-29-09,February–June 2017,James Raymond,"David Crosby, James Raymond",David Crosby
Curved Air,Sky Trails,studio,David Crosby,2017-29-09,February–June 2017,James Raymond,"David Crosby, James Raymond","David Crosby, James Raymond "
Here It's Almost Sunset,Sky Trails,studio,David Crosby,2017-29-09,February–June 2017,James Raymond,"David Crosby, Mai Agan","David Crosby, Mai Agan"
Home Free,Sky Trails,studio,David Crosby,2017-29-09,February–June 2017,James Raymond,"David Crosby, James Raymond",David Crosby
Sell Me a Diamond,Sky Trails,studio,David Crosby,2017-29-09,February–June 2017,James Raymond,"David Crosby, James Raymond",David Crosby
She's Got To Be Somewhere,Sky Trails,studio,David Crosby,2017-29-09,February–June 2017,James Raymond,James Raymond,"David Crosby, Jacob Collier"
Sky Trails,Sky Trails,studio,David Crosby,2017-29-09,February–June 2017,James Raymond,"David Crosby, Becca Stevens","David Crosby, Becca Stevens"
Somebody Home,Sky Trails,studio,David Crosby,2017-29-09,February–June 2017,James Raymond,David Crosby,David Crosby
