track,album,album_type,artist,release_date,recording_period,producers,writers,vocals
Barrel of Pain,Earth & Sky,studio,Graham Nash,1980-15-02,,Graham Nash,Graham Nash,"Graham Nash, Gloria Coleman, Brenda Eager, Cleo Kennedy"
Earth & Sky,Earth & Sky,studio,Graham Nash,1980-15-02,,Graham Nash,Graham Nash,"Graham Nash, Cece Bullard"
Helicopter Song,Earth & Sky,studio,Graham Nash,1980-15-02,,Graham Nash,Graham Nash,"Graham Nash, Leah Kunkel"
In the 80's,Earth & Sky,studio,Graham Nash,1980-15-02,,Graham Nash,Graham Nash,"Graham Nash, Leah Kunkel"
It's All Right,Earth & Sky,studio,Graham Nash,1980-15-02,,Graham Nash,Graham Nash,"Graham Nash, Gloria Coleman, Brenda Eager, Cleo Kennedy"
Love Has Come,Earth & Sky,studio,Graham Nash,1980-15-02,,Graham Nash,Graham Nash,"Graham Nash, Jackson Browne, Armando Hurley, Nicolette Larson"
Magical Child,Earth & Sky,studio,Graham Nash,1980-15-02,,Graham Nash,Graham Nash,"Graham Nash, Gloria Coleman, Brenda Eager, Cleo Kennedy"
Out on the Island,Earth & Sky,studio,Graham Nash,1980-15-02,,Graham Nash,Graham Nash,"Graham Nash, David Crosby, Gloria Coleman, Brenda Eager, Cleo Kennedy"
Skychild,Earth & Sky,studio,Graham Nash,1980-15-02,,Graham Nash,Graham Nash,"Graham Nash, Gloria Coleman, Brenda Eager, Cleo Kennedy"
TV Guide,Earth & Sky,studio,Graham Nash,1980-15-02,,Graham Nash,"Nash, Joe Vitale","Graham Nash, Jackson Browne, Armando Hurley, Nicolette Larson"
Chippin' Away,Innocent Eyes,studio,Graham Nash,1986-27-03,,"Craig Doerge, Graham Nash",Tom Fedora,"Graham Nash, Tom Fedora"
Don't Listen to the Rumours,Innocent Eyes,studio,Graham Nash,1986-27-03,,"Craig Doerge, Graham Nash",John Palermo,"Graham Nash, John Palermo"
Glass and Steel,Innocent Eyes,studio,Graham Nash,1986-27-03,,"Craig Doerge, Graham Nash",Nash,Graham Nash
I Got a Rock,Innocent Eyes,studio,Graham Nash,1986-27-03,,"Craig Doerge, Graham Nash",Nash,Graham Nash
Innocent Eyes,Innocent Eyes,studio,Graham Nash,1986-27-03,,"Craig Doerge, Graham Nash",Paul Bliss,"Graham Nash, Paul Bliss"
Keep Away from Me,Innocent Eyes,studio,Graham Nash,1986-27-03,,"Craig Doerge, Graham Nash",Graham Nash,Graham Nash
Newday,Innocent Eyes,studio,Graham Nash,1986-27-03,,"Craig Doerge, Graham Nash","Craig Doerge, Nash","Graham Nash, Craig Doerge"
Over the Wall,Innocent Eyes,studio,Graham Nash,1986-27-03,,"Craig Doerge, Graham Nash",Graham Nash,Graham Nash
Sad Eyes,Innocent Eyes,studio,Graham Nash,1986-27-03,,"Craig Doerge, Graham Nash",Nash,Graham Nash
See You in Prague,Innocent Eyes,studio,Graham Nash,1986-27-03,,"Craig Doerge, Graham Nash","Davitt Sigerson, Richie Zito","Graham Nash, Davitt Sigerson, Richie Zito"
A Better Life,Now,studio,Graham Nash,2023-19-05,2020–2022,"Graham Nash, Todd Caldwell",Graham Nash,Graham Nash
Buddy's Back,Now,studio,Graham Nash,2023-19-05,2020–2022,"Graham Nash, Todd Caldwell",Graham Nash,"Graham Nash, Allan Clarke"
Follow Your Heart,Now,studio,Graham Nash,2023-19-05,2020–2022,"Graham Nash, Todd Caldwell",Graham Nash,Graham Nash
