track,album,album_type,artist,release_date,recording_period,producers,writers,vocals
A Letter Home Intro,A Letter Home,studio,Neil Young,2014-19-04,16-Sep-13,"Jack White III, Neil Young",Neil Young,Neil Young
Blowin' in the Wind,A Letter Home,studio,Neil Young,2014-19-04,16-Sep-13,"Jack White III, Neil Young",Bob Dylan,Neil Young
Changes,A Letter Home,studio,Neil Young,2014-19-04,16-Sep-13,"Jack White III, Neil Young",Phil Ochs,Neil Young
Crazy,A Letter Home,studio,Neil Young,2014-19-04,16-Sep-13,"Jack White III, Neil Young",Willie Nelson,Neil Young
Early Morning Rain,A Letter Home,studio,Neil Young,2014-19-04,16-Sep-13,"Jack White III, Neil Young",Gordon Lightfoot,Neil Young
Girl from the North Country,A Letter Home,studio,Neil Young,2014-19-04,16-Sep-13,"Jack White III, Neil Young",Bob Dylan,Neil Young
I Wonder If I Care as Much,A Letter Home,studio,Neil Young,2014-19-04,16-Sep-13,"Jack White III, Neil Young",The Everly Brothers,"Neil Young, Jack White"
If You Could Read My Mind,A Letter Home,studio,Neil Young,2014-19-04,16-Sep-13,"Jack White III, Neil Young",Gordon Lightfoot,Neil Young
My Hometown,A Letter Home,studio,Neil Young,2014-19-04,16-Sep-13,"Jack White III, Neil Young",Bruce Springsteen,Neil Young
Needle of Death,A Letter Home,studio,Neil Young,2014-19-04,16-Sep-13,"Jack White III, Neil Young",Bert Jansch,Neil Young
On the Road Again,A Letter Home,studio,Neil Young,2014-19-04,16-Sep-13,"Jack White III, Neil Young",Willie Nelson,Neil Young
Reason to Believe,A Letter Home,studio,Neil Young,2014-19-04,16-Sep-13,"Jack White III, Neil Young",Tim Hardin,Neil Young
Since I Met You Baby,A Letter Home,studio,Neil Young,2014-19-04,16-Sep-13,"Jack White III, Neil Young",Ivory Joe Hunter,Neil Young
After the Gold Rush,After the Gold Rush,studio,Neil Young,1970-19-09,August 1969 – June 1971,"Neil Young, David Briggs, Kendall Pacios",Neil Young,Neil Young
Birds,After the Gold Rush,studio,Neil Young,1970-19-09,August 1969 – June 1977,"Neil Young, David Briggs, Kendall Pacios",Neil Young,"Neil Young, Ralph Molina, Danny Whitten"
Cripple Creek Ferry,After the Gold Rush,studio,Neil Young,1970-19-09,August 1969 – June 1980,"Neil Young, David Briggs, Kendall Pacios",Neil Young,"Neil Young, Ralph Molina, Danny Whitten"
Don't Let It Bring You Down,After the Gold Rush,studio,Neil Young,1970-19-09,August 1969 – June 1976,"Neil Young, David Briggs, Kendall Pacios",Neil Young,Neil Young
I Believe in You,After the Gold Rush,studio,Neil Young,1970-19-09,August 1969 – June 1979,"Neil Young, David Briggs, Kendall Pacios",Neil Young,"Neil Young, Ralph Molina, Danny Whitten"
"Oh, Lonesome Me",After the Gold Rush,studio,Neil Young,1970-19-09,August 1969 – June 1975,"Neil Young, David Briggs, Kendall Pacios",Neil Young,"Neil Young, Ralph Molina, Danny Whitten"
Only Love Can Break Your Heart,After the Gold Rush,studio,Neil Young,1970-19-09,August 1969 – June 1972,"Neil Young, David Briggs, Kendall Pacios",Neil Young,"Neil Young, Ralph Molina, Danny Whitten"
Southern Man,After the Gold Rush,studio,Neil Young,1970-19-09,August 1969 – June 1973,"Neil Young, David Briggs, Kendall Pacios",Neil Young,"Neil Young, Nils Lofgren, Ralph Molina, Danny Whitten"
Tell Me Why,After the Gold Rush,studio,Neil Young,1970-19-09,August 1969 – June 1970,"Neil Young, David Briggs, Kendall Pacios",Neil Young,"Neil Young, Ralph Molina"
Till the Morning Comes,After the Gold Rush,studio,Neil Young,1970-19-09,August 1969 – June 1974,"Neil Young, David Briggs, Kendall Pacios",Neil Young,"Neil Young, Danny Whitten, Ralph Molina, Stephen Stills"
When You Dance I Can Really Love,After the Gold Rush,studio,Neil Young,1970-19-09,August 1969 – June 1978,"Neil Young, David Briggs, Kendall Pacios",Neil Young,"Neil Young, Danny Whitten"
Wonderin',After the Gold Rush,studio,Neil Young,1970-19-09,August 1969 – June 1981,"Neil Young, David Briggs, Kendall Pacios",Neil Young,"Neil Young, Ralph Molina, Danny Whitten"
A Dream That Can Last,Before and After,live,Neil Young,8/12/2023,23-Jul,Lou Adler,Neil Young,Neil Young
Birds,Before and After,live,Neil Young,8/12/2023,23-Jul,Lou Adler,Neil Young,Neil Young
Burned,Before and After,live,Neil Young,8/12/2023,23-Jul,Lou Adler,Neil Young,Neil Young
Comes a Time,Before and After,live,Neil Young,8/12/2023,23-Jul,Lou Adler,Neil Young,Neil Young
Don't Forget Love,Before and After,live,Neil Young,8/12/2023,23-Jul,Lou Adler,Neil Young,Neil Young
Homefires,Before and After,live,Neil Young,8/12/2023,23-Jul,Lou Adler,Neil Young,Neil Young
If You Got Love,Before and After,live,Neil Young,8/12/2023,23-Jul,Lou Adler,Neil Young,Neil Young
Mother Earth,Before and After,live,Neil Young,8/12/2023,23-Jul,Lou Adler,Neil Young,Neil Young
Mr. Soul,Before and After,live,Neil Young,8/12/2023,23-Jul,Lou Adler,Neil Young,Neil Young
My Heart,Before and After,live,Neil Young,8/12/2023,23-Jul,Lou Adler,Neil Young,Neil Young
On the Way Home,Before and After,live,Neil Young,8/12/2023,23-Jul,Lou Adler,Neil Young,Neil Young
Ain't It the Truth,Bluenote Cafe,live,Neil Young,2015-13-11,November 1987�� August 1988,"Neil Young, Niko Bolas",Neil Young,Neil Young
Bad News Comes to Town,Bluenote Cafe,live,Neil Young,2015-13-11,November 1987�� August 1989,"Neil Young, Niko Bolas",Neil Young,Neil Young
Crime of the Heart,Bluenote Cafe,live,Neil Young,2015-13-11,November 1987�� August 1990,"Neil Young, Niko Bolas",Neil Young,Neil Young
Doghouse,Bluenote Cafe,live,Neil Young,2015-13-11,November 1987�� August 1991,"Neil Young, Niko Bolas",Neil Young,Neil Young
Don't Take Your Love Away from Me,Bluenote Cafe,live,Neil Young,2015-13-11,November 1987�� August 1992,"Neil Young, Niko Bolas",Neil Young,Neil Young
