track,album,album_type,artist,release_date,recording_period,producers,writers,vocals
Colorado,Bread and Roses Festival (Live),live,Stephen Stills,9/4/1978,,Stephen Stills,Stephen Stills,Stephen Stills
Crossroads/You Can't Catch Me,Bread and Roses Festival (Live),live,Stephen Stills,9/4/1978,,Stephen Stills,Stephen Stills,Stephen Stills
Fallen Eagle,Bread and Roses Festival (Live),live,Stephen Stills,9/4/1978,,Stephen Stills,Stephen Stills,Stephen Stills
Jesus Gave Love Away for Free,Bread and Roses Festival (Live),live,Stephen Stills,9/4/1978,,Stephen Stills,Stephen Stills,Stephen Stills
Old Man Trouble,Bread and Roses Festival (Live),live,Stephen Stills,9/4/1978,,Stephen Stills,Stephen Stills,Stephen Stills
One Moment at a Time,Bread and Roses Festival (Live),live,Stephen Stills,9/4/1978,,Stephen Stills,Stephen Stills,Stephen Stills
Take Me Back to Ohio Valley,Bread and Roses Festival (Live),live,Stephen Stills,9/4/1978,,Stephen Stills,Stephen Stills,Stephen Stills
Everybody Knows,Everybody Knows,studio,Stephen Stills,2017-22-09,2017,"Alan Silverman, Collins, Etzioni, Stills","Leonard Cohen, Sharon Robinson","Stephen Stills, Judy Collins"
Girl from the North Country,Everybody Knows,studio,Stephen Stills,2017-22-09,2017,"Alan Silverman, Collins, Etzioni, Stills",Dylan,"Stephen Stills, Judy Collins"
Handle with Care,Everybody Knows,studio,Stephen Stills,2017-22-09,2017,"Alan Silverman, Collins, Etzioni, Stills","Bob Dylan, Jeff Lynne, Tom Petty, George Harrison, Roy Orbison","Stephen Stills, Judy Collins"
Houses,Everybody Knows,studio,Stephen Stills,2017-22-09,2017,"Alan Silverman, Collins, Etzioni, Stills",Collins,"Stephen Stills, Judy Collins"
Judy,Everybody Knows,studio,Stephen Stills,2017-22-09,2017,"Alan Silverman, Collins, Etzioni, Stills",Stills,"Stephen Stills, Judy Collins"
Questions,Everybody Knows,studio,Stephen Stills,2017-22-09,2017,"Alan Silverman, Collins, Etzioni, Stills",Stills,"Stephen Stills, Judy Collins"
Reason to Believe,Everybody Knows,studio,Stephen Stills,2017-22-09,2017,"Alan Silverman, Collins, Etzioni, Stills",Tim Hardin,"Stephen Stills, Judy Collins"
River of Gold,Everybody Knows,studio,Stephen Stills,2017-22-09,2017,"Alan Silverman, Collins, Etzioni, Stills",Judy Collins,"Stephen Stills, Judy Collins"
So Begins the Task,Everybody Knows,studio,Stephen Stills,2017-22-09,2017,"Alan Silverman, Collins, Etzioni, Stills",Stephen Stills,"Stephen Stills, Judy Collins"
Who Knows Where the Time Goes,Everybody Knows,studio,Stephen Stills,2017-22-09,2017,"Alan Silverman, Collins, Etzioni, Stills",Sandy Denny,"Stephen Stills, Judy Collins"
Buyin' Time,Illegal Stills,studio,Stephen Stills,7/5/1976,"1974, 1975, January - February 1976","Stephen Stills, Don Gehman",Stephen Stills,Stephen Stills
Circlin',Illegal Stills,studio,Stephen Stills,7/5/1976,"1974, 1975, January - February 1976","Stephen Stills, Don Gehman","Kenny Passarelli, Stills",Stephen Stills
Closer to You,Illegal Stills,studio,Stephen Stills,7/5/1976,"1974, 1975, January - February 1976","Stephen Stills, Don Gehman","Dacus, Warner Schwebke, Stills",Stephen Stills
Different Tongues,Illegal Stills,studio,Stephen Stills,7/5/1976,"1974, 1975, January - February 1976","Stephen Stills, Don Gehman","Stills, Donnie Dacus",Stephen Stills
Midnight in Paris,Illegal Stills,studio,Stephen Stills,7/5/1976,"1974, 1975, January - February 1976","Stephen Stills, Don Gehman","Donnie Dacus, Véronique Sanson",Stephen Stills
No Me Niegas,Illegal Stills,studio,Stephen Stills,7/5/1976,"1974, 1975, January - February 1976","Stephen Stills, Don Gehman",Stephen Stills,Stephen Stills
Ring of Love,Illegal Stills,studio,Stephen Stills,7/5/1976,"1974, 1975, January - February 1976","Stephen Stills, Don Gehman","Dacus, Stills",Stephen Stills
Soldier,Illegal Stills,studio,Stephen Stills,7/5/1976,"1974, 1975, January - February 1976","Stephen Stills, Don Gehman","Donnie Dacus, Stills",Stephen Stills
Stateline Blues,Illegal Stills,studio,Stephen Stills,7/5/1976,"1974, 1975, January - February 1976","Stephen Stills, Don Gehman",Stephen Stills,Stephen Stills
The Loner,Illegal Stills,studio,Stephen Stills,7/5/1976,"1974, 1975, January - February 1976","Stephen Stills, Don Gehman",Neil Young,Stephen Stills
All I Know Is What You Tell Me,"Just Roll Tape: April 26th, 1968",live,Stephen Stills,10/7/2007,1968,Stephen Stills,Stephen Stills,Stephen Stills
Black Queen,"Just Roll Tape: April 26th, 1968",live,Stephen Stills,10/7/2007,1968,Stephen Stills,Stephen Stills,Stephen Stills
Bumblebee (Do You Need a Place to Hide?),"Just Roll Tape: April 26th, 1968",live,Stephen Stills,10/7/2007,1968,Stephen Stills,Stephen Stills,Stephen Stills
Change Partners,"Just Roll Tape: April 26th, 1968",live,Stephen Stills,10/7/2007,1968,Stephen Stills,Stephen Stills,Stephen Stills
Dreaming of Snakes,"Just Roll Tape: April 26th, 1968",live,Stephen Stills,10/7/2007,1968,Stephen Stills,Stephen Stills,Stephen Stills
Helplessly Hoping,"Just Roll Tape: April 26th, 1968",live,Stephen Stills,10/7/2007,1968,Stephen Stills,Stephen Stills,Stephen Stills
Know You've Got to Run,"Just Roll Tape: April 26th, 1968",live,Stephen Stills,10/7/2007,1968,Stephen Stills,Stephen Stills,Stephen Stills
So Begins the Task,"Just Roll Tape: April 26th, 1968",live,Stephen Stills,10/7/2007,1968,Stephen Stills,Stephen Stills,Stephen Stills
Suite: Judy Blue Eyes,"Just Roll Tape: April 26th, 1968",live,Stephen Stills,10/7/2007,1968,Stephen Stills,Stephen Stills,Stephen Stills
The Doctor Will See You Now,"Just Roll Tape: April 26th, 1968",live,Stephen Stills,10/7/2007,1968,Stephen Stills,Stephen Stills,Stephen Stills
Treetop Flyer,"Just Roll Tape: April 26th, 1968",live,Stephen Stills,10/7/2007,1968,Stephen Stills,Stephen Stills,Stephen Stills
Wooden Ships,"Just Roll Tape: April 26th, 1968",live,Stephen Stills,10/7/2007,1968,Stephen Stills,"Stills, David Crosby, Paul Kantner",Stephen Stills
4 + 20,Live At Shepherd's Bush,live,Stephen Stills,2/11/2009,,Stephen Stills,Stephen Stills,"Stephen Stillls, Kenny Passarelli, Joe Vitale, Todd Caldwell"
Blind Fiddler  ,Live At Shepherd's Bush,live,Stephen Stills,2/11/2009,,Stephen Stills,Bob Dylan,"Stephen Stillls, Kenny Passarelli, Joe Vitale, Todd Caldwell"
Bluebird  ,Live At Shepherd's Bush,live,Stephen Stills,2/11/2009,,Stephen Stills,Stephen Stills,"Stephen Stillls, Kenny Passarelli, Joe Vitale, Todd Caldwell"
For What It's Worth,Live At Shepherd's Bush,live,Stephen Stills,2/11/2009,,Stephen Stills,Stephen Stills,"Stephen Stillls, Kenny Passarelli, Joe Vitale, Todd Caldwell"
Girl from the North Country,Live At Shepherd's Bush,live,Stephen Stills,2/11/2009,,Stephen Stills,Stephen Stills,"Stephen Stillls, Kenny Passarelli, Joe Vitale, Todd Caldwell"
Isn't It About Time,Live At Shepherd's Bush,live,Stephen Stills,2/11/2009,,Stephen Stills,Stephen Stills,"Stephen Stillls, Kenny Passarelli, Joe Vitale, Todd Caldwell"
Johnny's Garden,Live At Shepherd's Bush,live,Stephen Stills,2/11/2009,,Stephen Stills,Stephen Stills,"Stephen Stillls, Kenny Passarelli, Joe Vitale, Todd Caldwell"
Love the One You're With,Live At Shepherd's Bush,live,Stephen Stills,2/11/2009,,Stephen Stills,Stephen Stills,"Stephen Stillls, Kenny Passarelli, Joe Vitale, Todd Caldwell"
Rock & Roll Woman,Live At Shepherd's Bush,live,Stephen Stills,2/11/2009,,Stephen Stills,Stephen Stills,"Stephen Stillls, Kenny Passarelli, Joe Vitale, Todd Caldwell"
Suite: Judy Blue Eyes,Live At Shepherd's Bush,live,Stephen Stills,2/11/2009,,Stephen Stills,Stephen Stills,"Stephen Stillls, Kenny Passarelli, Joe Vitale, Todd Caldwell"
