track,album,album_type,artist,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
(Got to Keep) Open,Live It Up,live,"Crosby, Stills & Nash",284040,6/22/1990,5,0.554,0.829,4,-13.631,1,0.036,0.0974,1.12e-06,0.0469,0.883,98.032,4
1967,Here If You Listen,studio,David Crosby,199626,10/26/2018,9,0.487,0.307,2,-11.278,0,0.0338,0.878,0.00722,0.182,0.375,81.392,4
1974,Here If You Listen,studio,David Crosby,180106,10/26/2018,13,0.418,0.268,8,-11.004,0,0.04,0.894,2.25e-06,0.127,0.357,179.884,4
30 Dollar Fine,Deja Vu (50th Anniversary Deluxe Edition),box set,"Crosby, Stills, Nash & Young",165470,3/11/1970,10,0.616,0.654,0,-11.908,1,0.0349,0.0558,0.0297,0.14,0.955,145.162,4
4 + 20,Deja Vu ,studio,"Crosby, Stills, Nash & Young",126640,3/11/1970,53,0.638,0.058,4,-25.243,1,0.0388,0.928,0.079,0.113,0.126,140.964,4
49 Bye-Byes,"Crosby, Stills & Nash",studio,"Crosby, Stills & Nash",305093,5/29/1969,33,0.611,0.482,4,-11.315,1,0.0276,0.229,6.54e-06,0.079,0.691,117.982,4
50/50,Right By You,studio,Stephen Stills,263373,1984,4,0.713,0.629,7,-13.067,1,0.0632,0.0632,0.000251,0.0254,0.913,102.568,4
A Better Life,Now,studio,Graham Nash,209533,5/19/2023,15,0.681,0.355,7,-8.344,1,0.0389,0.75,1.19e-06,0.0813,0.591,142.688,4
A Dream That Can Last,Before and After,live,Neil Young,272893,12/8/2023,17,0.549,0.111,0,-17.327,1,0.0355,0.976,0.0173,0.0889,0.273,102.328,4
A Letter Home Intro,A Letter Home,studio,Neil Young,137213,5/19/2014,8,0.755,0.251,4,-14.697,0,0.587,0.804,0.000106,0.13,0.537,80.165,4
A Man Needs a Maid,Harvest,studio,Neil Young,245220,2/1/1972,37,0.317,0.0448,2,-22.062,0,0.037,0.983,0.0032,0.0849,0.103,104.208,5
Acadienne,Man Alive!,studio,Stephen Stills,241733,8/9/2005,0,0.542,0.838,7,-5.192,1,0.0656,0.0504,0.0,0.356,0.897,150.27,4
Act of Love,Mirror Ball,studio,Neil Young,294640,8/7/1995,24,0.4,0.729,4,-11.051,1,0.0377,0.000511,0.727,0.134,0.0843,114.209,4
After the Dolphin,Live It Up,live,"Crosby, Stills & Nash",304506,6/22/1990,6,0.645,0.536,7,-13.075,1,0.0316,0.0187,0.000333,0.395,0.556,113.366,4
After the Garden,Living with War,studio,Neil Young,201653,5/2/2006,13,0.44,0.515,2,-8.823,1,0.0238,0.00237,4.13e-06,0.107,0.335,90.611,4
After the Gold Rush,After the Gold Rush,studio,Neil Young,225973,8/31/1970,50,0.466,0.158,7,-12.894,1,0.0331,0.984,2.13e-06,0.113,0.338,98.062,4
After the Storm,After the Storm,studio,"Crosby, Stills & Nash",215440,8/16/1994,21,0.764,0.303,7,-13.557,1,0.0321,0.401,1.2e-06,0.151,0.47,109.45,3
Ain't It Always,Man Alive!,studio,Stephen Stills,203173,8/9/2005,0,0.542,0.948,5,-1.957,1,0.0307,0.0149,0.000707,0.377,0.602,138.247,4
Ain't It the Truth,Bluenote Cafe,live,Neil Young,450546,11/13/2015,9,0.455,0.699,2,-6.962,1,0.0308,0.232,0.00789,0.955,0.771,169.852,4
Alabama,Harvest,studio,Neil Young,242836,2/1/1972,38,0.42,0.397,7,-16.275,0,0.0356,0.575,0.00789,0.158,0.373,148.596,4
Albert's Shuffle,Super Session,studio,Mike Bloomfield,413800,1968,34,0.451,0.613,0,-7.863,1,0.0266,0.0864,0.716,0.565,0.659,98.142,4
Albuquerque,Tonight's the Night,live,Neil Young,241175,6/1/1975,33,0.462,0.307,2,-14.34,1,0.0266,0.287,0.0371,0.108,0.225,134.948,4
All Along the Watchtower,"Road Rock, Vol. 1",live,Neil Young,491186,12/5/2000,13,0.229,0.931,9,-7.864,0,0.063,0.228,0.36,0.954,0.0854,128.709,4
All I Know Is What You Tell Me,Just Roll Tape - April 26th 1968,live,Stephen Stills,99400,7/9/2007,20,0.587,0.189,7,-14.239,1,0.0338,0.726,0.0,0.117,0.297,142.781,4
All Those Dreams,Storytone,studio,Neil Young,265413,10/31/2014,7,0.643,0.187,2,-16.623,1,0.0286,0.883,0.0613,0.113,0.281,107.227,4
Almost Cut My Hair,Deja Vu ,studio,"Crosby, Stills, Nash & Young",269173,3/11/1970,54,0.471,0.471,7,-10.483,1,0.0437,0.185,0.00927,0.164,0.575,136.829,4
Almost Gone,CSN 2012,live,"Crosby, Stills & Nash",273506,7/10/2012,10,0.404,0.744,9,-7.28,0,0.129,0.782,0.00619,0.517,0.575,165.634,4
Already One,Comes a Time,studio,Neil Young,293346,10/4/1978,28,0.602,0.288,2,-15.647,1,0.0258,0.189,3.94e-05,0.125,0.507,103.812,4
